rank	username	minecraft:killed/minecraft:tropical_fish
1	Hyp3rion_	228
2	calamariclam_I	148
3	Soplight	125
4	Lez_	122
5	LeauVox4921	99
6	Blackberry1310	94
7	thewindmillman	80
8	Spacewardharpy7	77
9	m_be9	73
10	kekhon	72
11	bloodbiter	68
12	Inchef	67
13	12Magner05	66
14	beeperbeeper5	65
14	Zythose	65
16	Nicserso	57
17	ECstardust	54
18	ConnorDanky_	46
19	Wooptey	45
19	YungMaki	45
21	Jackattack53	43
22	Di_infiri	40
23	AlexxO_o	38
24	xxPipperDipperxx	37
25	The11thDoctor	34
26	joethahobo	32
27	Rasmanden	29
28	k_ce	28
28	PhantomsGhost_	28
28	Frozil20	28
28	Mahoose	28
32	skitzxo	27
33	teslawolf38	26
33	hm947	26
35	CollinMH06	24
36	Njensen7	22
36	h2p_emrld	22
38	noam464	21
39	CliffEmAll	20
39	Ezekson	20
41	masskedman	19
41	Druid95	19
43	rarrq	18
44	oscminus	16
45	SaucyDark	15
45	500am	15
45	Xalithia	15
45	mimbo1211	15
49	Akoot_	14
49	NomadicRobin_	14
51	EMC_	13
52	T045RTY	12
52	Huwulling	12
52	crashomon	12
52	burbankbuilder28	12
52	Werbe	12
52	claivin	12
52	StarCookiees_	12
59	Merv__	11
59	Nicky_H225	11
59	_Nuf	11
59	2Stout	11
63	NotoriousNina	10
63	Zaridey	10
63	Renchi19	10
63	_i_ERROR_i_	10
63	AltnumberF4	10
68	corvidpartyfor6	9
68	jedi_george	9
68	NameGenerat0r	9
68	fluddd	9
72	AuroraValkyrie	8
72	Dblikstad	8
72	Bumpy419	8
72	HellsSponge	8
72	Kowcio_	8
72	00000000-0000-0000-0009-01f1577a2913	8
78	shadowthemonkey	7
78	SuperPooch06	7
78	PigDab	7
78	LilLizardWizard	7
78	lizardfightclub	7
78	MakeHistory157	7
78	FishisTTV	7
85	Deu_Stew	6
85	ImpavidArcher	6
85	Nach0Bear	6
85	SHAOBADMAN	6
85	RebytreGT	6
85	Keeogwi	6
85	monky_irl	6
85	annebolyn	6
93	q_wq	5
93	KarlKaek	5
93	RebelAndroid	5
93	Auseawesome	5
93	TheSecondLord	5
93	MattieHD	5
93	Motsaro	5
93	Krowuss	5
93	Galactic_Badger	5
93	ItsAki_	5
93	Onennon	5
93	Huic_ostiarius	5
93	luseis	5
93	Travka100	5
93	bloomkieren	5
93	PlzNoBM	5
93	JohnPrice	5
110	TheBlackDeth	4
110	diamondgolem35	4
110	eitanzaki	4
110	MangoTango82	4
110	Da_Boss_Rani	4
110	MyNameIsJobo	4
110	F_Uhre	4
110	TruestTurnip	4
110	Sorry_Arey	4
110	Dakar_	4
110	1442	4
110	Xclax101	4
110	plato2066	4
110	pixelviolin	4
110	miramyu	4
110	EcksD	4
110	TechnoNinja64	4
127	Jovaphobic	3
127	pintsizedrogue	3
127	KazmaninSapi	3
127	Sero277	3
127	PazinGaming	3
127	Myszoaz	3
127	skroobiez	3
127	Saucepeh	3
127	thescout7	3
127	Juansinmiedo18	3
127	MethylRadical	3
127	WET_WET_WET	3
127	Snowflowe	3
127	Capss	3
127	Shortest_Man	3
127	PaperCanvas	3
127	audiocracked	3
127	DarlaMeow	3
127	Soap_Bender	3
127	MAns_44	3
127	Blu3beast	3
127	censorsheep	3
127	marumochis	3
