rank	username	minecraft:killed/minecraft:ghast
1	Zythose	1240
2	PigDab	357
3	gcaisawesome	270
4	noam464	249
5	beeperbeeper5	181
6	eitanzaki	143
7	YungMaki	123
8	Snowflowe	114
9	thewindmillman	112
10	Di_infiri	107
10	Spacewardharpy7	107
12	Xalithia	101
13	vandmanden	92
14	Hyp3rion_	89
14	PortlyPete69	89
16	Blaiku	83
17	Frozil20	79
18	TheSecondLord	77
18	Segotep999	77
20	F_Uhre	74
21	Lord_Jord	71
22	oscminus	70
22	Dogcorn69420	70
24	claivin	69
24	Eraxa	69
26	EMC_	67
27	Skippeh	64
28	pintsizedrogue	63
29	hm947	62
30	joethahobo	56
30	HellsSponge	56
32	Enderxz3	55
33	m_be9	53
34	FirsTimeGamingTV	52
35	ROY4LE	49
35	TheShyPig	49
37	Groovy_MoonBird	48
38	Fullut	47
39	shineh10	46
39	TechnoNinja64	46
41	Cowison	45
42	rarrq	41
43	mwrty	40
43	Spenduh	40
43	AdmiralSmoke	40
46	RebelAndroid	38
46	500am	38
48	Tyrannosplart	37
49	Arceus1975	36
50	censorsheep	35
51	Jackattack53	33
51	NomadicRobin_	33
51	Xclax101	33
54	kekhon	32
54	thescout7	32
54	MightyWertu	32
54	Groundler	32
54	wwwwinnebagoooo	32
59	xDraggin	31
60	SingedBread	30
61	Cocoamallows	29
61	Soplight	29
63	_Virify_	28
63	Jimb0nat0r	28
65	M_Patata	27
65	Akoot_	27
65	MasterNueve	27
68	Killercatty78	26
68	pixelviolin	26
70	Blu3beast	25
70	alderban107	25
70	PlasticOtari	25
73	Mahoose	24
73	ReSynced	24
73	Racengan	24
73	33sudo	24
77	T045RTY	23
77	lordpipe	23
79	Marbz_	22
79	Quincannon	22
79	xzvu	22
79	CalebDHawk	22
83	MattieHD	21
83	Nycteus_	21
83	stavgod	21
83	h2p_emrld	21
87	Kakolbus	20
87	Kouridragon	20
87	IamCL4SSY	20
87	DanTheBuilderino	20
87	fluddd	20
92	PhantomsGhost_	19
92	excelsionprime	19
92	ooga47	19
92	AlphaWolfPlaysMC	19
92	EcksD	19
92	diggydog67	19
98	CLG_Kata	18
98	MyNameIsJobo	18
98	Rasmanden	18
98	SaintJosie	18
98	Maenara	18
98	Kyrum2169	18
104	Blackberry1310	17
104	yulgur1	17
104	gustarlep	17
104	StinkyDiplomat	17
104	Kowcio_	17
104	MilleGrug	17
110	Bumpy419	16
110	__tomato	16
110	jcool7	16
110	Steelynan	16
110	AltnumberF4	16
110	jnp_gaming	16
116	Reamdin	15
116	fade_emerge78823	15
116	Zaridey	15
116	_Karmaa	15
116	monky_irl	15
116	WyngGoy	15
116	djancak	15
123	Vizzoid	14
123	CliffEmAll	14
123	mariominejedi	14
123	Barlycorn	14
123	Hisiste	14
123	mihimihimihi	14
129	diamondgolem35	13
129	Alteriity	13
129	Secret_Canary	13
129	ApophisNova	13
129	Onennon	13
129	HolyVenom	13
129	lillips	13
129	Vorlice	13
129	Razzgriz	13
129	MyNamaSheff	13
139	q_wq	12
139	himak1	12
139	zToasty69z	12
139	sp00ky_ghost977	12
139	Ezekson	12
139	Legendosh	12
145	k_ce	11
145	Kkanot	11
145	Winklepicker279	11
145	yheece	11
145	EveryonesUncle	11
145	NameGenerat0r	11
145	MakeHistory157	11
145	Iamthejo	11
153	Paint	10
153	Historical_Sand	10
153	audiocracked	10
153	Fildyr	10
153	_TCARREIRA_	10
153	Kubeusz2010	10
159	Jovaphobic	9
159	AuroraValkyrie	9
159	ECstardust	9
159	TooManyDuck	9
159	livingdaydreams	9
159	KomputerDude	9
159	Comma__	9
159	TheThomas69	9
159	ProfessorBee	9
159	SuperPooch06	9
159	tobinwilliams	9
159	Rebytre	9
159	RobotMinion101	9
159	Manaateee	9
159	JayToe	9
174	dudcreeper	8
174	fanofbands101	8
174	ColeSnyder	8
174	NinjaKnifeKill	8
174	SellyZ	8
174	Luminad3	8
174	wezzzi	8
174	LeonelSalamanca	8
174	Typadopoulos	8
174	fffMike	8
184	bigstankyy	7
184	Franco093	7
184	ITDV	7
184	Megarboh	7
184	zorin123	7
184	Inchef	7
184	Mewar	7
184	andy_rex	7
184	KartivGal	7
184	ougstur	7
184	luseis	7
184	Druid95	7
184	Strangemonkey71	7
184	_Mythic____	7
184	yatsuta	7
184	tartanboy	7
184	2blox_	7
184	FishisTTV	7
202	Apollo_993	6
202	Merv__	6
202	KarlKaek	6
202	Incinere	6
202	Huwulling	6
202	301851	6
202	_Nuf	6
202	set67	6
202	4774	6
202	imcombxt	6
202	XboxPanda	6
202	JitteryJared2	6
202	stuy9	6
202	masskedman	6
202	Fuhrer_Teemo	6
202	_Meow_Mix	6
202	layabout100	6
202	Decaying_Lotus	6
202	voiding_	6
202	stellarjay	6
202	Winston_Ingram	6
202	mawileite	6
202	ConnorDanky_	6
202	Powowowow	6
202	calamariclam_I	6
227	Bandito_Roamer	5
227	abramgray	5
227	Zippyzam	5
227	CoffeeNoir	5
227	H72l9w	5
227	Nicky_H225	5
227	MinttyFressh	5
227	r123moore	5
227	eiC_	5
227	shadowthemonkey	5
227	legal_tax_evader	5
227	WET_WET_WET	5
227	Eczbox	5
227	The11thDoctor	5
227	Mattesco	5
227	Kynigito	5
227	Sqwishy	5
227	SvenskaAlvar	5
227	Inbefour	5
227	SpouHn	5
227	Deathkob	5
227	LexMakesHistory	5
227	ebanana	5
227	FreakGenius	5
227	GravitySaint	5
227	SUN_DREAM	5
227	SSytex_X	5
227	Eczbek	5
255	Mr_Byzantine	4
255	Froste131	4
255	I_Am_Mushkin	4
255	Hyugo	4
255	openatheclose	4
255	jacxhadow	4
255	12Magner05	4
255	paranoid_plant	4
255	trixterrx	4
255	Chromary	4
255	Moofyman	4
255	fw3xy74	4
255	DemTechAlpha	4
255	MovingFish7	4
255	LetsDoItLive	4
255	UCP_TheKingK	4
255	brofrickcheaters	4
255	lcvezra	4
255	OfficerAnvil	4
255	Aryamanee	4
255	Nicserso	4
255	00000000-0000-0000-0009-01ff0c3e5e4f	4
277	seanitoo	3
277	dimondking777	3
277	Iagoku	3
277	ImpavidArcher	3
277	Tolhart	3
277	Hpdinosaur	3
277	Flores991	3
277	SyntheticSurgeon	3
277	ivorico	3
277	Prismyst	3
277	Myszoaz	3
277	Euclidoris	3
277	roxycherry	3
277	ratglock	3
277	Tiberonus	3
277	Guillemet	3
277	slkiey	3
277	Scathra	3
277	emrekn	3
277	surfinggiraffejp	3
277	SharpDev	3
277	theonlymagikarp	3
277	Covalents	3
277	Giannism	3
