rank	username	minecraft:killed/minecraft:zombie_villager
1	thewindmillman	154
2	joethahobo	127
3	noam464	109
4	Di_infiri	108
5	oscminus	103
6	Spacewardharpy7	89
7	gcaisawesome	74
8	Snowflowe	73
9	beeperbeeper5	72
9	Hyp3rion_	72
11	luseis	71
12	500am	67
12	Kowcio_	67
14	EveryonesUncle	62
14	Segotep999	62
14	Yamdalorian	62
17	PlasticOtari	59
18	Steelynan	56
19	HellsSponge	55
20	Fullut	54
21	rarrq	49
21	EcksD	49
23	MyNameIsJobo	48
23	Blaiku	48
25	Frozil20	46
25	Lord_Jord	46
25	Ezekson	46
28	PigDab	45
29	pintsizedrogue	43
30	TheShyPig	41
31	eitanzaki	40
32	EMC_	39
32	Mahoose	39
34	Enderxz3	37
35	TheSecondLord	35
36	YungMaki	32
37	FreakGenius	31
37	djancak	31
39	thescout7	30
40	Cowison	29
40	kekhon	29
42	excelsionprime	28
42	Kakolbus	28
44	NatalieTW	27
44	Jackattack53	27
46	Saucepeh	26
46	Marbz_	26
46	non089	26
49	T045RTY	25
49	Alteriity	25
51	k_ce	24
51	RebytreGT	24
51	Akoot_	24
51	NomadicRobin_	24
51	AstreaTSS	24
51	El_Jalapeno	24
51	lordpipe	24
51	Spenduh	24
59	Mattesco	23
59	SvenskaHugo	23
61	FishyBoy3811	22
62	q_wq	21
62	Huwulling	21
62	fffMike	21
62	Nicserso	21
66	MoistMicrowave	20
66	12Magner05	20
66	set67	20
66	hanaryheatwave	20
70	Jovaphobic	19
70	RebelAndroid	19
70	Winklepicker279	19
70	Deathkob	19
74	thebaddruid	18
75	Merv__	17
75	KarlKaek	17
75	Inchef	17
75	U_Mos_	17
75	sp00ky_ghost977	17
75	Luigipunch989	17
75	_i_ERROR_i_	17
75	jnp_gaming	17
75	Jimb0nat0r	17
75	h2p_emrld	17
85	ImpavidArcher	16
85	Mewar	16
85	Skylord_Luke	16
85	Xclax101	16
85	Druid95	16
85	FelixPSY375	16
