rank	username	minecraft:killed/minecraft:salmon
1	RadarHz	671
2	NomadicRobin_	217
3	Mahoose	201
4	Blackberry1310	164
5	Akoot_	152
6	thewindmillman	133
7	PlzNoBM	117
8	YungMaki	103
9	Groovy_MoonBird	101
10	joethahobo	98
10	Soplight	98
12	Xalithia	95
13	Di_infiri	92
14	soundad	90
15	Zythose	71
16	claivin	70
17	Jovaphobic	67
17	smogfrog	67
19	DarlaMeow	61
20	Freak_Genius	56
20	lcvezra	56
22	pappaberg	55
23	Ardennes	54
24	Racengan	52
25	audiocracked	50
26	kekhon	49
27	rarrq	47
27	Comma__	47
27	stellarjay	47
30	Slinkyy7071	45
30	Frozil12	45
32	djancak	43
33	PortlyPete69	37
34	2Stout	35
35	beeperbeeper5	34
35	mwrty	34
37	The_Fulgurator	32
38	Kyrum2169	31
38	jnp_gaming	31
38	Jordan_R	31
41	eitanzaki	30
41	MangoTheFish	30
43	Jiminie	28
43	Blaiku	28
45	500am	27
45	fluddd	27
45	anbbang	27
45	Miko_Fullbuster	27
45	Smoke____	27
50	ItsAki_	26
51	Hyp3rion_	25
52	pintsizedrogue	24
52	_naturell	24
54	Begformurrcy	22
54	pixelviolin	22
56	PigDab	21
56	masskedman	21
58	TheSecondLord	19
58	sufjanlover	19
58	Blu3beast	19
61	KarlKaek	18
61	Natty	18
61	Ezekson	18
64	youhjjhhhjj	17
64	TheFlfthHorseman	17
64	kinas45y5	17
64	h2p_emrld	17
68	SaucyDark	16
68	Dragonlfw	16
70	tramizu	15
70	noam464	15
70	EtherealEspresso	15
70	Steelynan	15
74	Bandito_Roamer	14
74	CoffeeNoir	14
74	IforgotCS_Source	14
74	HellsSponge	14
74	Western_1	14
74	MissCeleste7	14
80	BlancoFlaco	13
80	Nicky_H225	13
80	ROY4LE	13
80	SpaggeDR	13
80	deerm	13
85	Paranoidlemon	12
85	ProfessorBee	12
85	intropass	12
85	Kubelz	12
85	Deathkob	12
85	Spacewardharpy7	12
91	KingFaenor	11
91	TooManyDuck	11
91	egglapras	11
91	AJplaysMC_	11
91	burbankbuilder28	11
91	RobotMinion101	11
91	Sky_light_KING	11
91	EveryonesUncle	11
99	thescout7	10
99	Vraem	10
99	Vorlice	10
99	MovingFish7	10
99	EcksD	10
99	Quotary	10
105	ShedJr_	9
105	NoraTheYandere	9
105	xxPipperDipperxx	9
105	CatGel	9
105	regulator75	9
105	sleepdrifter_	9
111	Dedalus36	8
111	ImpavidArcher	8
111	Wooptey	8
111	Windo_licker	8
111	selectrix	8
111	magmaniacmc	8
111	Lord_Jord	8
111	NoChumpChange	8
111	marumochis	8
111	SquidZooka2	8
111	stahouo	8
122	Elprone266	7
122	hm947	7
122	12Magner05	7
122	loveseeker	7
122	SuperPooch06	7
122	PumpkinPie1600	7
122	Snowflowe	7
122	XxCookiequeenxX	7
122	33sudo	7
122	MasterOwen1	7
122	diggydog67	7
122	00000000-0000-0000-0009-01f16526f034	7
134	_stets	6
134	T045RTY	6
134	JuuustYeet	6
134	MinttyFressh	6
134	Issachan	6
134	Meepcraft	6
134	comjosh64	6
134	Cliopatra	6
142	DigiBlox	5
142	Batman922	5
142	heckface	5
142	cowgirlkasia	5
142	Fullut	5
142	Scathra	5
142	Nach0Bear	5
142	Awyrlas	5
142	Dali1465	5
142	Inchef	5
142	NotoriousNina	5
142	Jackattack53	5
142	CaptainDeadBread	5
142	Corbsman	5
142	fred870d	5
142	Blackerstons	5
142	sp00ky_ghost977	5
142	bloomkieren	5
142	fffMike	5
142	Njensen7	5
142	KingMatthew506	5
142	laron58	5
142	oxfordschool	5
142	Lowjinx	5
142	Zoeyfortnite	5
142	WYFYoyo	5
168	Jalvajar	4
168	The_Great_Jake	4
168	Drlzyy	4
168	SidorAlex	4
168	ashetrays	4
168	MattieHD	4
168	crying_wolf_13	4
168	Resner	4
168	Kakolbus	4
168	BlueZabu	4
168	Winklepicker279	4
168	mobaEnjoyer	4
168	Voxin2K	4
168	Afinnity	4
168	Forcolp	4
168	Choco_Spy	4
168	AuroraSkies	4
168	Wowful	4
168	yulgur1	4
168	natajimi	4
168	El_Jalapeno	4
168	ProbsNotNova	4
168	mackintosh_x	4
168	DkansK	4
192	Merv__	3
192	AuroraValkyrie	3
192	Vort3x33	3
192	Incinere	3
192	Ryker	3
192	DarkFisto	3
192	MedSeaArch	3
192	LotusProject	3
192	eviltunix	3
192	SharpDev	3
192	Zenlou	3
192	DSYisDizzy	3
192	gcaisawesome	3
192	Matek_	3
192	breadbowlgamer	3
192	jedi_george	3
192	whoaluv	3
192	Hiryu27	3
192	Onennon	3
192	Vetral1	3
192	Project_MKBRD	3
192	0jona0	3
192	Kim_Jong_eel	3
192	TheSeismicDuck	3
192	Mister3z	3
192	Mweems	3
192	censorsheep	3
192	SingedBread	3
192	babyjimmyneutron	3
192	Pickel_Lord	3
192	Strangemonkey71	3
192	IdeallyGrey	3
192	somegirl12_	3
192	Spenduh	3
192	_TCARREIRA_	3
192	GlitchyPlate810	3
192	OfficerAnvil	3
192	Smaldo	3
192	mountaingirl311	3
192	Enderslayerxz3	3
192	FallenCorps	3
192	Legendosh	3
192	Powowowow	3
192	vandmanden	3
236	rats_life	2
236	JaytheGeek	2
236	Menthas	2
236	strongman951753	2
236	pZygh0st	2
236	Jackster03	2
236	__lobgn__	2
236	Yellowpowr	2
236	Malorn_Aetherius	2
236	SteveCraftBlocks	2
236	Scattman_	2
236	leaf26	2
236	himak1	2
236	M_Patata	2
236	juuustpeachy	2
236	Ecplosive	2
236	mariominejedi	2
236	valiSW	2
236	Rumpletaezer	2
236	Mpkkiller	2
236	Bumpy419	2
236	msJabberwock	2
236	The11thDoctor	2
236	BRRRN179	2
236	TTNG	2
236	TheShyPig	2
236	XeroByMyth	2
236	KeruNatsema	2
236	ese_wn_po	2
236	_Bguette_	2
236	Toiton	2
236	Shogunite	2
236	Xclax101	2
236	LokisCharredFace	2
236	monky_irl	2
236	Dusk_95	2
236	MasterNueve	2
236	IAmTheWalrus910	2
236	CSG_Haru	2
236	voiding_	2
236	hdtpm	2
236	Segotep999	2
236	Fizznut909	2
236	Luigipunch989	2
236	Dogcorn69420	2
236	krutas2000	2
236	MilleGrug	2
236	Hermanni__	2
236	alderban107	2
236	Kubeusz2010	2
236	FelixPSY375	2
236	EcksDofficial	2
236	00000000-0000-0000-0009-01f73aa9620f	2
289	Gary_	1
289	SugarMyNuggets	1
289	PhantomsGhost_	1
289	Argraol	1
289	JEWISHBadenBeele	1
289	ItsColin11	1
289	teslawolf38	1
289	SlowMoNinja1994	1
289	Foof13	1
289	EMC_	1
289	numbra	1
289	6king6colt6	1
