rank	username	minecraft:killed/minecraft:snow_golem
1	Jackattack53	66
2	thewindmillman	60
3	mihimihimihi	40
4	Jimb0nat0r	34
5	oscminus	30
5	claivin	30
7	PhantomsGhost_	26
8	KarlKaek	22
8	Di_infiri	22
10	Spacewardharpy7	21
11	MOSS000	19
12	Eraxa	16
13	kekhon	15
14	AdmiralSmoke	13
15	diamondgolem35	12
16	SSytex_X	9
16	Ezekson	9
18	Groundler	8
18	__tomato	8
20	m_be9	7
20	TheShyPig	7
22	xxPipperDipperxx	6
22	noam464	6
24	ShedJr_	5
24	HellsSponge	5
24	SvenskaHugo	5
24	2blox_	5
24	xolstoi	5
29	eitanzaki	4
29	Mahoose	4
29	set67	4
29	ApophisNova	4
29	EcksD	4
29	MyNamaSheff	4
35	pintsizedrogue	3
35	Cowison	3
35	SmashingPump	3
35	Huwulling	3
35	Lez_	3
35	SuperPooch06	3
35	Hyp3rion_	3
35	F_Uhre	3
35	CaptainAvenger7	3
35	Manaateee	3
35	El_Jalapeno	3
35	Cocoamallows	3
35	MirielThePastor	3
48	k_ce	2
48	EMC_	2
48	T045RTY	2
48	joethahobo	2
48	rarrq	2
48	Aneurysmas	2
48	Chromary	2
48	_Boipl_	2
48	ooga47	2
48	PigDab	2
48	Rasmanden	2
48	Maenara	2
48	Akoot_	2
48	luseis	2
48	Blu3beast	2
48	fluddd	2
48	SingedBread	2
48	jcool7	2
48	Skippeh	2
48	jnp_gaming	2
48	Faart	2
69	rats_life	1
69	wylify	1
69	dabloons	1
69	ECstardust	1
69	ImpavidArcher	1
69	hm947	1
69	Allchemy	1
69	Historical_Sand	1
69	beeperbeeper5	1
69	Blackberry1310	1
69	jushykins	1
69	jacxhadow	1
69	12Magner05	1
69	eviltunix	1
69	ROY4LE	1
69	John6970	1
69	fr_ser	1
69	burbankbuilder28	1
69	The11thDoctor	1
69	dartwaffle	1
69	sammidk	1
69	Meepcraft	1
69	rotten_mango	1
69	Tyrannosplart	1
69	FreakGenius	1
69	wwwwinnebagoooo	1
69	lordpipe	1
69	Druid95	1
69	WyngGoy	1
69	layabout100	1
69	kyouma777	1
69	MineMaster0012	1
69	Pundehoo	1
69	Steelynan	1
69	VentiHilton	1
69	ConnorDanky_	1
69	FGamerJ	1
69	QueenOfDirt	1
69	AltnumberF4	1
69	Enderxz3	1
69	PlasticOtari	1
69	skrongus	1
69	SilentKarma	1
69	00000000-0000-0000-0009-01fc796cc078	1
