rank	username	minecraft:killed/minecraft:skeleton_horse
1	Spacewardharpy7	514
2	Blaiku	469
3	noam464	284
4	joethahobo	275
5	Di_infiri	206
6	m_be9	203
7	TheShyPig	182
8	beeperbeeper5	140
9	FreakGenius	134
10	pintsizedrogue	112
11	MightyWertu	106
12	lillips	104
13	kekhon	99
14	jnp_gaming	94
15	PhantomsGhost_	93
15	EcksD	93
17	eitanzaki	81
17	claivin	81
19	CoffeeNoir	77
19	EveryonesUncle	77
21	Tyrannosplart	73
22	Blackberry1310	69
22	MyNameIsJobo	69
24	Skylord_Luke	68
25	Snowflowe	65
26	Hyp3rion_	60
27	HellsSponge	59
28	Frozil20	57
28	500am	57
30	YungMaki	55
31	PlasticOtari	54
32	Mahoose	50
33	EMC_	49
34	TechnoNinja64	48
35	Jovaphobic	47
35	Legendosh	47
37	thescout7	45
38	_Dean_123	44
39	Lord_Jord	42
40	KingMatthew506	38
40	Smoke____	38
42	Akoot_	37
42	vandmanden	37
44	F_Uhre	36
45	T045RTY	34
45	TheSecondLord	34
45	Blu3beast	34
48	masskedman	32
48	Eraxa	32
48	h2p_emrld	32
51	Fullut	30
52	Racengan	29
52	Njensen7	29
54	Arceus1975	28
54	burbankbuilder28	28
54	Ezekson	28
57	eiC_	27
58	Onennon	26
59	soundad	25
59	rarrq	25
61	ImpavidArcher	24
61	ConnorDanky_	24
61	Sral7	24
64	fffMike	23
65	CalebDHawk	22
65	Kubeusz2010	22
67	Nycteus_	20
67	GravitySaint	20
67	SammiWolfGirl	20
70	KarlKaek	19
70	ratglock	19
70	PigDab	19
70	Shogunite	19
70	Enderxz3	19
75	Killercatty78	18
75	Comma__	18
75	Inbefour	18
75	Deathkob	18
75	Zoeyfortnite	18
80	RoskobiOne	17
80	himak1	17
80	eviltunix	17
80	Zythose	17
84	teslawolf38	16
84	jacxhadow	16
84	bloodbiter	16
84	SuperPooch06	16
84	Bumpy419	16
84	Felenov	16
84	fluddd	16
84	Quotary	16
84	Nicserso	16
93	NatalieTW	15
93	_Virify_	15
93	I_Am_Mushkin	15
93	MirielThePastor	15
93	diggydog67	15
98	Groovy_MoonBird	14
98	Sleek_Storm_721	14
98	xxPipperDipperxx	14
98	yulgur1	14
98	NomadicRobin_	14
98	Sheldor097	14
98	bladeefan2009	14
