rank	username	minecraft:killed/minecraft:piglin_brute
1	thewindmillman	191
2	Marbz_	65
3	500am	53
4	YungMaki	43
5	MinttyFressh	33
6	pintsizedrogue	32
7	noam464	26
8	MSK__	25
9	Cowison	22
10	joethahobo	16
11	Historical_Sand	15
12	jcool7	10
13	HolyVenom	9
13	DarlaMeow	9
13	wwwwinnebagoooo	9
16	pixelviolin	8
17	egglapras	7
17	Frozil12	7
19	12Magner05	6
20	TheSecondLord	5
20	PlasticOtari	5
22	hm947	4
22	r123moore	4
24	beeperbeeper5	3
24	ApophisNova	3
24	Eraxa	3
24	Segotep999	3
24	MyNamaSheff	3
29	ROY4LE	2
29	Hyp3rion_	2
31	ChampPog_	1
31	Rebytre	1
31	fluddd	1
31	Spacewardharpy7	1
31	Miko_Fullbuster	1
31	EcksD	1
31	Smoke____	1
