rank	username	minecraft:killed/minecraft:fox
1	TheShyPig	74
2	HellsSponge	24
3	kekhon	8
4	Prismyst	5
5	Mahoose	4
5	H72l9w	4
5	Akoot_	4
8	ImpavidArcher	3
8	beeperbeeper5	3
8	VentiHilton	3
11	HBA00_	2
11	MSK__	2
11	m_be9	2
11	Kkanot	2
11	Laykon	2
11	Di_infiri	2
11	thewindmillman	2
11	claivin	2
11	monky_irl	2
11	Juh1s	2
11	obzii	2
11	FelixPSY375	2
11	MeetTheWollo	2
11	h2p_emrld	2
25	MunkaKris	1
25	pintsizedrogue	1
25	Wwamess	1
25	pZygh0st	1
25	TheBlackDeth	1
25	livingdaydreams	1
25	Jackster03	1
25	gaziter10	1
25	DirtyDalle	1
25	Blackberry1310	1
25	TheSecondLord	1
25	Fullut	1
25	Baozai	1
25	groggregg42	1
25	noam464	1
25	Kubelz	1
25	HoltGrim	1
25	mimbo1211	1
25	Zythose	1
25	Bumpy419	1
25	Skylord_Luke	1
25	Blitzwingbanter	1
25	RobotMinion101	1
25	fred870d	1
25	HolyVenom	1
25	RodSerlingCringe	1
25	Dabatha	1
25	Frozil12	1
25	Human_Resource	1
25	fluddd	1
25	Racengan	1
25	Godspirit249	1
25	Ze_BaronKrigler	1
25	AdiCatGaming	1
25	Meeerkat	1
25	Segotep999	1
25	fffMike	1
25	MilleGrug	1
25	Wolverine4302	1
25	AltnumberF4	1
25	2blox	1
25	Smoke____	1
