rank	username	minecraft:killed/minecraft:hoglin
1	noam464	329
2	gcaisawesome	259
3	Winklepicker279	142
4	thewindmillman	133
5	YungMaki	96
6	Blaiku	93
7	Di_infiri	89
8	joethahobo	85
9	TheSecondLord	81
10	Hyp3rion_	65
10	Lord_Jord	65
12	Snowflowe	61
12	Zythose	61
14	PigDab	57
15	Blackberry1310	55
15	Fullut	55
17	PlasticOtari	54
18	T045RTY	49
18	Spacewardharpy7	49
20	Cowison	48
21	RebelAndroid	47
22	500am	45
23	jacxhadow	42
24	_Virify_	41
25	RadarHz	40
26	Enderslayerxz3	36
27	HellsSponge	35
27	Smoke____	35
29	eitanzaki	32
29	Segotep999	32
31	Decaying_Lotus	30
32	fred870d	29
33	Smashic	28
33	Rebytre	28
35	r123moore	27
35	Kakolbus	27
35	EcksD	27
38	diggydog67	26
39	EveryonesUncle	25
40	mwrty	24
40	M_Patata	24
40	trexgb	24
43	pintsizedrogue	22
43	Marbz_	22
43	TheShyPig	22
43	SingedBread	22
43	Dusk_95	22
48	kekhon	21
48	Freak_Genius	21
50	livingdaydreams	20
51	MSK__	19
51	MasterNueve	19
53	Jiminie	18
54	beeperbeeper5	17
54	Frozil12	17
54	Eraxa	17
57	Historical_Sand	16
57	set67	16
59	fanofbands101	15
59	Xalithia	15
59	Nycteus_	15
59	Luigipunch989	15
59	2blox	15
64	Myszoaz	14
64	Kubeusz2010	14
64	Legendosh	14
67	_NieToksikpl_	13
67	_Razar	13
67	rarrq	13
67	trixterrx	13
67	MilleGrug	13
67	tartanboy	13
67	Ezekson	13
74	Mahoose	12
74	Inchef	12
74	ToastedGamingYT	12
74	NomadicRobin_	12
78	soundad	11
78	Dedalus36	11
78	gabriels543	11
78	ItsDeltaMC	11
82	CliffEmAll	10
82	gustarbite	10
82	Racengan	10
82	Hermanni__	10
82	Miko_Fullbuster	10
87	tuckerdoodle	9
87	bloodbiter	9
87	MinttyFressh	9
87	wwwwinnebagoooo	9
87	UltraZombie	9
87	Eczbek	9
93	_Dean_123	8
93	himak1	8
93	ROY4LE	8
93	HolyVenom	8
93	masskedman	8
93	Steelynan	8
93	jnp_gaming	8
100	RoskobiOne	7
100	Alteriity	7
100	Jackattack53	7
100	lizardfightclub	7
100	DarlaMeow	7
100	DanTheBuilderino	7
100	SkateboardR6	7
100	Spenduh	7
100	anbbang	7
100	remmisrat	7
110	KarlKaek	6
110	xPixelRainx	6
110	Awyrlas	6
110	Skylord_Luke	6
110	fw3xywashere	6
110	Sepulcro	6
110	TheEnderman548	6
110	djancak	6
110	fffMike	6
110	oxfordschool	6
120	EMC_	5
120	BlancoFlaco	5
120	Hpdinosaur	5
120	BobDeBouwer1337	5
120	12Magner05	5
120	Enigma0251	5
120	crying_wolf_13	5
120	Kubelz	5
120	SuperPooch06	5
120	burbankbuilder28	5
120	MangoTheFish	5
120	ApophisNova	5
120	NoChumpChange	5
120	DarkS0L	5
120	Eon_57	5
120	Kowcio_	5
120	jcool7	5
120	MyNamaSheff	5
138	Jovaphobic	4
138	ratglock	4
138	Nach0Bear	4
138	whoaluv	4
138	Afinnity	4
138	FishyBoy3811	4
138	Akoot_	4
138	ogoa	4
138	shrimp_flips	4
138	Quaintster	4
138	NotMeowMix	4
138	IdeallyGrey	4
138	pixelviolin	4
138	GlitchyPlate810	4
138	Slapface522	4
138	Winston_Ingram	4
138	Skippeh	4
155	Menthas	3
155	I_Am_Mushkin	3
155	Delta_Balaur	3
155	xxPipperDipperxx	3
155	benediktine1	3
155	ReverendSmith	3
155	GOOBERGABE04	3
155	Arceus1975	3
155	Wowful	3
155	KnightmareD	3
155	Syropatathe	3
155	Deathkob	3
155	lillips	3
155	MyNameIsDakar	3
155	Ze_BaronKrigler	3
155	SvenskaHugo	3
155	SammiWolfGirl	3
155	Sheldor097	3
155	Njensen7	3
155	athereall	3
155	TechnoNinja64	3
155	EcksDofficial	3
155	coobert42	3
178	nataliecool	2
178	AuroraValkyrie	2
178	chimpmunker	2
178	Wolf_Mauler_73	2
178	itburb	2
178	hm947	2
178	TAKrules	2
178	NinjaKnifeKill	2
178	ShedJr_	2
178	Da_Boss_Rani	2
178	Chickenchaser2	2
178	TheThomas69	2
178	CyrusIsTired	2
178	Master_Kol	2
178	__TheNorseMan__	2
178	TheDankPlatypus	2
178	breadbowlgamer	2
178	mariominejedi	2
178	CollinMH06	2
178	King_Pancake1	2
178	JitteryJared2	2
178	pappaberg	2
178	The_Fulgurator	2
178	HyperCave	2
178	YahooScreen9000	2
178	RodSerlingCringe	2
178	fkGrim	2
178	Lutres_Torane	2
178	GlitchMixed	2
178	RoBe__	2
178	bluefragmentt	2
178	fluddd	2
178	Hisiste	2
178	Optiprimus	2
178	AssFullaCum	2
178	MineMaster0012	2
178	stahouo	2
178	_Yonk_	2
178	CalebDHawk	2
178	FelixPSY375	2
178	kinas45y5	2
178	00000000-0000-0000-0009-01ff0c3e5e4f	2
220	Groovy_MoonBird	1
220	strongman951753	1
220	Merv__	1
220	teslawolf38	1
220	6king6colt6	1
220	Sleek_Storm_721	1
220	diamondgolem35	1
220	error10101	1
220	ImpavidArcher	1
220	Gundam_Steven	1
220	CoffeeNoir	1
220	SquadMonster	1
220	Sleepy_Time_	1
220	tramizu	1
220	LoboTheLobster	1
220	Prodiginus	1
220	SDMNAEK	1
220	4383	1
220	Ardennes	1
220	Megarboh	1
220	SoftSix	1
220	UncreativeArtist	1
220	thescout7	1
220	egglapras	1
220	theonlymagikarp	1
220	arbitraryAxiom	1
220	Touched_Bread	1
220	XboxPanda	1
220	CharlieButt	1
220	XLIFluid	1
220	CarltheCuck	1
220	BercikV	1
220	WET_WET_WET	1
220	LAVA129	1
220	drompje	1
220	BronkerBrum	1
220	TheWildMateo	1
220	Werbe	1
220	Truckoss	1
220	AlexxO_o	1
220	MousePlays	1
220	KliBeast21	1
220	Maenara	1
220	AuroraSkies	1
220	Zinkacide	1
220	yulgur1	1
220	TheCordicus	1
220	Meatlaugh	1
220	ori19	1
220	MAns_44	1
220	DeGodz4life	1
220	Vegvisir	1
220	LazySupport00	1
220	Vorlice	1
220	Airem_Core	1
220	lordpipe	1
220	Bonzaidalek	1
220	MakeHistory157	1
220	Razzgriz	1
220	LordBlaze11	1
220	kyouma777	1
220	PirreJR	1
220	__tomato	1
220	brofrickcheaters	1
220	PortlyPete69	1
220	Dreamdbr14	1
220	TheALV	1
220	alderban107	1
220	MissCeleste7	1
220	mobunni	1
220	amkold	1
220	HesDemonPants	1
220	MeetTheWollo	1
220	YoshikageBites	1
220	Jordan_R	1
220	00000000-0000-0000-0009-01f898304150	1
