rank	username	minecraft:killed/minecraft:evoker
1	thewindmillman	1239211
2	Hyp3rion_	724606
3	EcksD	515012
4	Lez_	213685
5	Spacewardharpy7	197802
6	Fuad_R	101125
7	noam464	96783
8	Da_Boss_Rani	22326
9	beeperbeeper5	17981
10	eitanzaki	7175
11	EMC_	6266
12	Smoke____	5935
13	Werbe	5384
14	Sral7	4765
15	pintsizedrogue	3349
16	FishisTTV	2914
17	Soplight	1439
18	Alteriity	1171
19	Blaiku	1153
20	dimondking777	1042
21	Lord_Jord	877
22	Merv__	847
23	stevewithclout	455
24	FirsTimeGamingTV	264
25	RebelAndroid	167
26	Snowflowe	153
27	pixelviolin	50
28	I_Am_Mushkin	48
29	YungMaki	41
30	Jackattack53	33
31	Historical_Sand	29
32	Vizzoid	24
33	12Magner05	21
34	FelixPSY375	20
35	sp00ky_ghost977	16
36	fw3xywashere	13
37	ougstur	12
37	HellsSponge	12
37	TechnoNinja64	12
40	m_be9	11
41	joethahobo	10
41	emrekn	10
43	Rebytre	9
43	claivin	9
45	Legendosh	8
46	rarrq	7
46	corvidpartyfor6	7
46	mwrty	7
46	Onennon	7
46	Inbefour	7
46	mihimihimihi	7
46	Eraxa	7
46	SvenskaHugo	7
46	Skippeh	7
46	Enderxz3	7
56	gren_ben	6
56	nattybears	6
56	TheSecondLord	6
56	kekhon	6
56	Fullut	6
56	Bumpy419	6
56	Xclax101	6
56	WyngGoy	6
56	Jimb0nat0r	6
65	_Virify_	5
65	Arceus1975	5
65	TheShyPig	5
65	MAns_44	5
65	RealGroot	5
70	k_ce	4
70	MinttyFressh	4
70	Zaridey	4
70	Maenara	4
70	Blu3beast	4
70	MightyWertu	4
70	stavgod	4
70	GlitchyPlate810	4
70	TheOuterCore	4
79	diamondgolem35	3
79	M_Patata	3
79	F_Uhre	3
79	Akoot_	3
79	AuroraSkies	3
79	MasterNueve	3
79	Ezekson	3
79	Powowowow	3
79	h2p_emrld	3
88	Bandito_Roamer	2
88	PhantomsGhost_	2
88	SmashingPump	2
88	AuroraValkyrie	2
88	shineh10	2
88	bigstankyy	2
88	DinoDoctor_	2
88	hm947	2
88	eiC_	2
88	Di_infiri	2
88	corpsecity	2
88	AlexxO_o	2
88	Kim_Jong_eel	2
88	lillips	2
88	fluddd	2
88	Hisiste	2
88	ediballbearings	2
88	SpacesickPrism	2
88	ConnorDanky_	2
107	Louiis123	1
107	ItsColin11	1
107	Frozil20	1
107	Tolhart	1
107	youhjjhhhjj	1
107	301851	1
107	Frxnkz	1
107	Comma__	1
107	ThePoliteG	1
107	slkiey	1
107	redikul	1
107	excelsionprime	1
107	thescout7	1
107	Motsaro	1
107	Mewar	1
107	r123moore	1
107	Covalents	1
107	Ecplosive	1
107	shadowthemonkey	1
107	ImDisconnected_	1
107	Marbz_	1
107	Chromary	1
107	WET_WET_WET	1
107	Fast_Turtle	1
107	pappaberg	1
107	Hiryu27	1
107	ApophisNova	1
107	J4ko8_	1
107	jewbacaman	1
107	audiocracked	1
107	luseis	1
107	Tyrannosplart	1
107	RoofTyler	1
107	MyNameIsDakar	1
107	_Karmaa	1
107	Quaintster	1
107	Racengan	1
107	MovingFish7	1
107	ayamefag	1
107	TheEnderMan548	1
107	bloomkieren	1
107	Kyrum2169	1
107	xzvu	1
107	_TCARREIRA_	1
107	Winston_Ingram	1
107	BreadBacon	1
107	MyNamaSheff	1
107	JayToe	1
