rank	username	minecraft:killed/minecraft:llama
1	Paint	28
1	HellsSponge	28
3	dudcreeper	23
4	Comma__	21
5	Ir0npack	20
6	Noah_Bez	14
6	UrbanPlanner1978	14
8	NeoJordache	13
9	q_wq	12
9	KarlKaek	12
9	Zoeyfortnite	12
12	Menthas	11
12	ImpavidArcher	11
12	Mahoose	11
12	SuperPooch06	11
16	500am	10
16	RedcatVII	10
16	Racengan	10
19	Seyaboy	9
20	jspwn	8
20	Vizzoid	8
20	Ze_BaronKrigler	8
23	RosaDoesMC	7
23	Drlzyy	7
23	Di_infiri	7
23	Austinizzle	7
23	wezzzi	7
23	fw3xywashere	7
29	eitanzaki	6
29	lotarp	6
29	lumpump	6
29	Kubelz	6
29	Blaiku	6
29	YungMaki	6
29	Njensen7	6
36	SharpDev	5
36	eiC_	5
36	SeverianTheLame	5
36	Onennon	5
36	420BreadLizard	5
36	masskedman	5
36	SolicitedPuma101	5
36	El_Jalapeno	5
36	fluddd	5
36	ayamefag	5
36	Juh1s	5
36	QueenOfDirt	5
36	vandmanden	5
36	trexgb	5
36	ThatBurritoTh0	5
51	joethahobo	4
51	H72l9w	4
51	gaziter10	4
51	beeperbeeper5	4
51	crying_wolf_13	4
51	lOlmantschi	4
51	yulgur1	4
51	chipklip	4
51	Blu3beast	4
51	IAmTheWalrus910	4
51	Eraxa	4
51	tartanboy	4
51	Ezekson	4
64	Matemaks2137	3
64	ColeSnyder	3
64	titanlax	3
64	MattieHD	3
64	UncreativeArtist	3
64	Inchef	3
64	noam464	3
64	Werbe	3
64	KeruNatsema	3
64	Shogunite	3
64	claivin	3
64	Bloo2406	3
64	the__Reaper4999	3
64	Vraem	3
64	Dusk_95	3
64	Segotep999	3
64	Slapface522	3
64	LeeMcGee30	3
64	Nicserso	3
64	Oxygen16	3
84	SyK7	2
84	fanofbands101	2
84	BlancoFlaco	2
84	openatheclose	2
84	awesomeoneme	2
84	Historical_Sand	2
84	rarrq	2
84	Ardennes	2
84	kekhon	2
84	set67	2
84	Nach0Bear	2
84	ciemacigans	2
84	DermeinUser	2
84	Purplehere	2
84	thewindmillman	2
84	Fast_Turtle	2
84	Maenara	2
84	ogoa	2
84	Jiminie	2
84	Dooinfe	2
84	Freak_Genius	2
84	Frozil12	2
84	Typadopoulos	2
84	IdeallyGrey	2
84	Zetsey	2
84	Kyrum2169	2
84	__tomato	2
84	Soplight	2
84	Western_1	2
84	obzii	2
84	ssniffles	2
84	Steelynan	2
84	Rainaldus	2
84	VentiHilton	2
84	Erased_Identity	2
84	PA_Tech_Gaming	2
84	kinas45y5	2
84	diggydog67	2
122	Jovaphobic	1
122	pintsizedrogue	1
122	Batoser	1
122	SKYPEX_	1
122	JEWISHBadenBeele	1
122	6king6colt6	1
122	error10101	1
122	Zippyzam	1
122	Natty	1
122	Da_Boss_Rani	1
122	dopplexd	1
122	ratglock	1
122	Chickenchaser2	1
122	m_be9	1
122	_Nuf	1
122	boog4loo	1
122	Irko	1
122	Delta_Balaur	1
122	SellyZ	1
122	M_Patata	1
122	Ecplosive	1
122	PeteO1995	1
122	Avermu	1
122	QueenHearts	1
122	SamZombie	1
122	_Boipl_	1
122	pappaberg	1
122	kars0n	1
122	Flucxks	1
122	ItsAki_	1
122	bee_gorl	1
122	Marrue	1
122	DeeDeeThonk	1
122	CruncyIsTaken	1
122	fred870d	1
122	PigDab	1
122	jewbacaman	1
122	TheShyPig	1
122	Genius4Hire	1
122	YahooScreen9000	1
122	Akoot_	1
122	Dabatha	1
122	KnightmareD	1
122	TheSeismicDuck	1
122	Gryglu583	1
122	The_Quack_Dealer	1
122	Meatlaugh	1
122	KermitTheKripple	1
122	Xclax101	1
122	Steven1282598	1
122	Toriankel	1
122	SkateboardR6	1
122	StanClubPenguin	1
122	MasterNueve	1
122	Naturalrogue	1
122	SvenskaHugo	1
122	pixelviolin	1
122	djancak	1
122	Spenduh	1
122	luckykill123	1
122	Seindi	1
122	ProbsNotNova	1
122	annoyingenderman	1
122	CalebDHawk	1
122	fffMike	1
122	KingMatthew506	1
122	Eczbek	1
122	laron58	1
122	TrollerYT	1
122	oxfordschool	1
122	Legendosh	1
122	jnp_gaming	1
122	Earlesstrain4	1
122	Smoke____	1
122	h2p_emrld	1
122	00000000-0000-0000-0009-01f898304150	1
