rank	username	minecraft:killed/minecraft:chicken
1	Blaiku	4781
2	TheShyPig	2741
3	Arceus1975	1412
4	noam464	1296
5	HellsSponge	1261
6	Groovy_MoonBird	1255
7	Jackattack53	1229
8	Spacewardharpy7	1195
9	PigDab	878
10	joethahobo	660
11	Kateesaur	618
12	starbits140	611
13	MakeHistory157	599
14	kekhon	545
15	YungMaki	517
16	thewindmillman	485
17	Rumpletaezer	480
18	claivin	476
19	eitanzaki	445
20	CarltheCuck	436
21	KermitTheKripple	406
22	thescout7	395
23	TechnoNinja64	393
24	Blu3beast	380
25	djancak	368
26	UrbanPlanner1978	361
27	Frozil12	333
28	pintsizedrogue	321
29	El_Jalapeno	319
30	fluddd	313
31	GingerNeutron	298
32	Di_infiri	295
33	Blackberry1310	278
34	Freak_Genius	275
35	Bandito_Roamer	271
36	Bumpy419	266
37	mobunni	264
38	KarlKaek	262
39	SuperPooch06	234
40	Sheldor097	225
41	m_be9	219
41	Snowflowe	219
43	6king6colt6	218
44	Wooptey	216
45	Legendosh	215
46	lordpipe	211
47	beeperbeeper5	210
48	Doom_melon	208
49	CoryJJ	206
50	stellarjay	204
51	Soplight	199
52	Akoot_	194
53	_Cloverbelle_	193
54	12Magner05	189
55	loveseeker	185
55	Meatlaugh	185
57	NormanFetus	183
58	The11thDoctor	182
59	emrekn	181
60	Comma__	169
61	valiSW	167
62	kinas45y5	165
63	_Boipl_	164
64	Lowjinx	155
65	KingMatthew506	151
66	ediballbearings	144
67	ImpavidArcher	143
67	KG1999	143
69	Humpcat	141
69	Mewar	141
71	SLASHZEERA	140
71	Enderslayerxz3	140
71	Smoke____	140
74	Ezekson	131
75	smogfrog	128
76	dopplexd	126
76	WyngGoy	126
78	himak1	125
79	Zaridey	119
80	lcvezra	117
81	ShedJr_	111
82	censorsheep	107
83	Russiancat1	104
84	masskedman	98
84	laron58	98
86	bloodbiter	95
86	Hiryu27	95
88	MattieHD	94
88	Cocoamallows	94
90	Natty	93
90	Babushka0430	93
92	__Auspicious	92
93	RebelAndroid	90
93	boog4loo	90
95	BlancoFlaco	89
95	chipklip	89
97	Skylord_Luke	86
97	BlankityMcBlank	86
99	EcksD	85
100	Werbe	84
100	AssEatrAndLicker	84
102	numbra	81
102	Natofthese	81
102	Mahoose	81
102	_Dean_123	81
106	abramgray	80
106	wrinkledpiglet	80
108	xxPipperDipperxx	79
108	audiocracked	79
110	T045RTY	78
111	M_Patata	77
111	OfficerAnvil	77
113	Fullut	76
114	KlausVonStiglitz	75
115	Tolhart	73
116	jacxhadow	72
117	Xclax101	70
118	_Bruhtastic_	69
119	hm947	68
120	SvenskaHugo	67
120	oxfordschool	67
122	Ssor69	66
122	sp00ky_ghost977	66
124	Rich_Kat	65
125	SlayerCrypto	62
125	tartanboy	62
127	Ilinca_Io	60
127	ratglock	60
127	jcool7	60
127	Njensen7	60
131	bbrothers_5	59
131	gcaisawesome	59
131	Vetral1	59
134	zorin123	57
134	Lord_Jord	57
134	jnp_gaming	57
137	SpicyMeatballs	56
137	_8man	56
139	Paint	55
140	rarrq	54
140	_Nuf	54
140	IAmTheWalrus910	54
140	EcksDofficial	54
144	Merv__	53
144	TheSecondLord	53
144	Kryktal	53
147	Incinere	52
147	brrh	52
149	500am	51
149	ApophisNova	51
149	lillips	51
149	Spenduh	51
149	MyNamaSheff	51
154	Ravenbie	50
154	Windo_licker	50
156	SaucyDark	49
157	burbankbuilder28	48
157	MyNameIsDakar	48
157	Kowcio_	48
157	Miko_Fullbuster	48
157	Powowowow	48
162	Kim_Jong_eel	47
163	UltimuShadow	46
163	Nicserso	46
165	Awyrlas	45
165	Kubelz	45
165	Donutt	45
165	bean__salad	45
165	monky_irl	45
165	Zoeyfortnite	45
171	intropass	44
171	Inbefour	44
173	CoffeeNoir	42
173	Frxnkz	42
175	error10101	41
175	AlexStrange	41
175	PabloGonza02	41
175	SammiWolfGirl	41
175	Kubeusz2010	41
180	dudcreeper	40
180	faulder	40
180	ItsAki_	40
180	RedcatVII	40
180	sea_otter_h	40
185	teslawolf38	39
185	fred870d	39
187	sebastiensaborio	38
188	AJplaysMC_	36
188	Onennon	36
188	Warlord324	36
188	PlasticOtari	36
192	Enigma0251	35
192	Hyp3rion_	35
192	EveryonesUncle	35
192	Toriankel	35
192	AvaRosey	35
192	Moetis	35
198	TooManyDuck	34
198	Batman922	34
198	IdeallyGrey	34
198	h2p_emrld	34
198	561cool	34
203	Froste131	33
203	BRRRN179	33
203	Sky_light_KING	33
203	MightyWertu	33
203	MeetTheWollo	33
208	bigstankyy	32
208	silverpopcorn	32
208	Deguns123	32
208	LeeMcGee30	32
212	Ardennes	31
212	FungalCat	31
212	PlzNoBM	31
215	pZygh0st	30
215	HollieDaNugget	30
215	__TheNorseMan__	30
215	trixterrx	30
215	Bloo2406	30
215	GlitchyPlate810	30
221	MinttyFressh	29
221	mimbo1211	29
221	ehunt54	29
221	tobinwilliams	29
221	__tomato	29
226	Sleek_Storm_721	28
226	H72l9w	28
226	set67	28
226	Kakolbus	28
226	Giannism	28
226	DTwenty	28
226	fffMike	28
233	Kynigito	27
233	Jiminbub	27
233	OG_Songsee	27
233	Sank34	27
237	lia1337owo	26
237	StylesK	26
237	AlphaWolfPlaysMC	26
237	NebulousBadger	26
237	Naturalrogue	26
237	stavgod	26
237	alderban107	26
244	Jokerman369	25
244	Inchef	25
244	DemTechAlpha	25
244	SingedBread	25
244	radioactv_jelly	25
244	krutas2000	25
250	mwrty	24
250	Paintz	24
250	regulator75	24
250	SonicRainBow_	24
250	NomadicRobin_	24
250	GoofyBread	24
250	Quaintster	24
257	MunkaKris	23
257	Mowelan	23
257	awesomeoneme	23
257	Nach0Bear	23
257	plato2066	23
257	a_smol_bean	23
263	Voltique69	22
263	Os_qq	22
263	FirsTimeGamingTV	22
263	MrExplorer	22
263	Winklepicker279	22
263	420BreadLizard	22
263	yulgur1	22
263	Breb74	22
271	Simon_Lowell	21
271	ROY4LE	21
271	RodSerlingCringe	21
271	Eraxa	21
271	Seindi	21
271	anbbang	21
277	LavenderBi1ch	20
277	Quincannon	20
277	BigCronkin	20
277	MasterNueve	20
277	layabout100	20
277	_3Stump_	20
277	Skippeh	20
284	Misato_0	19
284	Z3braYTIL	19
284	Gingayy	19
284	ItzYaBoiPicard	19
284	F_22_	19
284	skelctal	19
284	St4nLe7	19
284	_Tilariel_	19
292	domon41c_2	18
292	EMC_	18
292	Historical_Sand	18
292	Euclidoris	18
292	DAD_1996	18
292	Kennyissleepy	18
292	Jiminie	18
292	Shogunite	18
292	stahouo	18
