rank	username	minecraft:killed/minecraft:pufferfish
1	Hyp3rion_	86
2	thewindmillman	38
3	hm947	24
3	12Magner05	24
5	pintsizedrogue	21
6	h2p_emrld	20
7	Sleek_Storm_721	17
7	kekhon	17
9	Blackberry1310	16
9	xxPipperDipperxx	16
11	noam464	11
11	Zythose	11
11	Spacewardharpy7	11
14	The11thDoctor	10
15	1442	9
15	YungMaki	9
17	ImpavidArcher	8
17	joethahobo	8
17	Xalithia	8
17	Rasmanden	8
21	Lez_	7
21	Inchef	7
21	Akoot_	7
24	surfinggiraffejp	6
24	CollinMH06	6
24	TheShyPig	6
24	Blu3beast	6
28	T045RTY	5
28	TheSecondLord	5
28	500am	5
28	Onennon	5
28	Blaiku	5
28	Steelynan	5
28	oxfordschool	5
35	6king6colt6	4
35	beeperbeeper5	4
35	jacxhadow	4
35	Zaridey	4
35	Di_infiri	4
35	Jackattack53	4
35	SuperPooch06	4
35	Quaintster	4
35	Frozil12	4
35	Nicserso	4
45	Myszoaz	3
45	m_be9	3
45	Nicky_H225	3
45	NotoriousNina	3
45	RocketRidge	3
45	Bumpy419	3
45	SonicRainBow_	3
45	Werbe	3
45	RobotMinion101	3
45	Kynigito	3
45	FishyBoy3811	3
45	Jiminie	3
45	Lutres_Torane	3
45	MightyWertu	3
45	Dusk_95	3
45	Ezekson	3
45	kinas45y5	3
62	dudcreeper	2
62	Jorrdi	2
62	Incinere	2
62	RebelAndroid	2
62	brandonjames_h	2
62	Da_Boss_Rani	2
62	rarrq	2
62	titanlax	2
62	_Dean_123	2
62	mwrty	2
62	Motsaro	2
62	Chromary	2
62	burbankbuilder28	2
62	Rebytre	2
62	Renchi19	2
62	Soap_Bender	2
62	claivin	2
62	fluddd	2
62	Eraxa	2
62	djancak	2
62	Soplight	2
62	NATE_the_HALO	2
62	PlzNoBM	2
62	Njensen7	2
62	Skippeh	2
62	Sral7	2
88	Elprone266	1
88	JohnnyFyes	1
88	PhantomsGhost_	1
88	MayorEden	1
88	Merv__	1
88	AuroraValkyrie	1
88	SlowMoNinja1994	1
88	TheBlackDeth	1
88	bigstankyy	1
88	itburb	1
88	eitanzaki	1
88	lotarp	1
88	tsohomie	1
88	MSK__	1
88	MrKrabOnCoke	1
88	Swexti	1
88	IWorkAtIkea	1
88	Shadoko_	1
88	Frxnkz	1
88	Cryptacity	1
88	ThePoliteG	1
88	MinttyFressh	1
88	_Nuf	1
88	corvidpartyfor6	1
88	shyshyannne	1
88	Kkanot	1
88	UncreativeArtist	1
88	LeauVox4921	1
88	gcaisawesome	1
88	Covalents	1
88	mimbo1211	1
88	loveseeker	1
88	MyNameIsJobo	1
88	_naturell	1
88	LilLizardWizard	1
88	Maenara	1
88	SpookyDraggin	1
88	NomadicRobin_	1
88	masskedman	1
88	SpouHn	1
88	EveryonesUncle	1
88	fkGrim	1
88	lillips	1
88	majlin16	1
88	DarlaMeow	1
88	Fuad_R	1
88	HellsSponge	1
88	QueenShuvi	1
88	monky_irl	1
88	ayamefag	1
88	stahouo	1
88	stellarjay	1
88	Nekomin0	1
88	Western_1	1
88	ProbsNotNova	1
88	Moetis	1
88	Winston_Ingram	1
88	EcksD	1
88	Enderslayerxz3	1
88	Legendosh	1
88	TheRealHi	1
