rank	username	minecraft:killed/minecraft:piglin
1	thewindmillman	840
2	noam464	718
3	Hyp3rion_	332
4	TheSecondLord	306
5	Cowison	295
6	500am	236
7	PigDab	224
7	YungMaki	224
9	gcaisawesome	223
10	joethahobo	219
11	Blaiku	201
12	beeperbeeper5	194
13	Marbz_	193
14	Snowflowe	192
15	pintsizedrogue	172
16	RealGroot	170
17	Winklepicker279	153
18	mwrty	152
19	Fullut	151
20	Spacewardharpy7	150
21	r123moore	142
22	EcksD	136
23	wwwwinnebagoooo	132
24	HellsSponge	128
25	Zythose	127
26	_Virify_	126
27	PlasticOtari	117
28	Di_infiri	115
29	Rebytre	110
30	diggydog67	109
31	Smashic	108
31	lizardfightclub	108
33	Historical_Sand	107
34	Enderxz3	98
35	Dusk_95	92
36	MinttyFressh	88
37	ITDV	84
37	Lord_Jord	84
39	rarrq	78
39	Smoke____	78
41	Alteriity	76
41	EveryonesUncle	76
43	luseis	74
44	NomadicRobin_	73
45	Legendosh	72
46	RadarHz	71
47	set67	69
48	T045RTY	68
48	Elastiq	68
50	Blackberry1310	66
51	Racengan	65
52	hm947	61
53	ZA07	60
53	FreakGenius	60
55	pixelviolin	59
56	Frozil20	58
56	Esme_1	58
58	M_Patata	54
59	F_Uhre	53
60	Mahoose	51
61	RebelAndroid	50
62	eitanzaki	48
62	SingedBread	48
64	trexgb	46
65	Arceus1975	43
66	fanofbands101	42
66	Nycteus_	42
68	DarlaMeow	40
68	Luigipunch989	40
70	kekhon	39
71	Kowcio_	38
72	ImpavidArcher	35
72	Eraxa	35
74	djancak	34
75	PazinGaming	33
75	Crowman1	33
75	Kakolbus	33
78	Decaying_Lotus	32
79	EMC_	31
79	RoofTyler	31
79	Iamthejo	31
82	ApophisNova	30
82	NoChumpChange	30
82	MyNamaSheff	30
82	AltnumberF4	30
86	NieToksikpl	28
86	12Magner05	28
86	ReSynced	28
89	MasterNueve	27
90	binman420	26
90	gusstationwerker	26
90	Ezekson	26
93	JitteryJared2	25
93	Akoot_	25
93	fluddd	25
96	shineh10	24
97	Awyrlas	23
97	ItsDeltaMC	23
99	Jackattack53	22
100	soundad	21
100	DarkS0L	21
102	_Razaria	20
102	tuckerdoodle	20
102	_Dean_123	20
102	himak1	20
102	FishyBoy3811	20
102	zToasty69z	20
102	gustarlep	20
109	Shogunite	19
109	tartanboy	19
111	SkateboardR6	18
111	2bolx_	18
113	Hpdinosaur	17
113	NinjaKnifeKill	17
113	xPixelRainx	17
113	bloodbiter	17
113	ROY4LE	17
113	CharlieButt	17
113	Chromary	17
113	fw3xywashere	17
113	Steelynan	17
113	ConnorDanky_	17
123	Mythic1130	16
123	MilleGrug	16
123	EngagedGrub41	16
126	PhantomsGhost_	15
126	I_Am_Mushkin	15
126	Secret_Canary	15
126	gabriels543	15
126	Groundler	15
131	NatalieTW	14
131	bigstankyy	14
131	Xalithia	14
131	Hisiste	14
131	jcool7	14
131	Hermanni__	14
137	FazeObama69	13
137	GlitchyPlate810	13
137	UltraZombie	13
137	Eczbek	13
137	00000000-0000-0000-0009-01ff0c3e5e4f	13
142	SmashingPump	12
142	jacxhadow	12
142	mariominejedi	12
142	MightyWertu	12
142	lordpipe	12
142	monky_irl	12
142	jnp_gaming	12
149	RoskobiOne	11
149	ratglock	11
149	Maenara	11
149	DanTheBuilderino	11
153	Groovy_MoonBird	10
153	gren_ben	10
153	ReverendSmith	10
153	MangoTheFish	10
153	masskedman	10
153	fffMike	10
153	FishisTTV	10
160	chimpmunker	9
160	diamondgolem35	9
160	livingdaydreams	9
160	Myszoaz	9
160	lorpus	9
160	Touched_Bread	9
160	trixterrx	9
160	Moofyman	9
160	Gryglu583	9
160	claivin	9
160	IdeallyGrey	9
160	MirielThePastor	9
160	xolstoi	9
160	Jordan_R	9
160	remmisrat	9
175	BlancoFlaco	8
175	UncreativeArtist	8
175	SuperPooch06	8
175	WET_WET_WET	8
175	shrimp_flips	8
175	the__Reaper4999	8
175	mihimihimihi	8
182	Jovaphobic	7
182	AuroraValkyrie	7
182	SyntheticSurgeon	7
182	CoffeeNoir	7
182	XboxPanda	7
182	Luminad3	7
182	Deathkob	7
182	MS_Pryxx	7
182	Vorlice	7
182	Razzgriz	7
182	Kura2218	7
182	Soplight	7
182	PortlyPete69	7
182	Njensen7	7
182	Skippeh	7
182	FelixPSY375	7
182	calamariclam_I	7
182	coobert42	7
200	teslawolf38	6
200	q_wq	6
200	Incinere	6
200	Lez_	6
200	4383	6
200	fade_emerge78823	6
200	Kubelz	6
200	KartivGal	6
200	MyNameIsDakar	6
200	501g	6
200	LazySupport00	6
200	WyngGoy	6
200	Sheldor097	6
213	Killercatty78	5
213	Megarboh	5
213	Hiryu27	5
213	TheShyPig	5
213	KliBeast21	5
213	ogoa	5
213	Lutres_Torane	5
213	LordBlaze11	5
213	Kubeusz2010	5
213	MissCeleste7	5
213	anbbang	5
213	smogfrog	5
213	WYFYoyo	5
226	Merv__	4
226	Yatitay	4
226	KarlKaek	4
226	LeDuctTape	4
226	RatatJuice	4
226	Flores991	4
226	lotarp	4
226	ShedJr_	4
226	SDMNAEK	4
226	jushykins	4
226	Enigma0251	4
226	Inchef	4
226	__TheNorseMan__	4
226	Billious	4
226	The_Fulgurator	4
226	Skylord_Luke	4
226	Afinnity	4
226	YahooScreen9000	4
226	Wowful	4
226	420BreadLizard	4
226	lillips	4
226	StinkyDiplomat	4
226	EfficientC52	4
226	GravitySaint	4
226	ProfessorDiaper	4
226	Ze_BaronKrigler	4
226	TheEnderMan548	4
226	SvenskaHugo	4
226	PirreJR	4
226	brofrickcheaters	4
226	jaimshae	4
226	LeEricc	4
226	SammiWolfGirl	4
226	_Yonk_	4
226	Slapface522	4
226	little_dUki	4
262	chipklip	3
262	MixerDixer	3
262	Sleek_Storm_721	3
262	Jindong	3
262	ExtraDumb	3
262	DinoDoctor_	3
262	SpaceGrenadier	3
262	gaziter10	3
262	Sleepy_Time_	3
262	ccwildfire1	3
262	Chickenchaser2	3
262	Ardennes	3
262	Master_Kol	3
262	4774	3
262	Yirtle	3
262	xxPipperDipperxx	3
262	olliebollie48	3
262	TheDankPlatypus	3
262	CollinMH06	3
262	LAVA129	3
262	pappaberg	3
262	HAIRYCLOUD626	3
262	TheWildMateo	3
262	unren	3
262	AlexxO_o	3
262	SvenskaAlvar	3
262	halfwayup	3
262	parodypatient	3
262	NameGenerat0r	3
262	THEKINGLyric10	3
262	IvarEXE	3
262	Eon_57	3
262	07shiny	3
262	NATE_the_HALO	3
262	CalebDHawk	3
262	LeeMcGee30	3
262	Dreamdbr14	3
262	Erased_Identity	3
262	amkold	3
