rank	username	minecraft:killed/minecraft:glow_squid
1	Nicserso	312
2	Marbz_	179
3	Legendosh	150
4	Ezekson	147
5	TheSecondLord	132
6	non089	107
7	Kowcio_	105
8	pixelviolin	94
9	Hyp3rion_	88
10	MSK__	85
11	thewindmillman	84
12	TheWickedBird	77
13	pintsizedrogue	76
14	12Magner05	68
14	Jackattack53	68
16	Merv__	65
17	k_ce	63
18	myaccountwasgone	57
18	EveryonesUncle	57
20	calamariclam_I	56
21	TheBananaKat	55
22	Archsam	54
23	Enderxz3	50
24	RebelAndroid	49
25	Apollo_993	48
26	pretty_pink_reno	47
27	500am	46
27	StarCookiees_	46
29	RoskobiOne	43
30	Blackberry1310	42
31	Kakolbus	41
31	U_Mos_	41
33	beeperbeeper5	38
34	AlexxO_o	37
35	Hisiste	33
36	luseis	31
37	ECstardust	30
38	Huwulling	29
38	Mahoose	29
40	QuiCreans	26
40	Segotep999	26
42	Franco093	25
43	joethahobo	24
43	royal_2	24
45	poopybh	23
46	_Destina_	22
46	oscminus	22
46	MAns_44	22
49	CLG_Kata	21
49	EMC_	21
49	SnowyAvi	21
49	Sleepy_Evelyn	21
49	Smashic	21
54	Killercatty78	20
54	SingedBread	20
54	YungMaki	20
54	skitzxo	20
58	crashomon	18
58	tsitrawhy	18
60	corvidpartyfor6	17
60	TheDankPlatypus	17
60	Moss_2006	17
60	fffMike	17
64	Frozil20	16
64	MattieHD	16
64	fade_emerge78823	16
64	That_tech_head	16
64	Fuad_R	16
64	MustardSquid	16
64	Quotary	16
71	Snowflowe	15
72	q_wq	14
72	Alteriity	14
74	Ryker	13
74	HUNTERmaun	13
74	Arceus1975	13
74	ZoomieZoomie	13
78	SmashingPump	12
78	Veillax135	12
78	ItsDeltaMC	12
78	SvenskaHugo	12
78	Invintic	12
78	DairyNickel756	12
84	CoffeeNoir	11
84	Crizma_	11
84	Secret_Canary	11
84	Inchef	11
84	Touched_Bread	11
84	noam464	11
84	weabis	11
84	FiguraDei	11
84	Spenduh	11
84	EngagedGrub41	11
84	WYFYoyo	11
95	chrolus	10
95	Sleepy_Time_	10
95	Jonafrog99	10
95	AuroraSkies	10
99	lorywithay	9
99	Prismyst	9
99	excelsionprime	9
99	Winklepicker279	9
99	PaperCanvas	9
99	KeruNatsema	9
99	Lutres_	9
99	Manaateee	9
99	sp00ky_ghost977	9
99	TheALV	9
99	Yamdalorian	9
110	Lez_	8
110	cheese_spider12	8
110	Hydro___________	8
110	mrnosetackle	8
110	DadWorksForSega	8
110	Lord_Jord	8
110	BungalowBeet	8
117	skroobiez	7
117	Silvo614	7
117	TheWildMateo	7
117	Dan_Scha	7
117	Tropiicant	7
117	Avocadogerms	7
117	kalzor	7
117	Blu3beast	7
117	Buuck_	7
117	MilleGrug	7
117	Steelynan	7
117	EcksD	7
117	Jimb0nat0r	7
117	PlasticOtari	7
131	H0UNDFRMH3LL	6
131	shineh10	6
131	hm947	6
131	Morgf	6
131	_Nat666	6
131	Juansinmiedo18	6
131	SuperPooch06	6
131	hanaryheatwave	6
131	Boipl	6
131	Wowful	6
131	shrimp_flips	6
131	ConJaBz	6
131	NATE_the_HALO	6
131	FormulaNewt3627	6
145	Pofen	5
145	Crowman1	5
145	falcon244	5
145	gcaisawesome	5
145	Kubelz	5
145	Malware_Mara	5
145	2extreeme	5
145	ApophisNova	5
145	PigDab	5
145	groofles	5
145	FreakGenius	5
145	GravitySaint	5
145	iSammael	5
145	Blasterboy54	5
145	11Brewer	5
