rank	username	minecraft:killed/minecraft:goat
1	500am	549
2	Alteriity	166
3	Iamthejo	22
4	MAns_44	15
5	thewindmillman	13
6	PlasticOtari	12
7	Luminad3	8
7	fluddd	8
7	Trioxide	8
10	k_ce	7
11	YungMaki	6
11	_i_ERROR_i_	6
13	Legendosh	5
14	CLG_Kata	4
14	Lez_	4
14	jessewegottacook	4
14	Kakolbus	4
14	Manaateee	4
14	Segotep999	4
14	Skippeh	4
21	teslawolf38	3
21	hm947	3
21	Huwulling	3
21	corvidpartyfor6	3
21	Kubelz	3
21	Hyp3rion_	3
21	Skylord_Luke	3
21	luseis	3
29	MuffinManzz	2
29	_stets	2
29	soundad	2
29	DinoDoctor_	2
29	ImpavidArcher	2
29	RebelAndroid	2
29	Mahoose	2
29	Item_Store	2
29	TheSecondLord	2
29	_Nat666	2
29	Chickenchaser2	2
29	Winklepicker279	2
29	Jackattack53	2
29	TheWildMateo	2
29	lizardfightclub	2
29	TheOuterCore	2
29	mobunni	2
29	trexgb	2
29	00000000-0000-0000-0009-01ff0c3e5e4f	2
48	__lizi	1
48	Killercatty78	1
48	Flores991	1
48	ZaneABrain	1
48	Da_Boss_Rani	1
48	beeperbeeper5	1
48	IKeepDying	1
48	Inchef	1
48	imcombxt	1
48	ZeroAbyssTTV	1
48	SuperPooch06	1
48	_Boipl_	1
48	Rocco_Lane	1
48	Mattesco	1
48	LeGold	1
48	zToasty69z	1
48	AstreaTSS	1
48	BeeMuncher2	1
48	mihimihimihi	1
48	lordpipe	1
48	Bonzaidalek	1
48	IdeallyGrey	1
48	Kowcio_	1
48	Spenduh	1
48	fffMike	1
48	Steelynan	1
48	Physics_Breaker	1
48	EcksD	1
48	AltnumberF4	1
