rank	username	minecraft:killed/minecraft:wither
1	Frozil20	337
2	Spacewardharpy7	300
3	HellsSponge	204
4	NomadicRobin_	162
5	noam464	157
6	Blaiku	114
7	thescout7	107
8	jnp_gaming	50
9	PigDab	42
10	eitanzaki	39
11	Di_infiri	31
12	Hyp3rion_	26
13	joethahobo	24
13	AdmiralSmoke	24
15	r123moore	22
16	thewindmillman	19
16	vandmanden	19
18	rarrq	18
19	gcaisawesome	12
19	Tyrannosplart	12
21	yheece	11
21	EveryonesUncle	11
21	PortlyPete69	11
24	Arceus1975	10
24	Krowuss	10
24	Skippeh	10
27	MattieHD	9
27	YungMaki	9
27	_i_ERROR_i_	9
30	_Meow_Mix	6
30	MilleGrug	6
30	Jimb0nat0r	6
33	RebelAndroid	5
33	mwrty	5
33	wezzzi	5
33	TechnoNinja64	5
37	SmashingPump	4
37	beeperbeeper5	4
37	TheSecondLord	4
37	Jackattack53	4
37	Zythose	4
37	TheShyPig	4
37	zToasty69z	4
37	Groundler	4
37	Cocoamallows	4
46	Mahoose	3
46	set67	3
46	Eczbox	3
46	oscminus	3
46	ApophisNova	3
46	Onennon	3
46	Rasmanden	3
46	claivin	3
46	Blu3beast	3
46	Kowcio_	3
46	Spenduh	3
46	Eczbek	3
46	EcksD	3
46	MyNamaSheff	3
46	2blox_	3
61	pintsizedrogue	2
61	Groovy_MoonBird	2
61	Merv__	2
61	ECstardust	2
61	I_Am_Mushkin	2
61	SaucyDark	2
61	TooManyDuck	2
61	tuckerdoodle	2
61	Alteriity	2
61	Blackberry1310	2
61	Comma__	2
61	jushykins	2
61	eviltunix	2
61	SellyZ	2
61	Chromary	2
61	Rumpletaezer	2
61	King_Pancake1	2
61	Corbsman	2
61	AlphaWolfPlaysMC	2
61	audiocracked	2
61	lillips	2
61	fluddd	2
61	Soplight	2
61	xzvu	2
61	Ezekson	2
86	k_ce	1
86	Bandito_Roamer	1
86	Apollo_993	1
86	PhantomsGhost_	1
86	q_wq	1
86	KarlKaek	1
86	Jindong	1
86	Iagoku	1
86	ColeSnyder	1
86	Gundam_Steven	1
86	jimintyy	1
86	ITDV	1
86	301851	1
86	Historical_Sand	1
86	gaziter10	1
86	nocturne78	1
86	SquadMonster	1
86	titanlax	1
86	BobDeBouwer1337	1
86	Nicky_H225	1
86	ThePoliteG	1
86	Megarboh	1
86	_Nuf	1
86	Secret_Canary	1
86	boog4loo	1
86	excelsionprime	1
86	IKeepDying	1
86	Kamflame10	1
86	Scathra	1
86	KGTV	1
86	Mewar	1
86	ROY4LE	1
86	XboxPanda	1
86	M_Patata	1
86	Zaridey	1
86	Ecplosive	1
86	RefluxRatio	1
86	_8man	1
86	Bumpy419	1
86	Hiryu27	1
86	Mattesco	1
86	J4k__	1
86	Dan_Scha	1
86	Maenara	1
86	xDraggin	1
86	Wowful	1
86	Deodorante	1
86	YungWali	1
86	Manaateee	1
86	drumine	1
86	GoofyBread	1
86	DarlaMeow	1
86	Soap_Bender	1
86	The_slideV3	1
86	NameGenerat0r	1
86	Shogunite	1
86	Nycteus_	1
86	Xclax101	1
86	MightyWertu	1
86	Racengan	1
86	SingedBread	1
86	Hisiste	1
86	MasterNueve	1
86	MakeHistory157	1
86	33sudo	1
86	Eraxa	1
86	07shiny	1
86	pixelviolin	1
86	AssFullaCum	1
86	Kyrum2169	1
86	MineMaster0012	1
86	djancak	1
86	__tomato	1
86	_TCARREIRA_	1
86	Heisenbberrg	1
86	Steelynan	1
86	alderban107	1
86	Kubeusz2010	1
86	MissCeleste7	1
86	tartanboy	1
86	ConnorDanky_	1
86	BreadBacon	1
86	Nicserso	1
86	FelixPSY375	1
86	Enderxz3	1
86	Legendosh	1
86	Zoeyfortnite	1
86	xolstoi	1
86	trexgb	1
86	diggydog67	1
