rank	username	minecraft:killed/minecraft:polar_bear
1	thewindmillman	25
2	Mahoose	10
3	Di_infiri	9
3	SingedBread	9
5	TheSecondLord	8
6	noam464	6
6	tartanboy	6
6	Ezekson	6
9	KarlKaek	5
9	beeperbeeper5	5
11	BlancoFlaco	4
11	Historical_Sand	4
11	ROY4LE	4
11	WarMachina	4
11	Frozil12	4
16	dudcreeper	3
16	H72l9w	3
16	set67	3
16	IforgotCS_Source	3
16	Matek_	3
16	Rocco_Lane	3
16	Werbe	3
16	fkGrim	3
16	HellsSponge	3
16	AssEatrAndLicker	3
16	Blu3beast	3
16	Xclax101	3
16	fluddd	3
16	stellarjay	3
16	Moetis	3
16	sebastiensaborio	3
16	vandmanden	3
33	xyct	2
33	hm947	2
33	_Razar	2
33	imthatpikachu	2
33	rarrq	2
33	Blackberry1310	2
33	Bolete	2
33	burbankbuilder28	2
33	RodSerlingCringe	2
33	yulgur1	2
33	SwooshBoi	2
33	MovingFish7	2
33	Spenduh	2
33	obzii	2
33	Njensen7	2
33	KingMatthew506	2
33	Skippeh	2
33	2blox	2
33	EcksDofficial	2
52	Groovy_MoonBird	1
52	seanitoo	1
52	Bandito_Roamer	1
52	heysushii	1
52	Paint	1
52	Drlzyy	1
52	Merv__	1
52	chimpmunker	1
52	bigstankyy	1
52	ImpavidArcher	1
52	eitanzaki	1
52	T045RTY	1
52	Myszoaz	1
52	joethahobo	1
52	Michaelelelelele	1
52	tramizu	1
52	12Magner05	1
52	Ardennes	1
52	kekhon	1
52	shyshyannne	1
52	_Dean_123	1
52	boog4loo	1
52	Kkanot	1
52	Cambo5000	1
52	UncreativeArtist	1
52	Irko	1
52	Inchef	1
52	Septemb3r	1
52	BlueZabu	1
52	Ristebraaten	1
52	fr_ser	1
52	Jackattack53	1
52	Arceus1975	1
52	Hyp3rion_	1
52	_8man	1
52	Donutt	1
52	ApophisNova	1
52	Onennon	1
52	wrinkledpiglet	1
52	Jonte0599	1
52	_naturell	1
52	FishyBoy3811	1
52	Rasmanden	1
52	Sky_light_KING	1
52	Akoot_	1
52	wezzzi	1
52	SpookyDraggin	1
52	420BreadLizard	1
52	KevinLikesPie	1
52	Lord_Zacler	1
52	proxivitoid	1
52	ebanana	1
52	The_slideV3	1
52	Shogunite	1
52	claivin	1
52	QueenShuvi	1
52	Spacewardharpy7	1
52	IAmTheWalrus910	1
52	layabout100	1
52	Fizznut909	1
52	lcvezra	1
52	GlitchyPlate810	1
52	Ir0npack	1
52	fffMike	1
52	K_a__a_n	1
52	alderban107	1
52	VentiHilton	1
52	OfficerAnvil	1
52	Haadrada	1
52	MyNamaSheff	1
52	Nicserso	1
52	FelixPSY375	1
52	AltnumberF4	1
52	jnp_gaming	1
