rank	username	minecraft:killed/minecraft:zombie_pigman
1	Yahrto	425
2	Dogcorn69420	407
3	vandmanden	276
4	Bandito_Roamer	235
5	jedi_george	132
6	Onennon	126
7	RefluxRatio	124
8	Cocoamallows	120
9	Rasmanden	114
10	Comma__	104
11	stavgod	89
12	ImDisconnected_	88
13	xDraggin	87
14	jimintyy	78
14	Mewar	78
16	SellyZ	75
17	legal_tax_evader	73
18	SUN_DREAM	63
19	Zaridey	61
20	J4ko8_	48
21	_TCARREIRA_	45
22	OG_Songsee	41
23	Ninzyyy	40
23	UrbanPlanningEx	40
25	Meepcraft	39
26	dudcreeper	37
26	KomputerDude	37
26	_8man	37
26	RobotMinion101	37
26	marumochis	37
31	AlphaWolfPlaysMC	36
32	Ladder_Jockey	35
33	ThePoliteG	34
33	MyNameIsJobo	34
35	youhjjhhhjj	33
36	HoldThatPee	32
36	Moetis	32
38	Harotio	30
39	zmpeg	28
40	Soul_Atreus	27
41	Corbsman	26
42	MustardDrinker	23
42	TheDumbHuman	23
44	Lukeee33	22
44	fr_ser	22
44	audiocracked	22
44	DarkLawD	22
44	TheOnlyRake	22
49	IamCL4SSY	21
50	AJplaysMC_	20
51	Guillemet	19
52	Reamdin	17
52	Ssor69	17
52	dopplexd	17
52	QueenShuvi	17
52	_AAZAR	17
57	The11thDoctor	16
57	KermitTheKripple	16
57	Travka100	16
60	Fildyr	15
61	mawileite	14
61	JayToe	14
63	Zippyzam	13
63	eiC_	13
63	YungWali	13
66	PuustaKauasPdnt	12
66	GoofyBread	12
66	Northernrabbit	12
69	Simon_Lowell	10
69	CantinaTaco	10
69	Frxnkz	10
69	sxc_	10
69	SwooshBoi	10
69	MovingFish7	10
75	maxdacatv2	9
75	Cortexia	9
75	Bobby808	9
75	MusicMe1005	9
79	Tobinator_007	8
79	StanceTB	8
79	RocketRidge	8
79	Sank34	8
79	JungeSchnauzer	8
84	RosaDoesMC	7
84	Paleshield	7
84	Vizzoid	7
84	groggregg42	7
84	SilentKarma	7
89	jpoxman	6
89	picardred	6
89	The_slideV3	6
89	OfficerAnvil	6
93	seanitoo	5
93	ewsophie	5
93	epiksk8erduck	5
93	aa2x_	5
93	Aezekial	5
93	__hinterland__	5
93	PabloGonza02	5
93	Vellu21	5
101	Iagoku	4
101	featherflyy	4
101	Nostrom	4
101	AJbeast01	4
101	Noah_Bez	4
101	BlueZabu	4
101	Skomo	4
101	jewbacaman	4
101	stuy9	4
101	SexcMf	4
101	ItsJunoIGuess	4
112	heysushii	3
112	ColeSnyder	3
112	301851	3
112	firesgal3116	3
112	AngalexikCZ	3
112	Septemb3r	3
112	Bolete	3
112	LilyNova	3
112	rotten_mango	3
112	MustaLoordi	3
112	bitsplease	3
112	Deliriohm	3
124	JuckFuan	2
124	CarsonDoesMine	2
124	ssleepless	2
124	BodaciousCake	2
124	AlazelTheReal	2
124	Butternutsquatch	2
124	AxRizzo	2
124	DarkFisto	2
124	Aatronix	2
124	Motsaro	2
124	intropass	2
124	Stiar	2
124	Bazongoman	2
124	Tandy117	2
124	Voxin2K	2
124	Kynigito	2
124	handsome_strong	2
124	C0oOK13M0N5T3R	2
124	Chaotic1s	2
124	potatocan	2
144	SaltineDream	1
144	dabloons	1
144	hollowww	1
144	Ailmast	1
144	TildaAndrea	1
144	caltosy	1
144	TheBlackDeth	1
144	MezzaVevo	1
144	the_fireminer	1
144	Arteriana	1
144	fr0stss	1
144	Ozixar	1
144	gilesmcriles	1
144	Rich_Kat	1
144	eddiehobbit	1
144	DarkDescent2392	1
144	AdvertisingMerc	1
144	TheDiamondCG	1
144	FemboyFwuit	1
144	Blazebit	1
144	ketaminmann	1
144	emrekn	1
144	Tjhodskins19	1
144	Diavri	1
144	BigMoneyH	1
144	willowcherrytree	1
144	ibarker21	1
144	Aerqophs	1
144	AlexStrange	1
144	Nyxiom_	1
144	kars0n	1
144	DAD_1996	1
144	grislgrobl	1
144	CaptainAvenger7	1
144	theofiel	1
144	ADEXTV	1
144	MJCABOOSE69	1
144	SpouHn	1
144	ese_wn_po	1
144	sufjanlover	1
144	ori0le	1
144	madderfall	1
144	E775	1
144	lilpowerranger	1
144	560cool	1
144	DamagedSin	1
144	Factoroni	1
144	PlzNoBM	1
144	ProbsNotNova	1
144	LagMass	1
144	JasmineGK	1
144	imaginek1d	1
144	CheckOutMyPVault	1
144	Wanjibon	1
