rank	username	minecraft:killed/minecraft:bogged
1	oscminus	181
2	Secret_Canary	87
3	Buuck_	81
4	Spaghettatron	64
5	MAns_44	59
6	net_flex	56
7	CLG_Kata	38
8	MyMawgDonaldsGon	36
9	TheKingK_	31
10	k_ce	30
11	thewindmillman	12
12	lpinfinity	11
13	cutelilreno	8
14	00000000-0000-0000-0009-01fe065167f0	5
15	Mr_Byzantine	3
16	nev_s	1
16	McCakeAh	1
