rank	username	minecraft:killed/minecraft:breeze
1	thewindmillman	170
2	00000000-0000-0000-0009-01fe065167f0	104
3	oscminus	92
4	Secret_Canary	87
5	CLG_Kata	66
6	MyMawgDonaldsGon	61
7	pixelviolin	51
8	Spaghettatron	49
9	net_flex	45
10	k_ce	40
11	beeperbeeper5	38
11	MattieHD	38
13	_Mythic____	35
14	Enderxz3	34
15	Yamdalorian	30
16	Buuck_	27
17	MAns_44	25
18	lpinfinity	21
19	cutelilreno	19
20	TheKingK_	18
21	Soplight	8
22	Mr_Byzantine	7
23	Merv__	6
24	Steelynan	4
25	Werbe	3
26	nev_s	1
26	Pumpkin_P_Patch	1
26	KamFurnace	1
