rank	username	minecraft:killed/minecraft:elder_guardian
1	EcksD	52
2	thewindmillman	38
3	500am	30
4	YungMaki	27
5	noam464	17
6	claivin	15
7	Fullut	14
7	Bumpy419	14
7	Blaiku	14
10	joethahobo	12
10	Kakolbus	12
12	Skippeh	11
13	Rumpletaezer	10
13	Hiryu27	10
13	chipklip	10
13	HellsSponge	10
17	TheSecondLord	9
17	Marbz_	9
17	Barlycorn	9
17	Spacewardharpy7	9
17	PortlyPete69	9
17	Ezekson	9
23	MightyWertu	8
23	diggydog67	8
25	DarlaMeow	7
25	voiding_	7
25	djancak	7
25	sebastiensaborio	7
25	jnp_gaming	7
30	diamondgolem35	6
30	beeperbeeper5	6
30	Comma__	6
30	Di_infiri	6
30	Chromary	6
30	Snowflowe	6
30	Dogcorn69420	6
30	Smoke____	6
38	mwrty	5
38	Arceus1975	5
38	Onennon	5
38	lizardfightclub	5
38	RodSerlingCringe	5
43	Jovaphobic	4
43	Merv__	4
43	Hyp3rion_	4
43	TheShyPig	4
43	NameGenerat0r	4
48	pintsizedrogue	3
48	PhantomsGhost_	3
48	Iagoku	3
48	RebelAndroid	3
48	livingdaydreams	3
48	_Frepp_	3
48	ratglock	3
48	12Magner05	3
48	MinttyFressh	3
48	Ardennes	3
48	MattieHD	3
48	Awyrlas	3
48	surfinggiraffejp	3
48	TheDankPlatypus	3
48	M_Patata	3
48	Zaridey	3
48	Winklepicker279	3
48	CollinMH06	3
48	fred870d	3
48	Maenara	3
48	TheTrueClipse	3
48	SpookyDraggin	3
48	Inbefour	3
48	MAns_44	3
48	QueenShuvi	3
48	the__Reaper4999	3
48	Groundler	3
48	Racengan	3
48	SingedBread	3
48	Dusk_95	3
48	MasterNueve	3
48	Eraxa	3
48	_TCARREIRA_	3
48	obzii	3
48	MilleGrug	3
48	Miko_Fullbuster	3
48	Legendosh	3
48	HesDemonPants	3
48	MeetTheWollo	3
48	vandmanden	3
88	Bandito_Roamer	2
88	elicobnoah	2
88	ImpavidArcher	2
88	SaucyDark	2
88	TooManyDuck	2
88	eitanzaki	2
88	NinjaKnifeKill	2
88	Mahoose	2
88	Cryptacity	2
88	Scathra	2
88	thescout7	2
88	PigDab	2
88	Skomo	2
88	Lord_Jord	2
88	TheSeismicDuck	2
88	NYJ	2
88	1442	2
88	Frozil12	2
88	fluddd	2
88	Vorlice	2
88	monky_irl	2
88	LordSpeed37	2
88	stavgod	2
88	SvenskaHugo	2
88	Kowcio_	2
88	Kyrum2169	2
88	Spenduh	2
88	Drawgirll	2
88	alderban107	2
88	Enderslayerxz3	2
88	PlasticOtari	2
88	Zoeyfortnite	2
120	Groovy_MoonBird	1
120	Drlzyy	1
120	AuroraValkyrie	1
120	I_Am_Mushkin	1
120	ssleepless	1
120	Incinere	1
120	jimintyy	1
120	T045RTY	1
120	kekhon	1
120	egglapras	1
120	himak1	1
120	Inchef	1
120	Jackattack53	1
120	MangoTheFish	1
120	Kouridragon	1
120	TTNG	1
120	aec9	1
120	wezzzi	1
120	XxCookiequeenxX	1
120	Russiancat1	1
120	fkGrim	1
120	Fuhrer_Teemo	1
120	lillips	1
120	YungWali	1
120	_Karmaa	1
120	Shogunite	1
120	Blu3beast	1
120	BumbleBeever	1
120	sp00ky_ghost977	1
120	Razzgriz	1
120	pixelviolin	1
120	yatsuta	1
120	Fizznut909	1
120	CalebDHawk	1
120	BreadBacon	1
120	YoshikageBites	1
120	EcksDofficial	1
120	JayToe	1
