rank	username	minecraft:killed/minecraft:ocelot
1	HellsSponge	7
1	ProbsNotNova	7
3	MattieHD	4
4	Prodiginus	3
4	mwrty	3
4	Windo_licker	3
4	Jimb0nat0r	3
8	HBA00_	2
8	cerdeira	2
10	_Virify_	1
10	MRC_Gaming	1
10	gabriels543	1
10	Chromary	1
10	WET_WET_WET	1
10	ZA07	1
10	binman420	1
10	HELLO_I_AM_BEAR	1
10	Nycteus_	1
10	Kferno	1
