rank	username	minecraft:killed/minecraft:witch
1	thewindmillman	1246072
2	EcksD	672779
3	noam464	127126
4	Spacewardharpy7	69668
5	beeperbeeper5	16397
6	Werbe	8074
7	Sral7	6909
8	pintsizedrogue	4539
9	eitanzaki	3281
10	Soplight	2974
11	Blaiku	1709
12	Smoke____	1260
13	Merv__	1050
14	Lord_Jord	822
15	SteveWithClout	499
16	FirsTimeGamingTV	427
17	YungMaki	103
18	HellsSponge	88
19	I_Am_Mushkin	81
20	TechnoNinja64	59
21	Di_infiri	57
22	Historical_Sand	48
23	sp00ky_ghost977	45
24	_naturell	44
25	joethahobo	43
26	rarrq	40
26	chipklip	40
28	m_be9	39
28	12Magner05	39
28	TheShyPig	39
31	Fullut	37
32	Blu3beast	35
33	Vizzoid	34
33	claivin	34
35	Ezekson	33
36	kekhon	30
36	gcaisawesome	30
36	Skippeh	30
39	TheSecondLord	28
39	MightyWertu	28
39	Enderslayerxz3	28
42	Blackberry1310	27
42	thescout7	27
42	Freak_Genius	27
42	FelixPSY375	27
46	Frozil12	26
47	Jackattack53	25
47	Eraxa	25
49	Akoot_	24
49	Steelynan	24
51	PhantomsGhost_	23
51	ROY4LE	23
53	MattieHD	21
53	Maenara	21
53	WyngGoy	21
53	Legendosh	21
57	Onennon	20
58	RebelAndroid	19
58	Hyp3rion_	19
60	El_Jalapeno	17
60	oxfordschool	17
62	500am	16
62	mwrty	16
62	Arceus1975	16
65	Mahoose	15
65	Bumpy419	15
65	fred870d	15
65	vandmanden	15
69	emrekn	14
69	Winklepicker279	14
69	Hisiste	14
72	Bandito_Roamer	13
72	M_Patata	13
72	Zaridey	13
72	fw3xywashere	13
72	Segotep999	13
77	_Virify_	12
77	PigDab	12
77	Kim_Jong_eel	12
77	EveryonesUncle	12
77	MasterNueve	12
77	Kowcio_	12
77	Spenduh	12
77	GlitchyPlate810	12
77	obzii	12
86	error10101	11
86	Rebytre	11
86	Inbefour	11
86	stahouo	11
90	T045RTY	10
90	set67	10
90	Rumpletaezer	10
90	AuroraSkies	10
90	_Karmaa	10
90	censorsheep	10
90	Luigipunch989	10
90	BreadBacon	10
90	diggydog67	10
99	ImpavidArcher	9
99	Mewar	9
99	Snowflowe	9
99	Hiryu27	9
99	SkateboardR6	9
99	Dusk_95	9
99	LordSpeed37	9
99	JayToe	9
107	AuroraValkyrie	8
107	eviltunix	8
107	Kakolbus	8
107	lordpipe	8
107	SammiWolfGirl	8
107	h2p_emrld	8
113	Cowison	7
113	EMC_	7
113	diamondgolem35	7
113	SaucyDark	7
113	youhjjhhhjj	7
113	ivorico	7
113	Awyrlas	7
113	NomadicRobin_	7
113	Meatlaugh	7
113	DarlaMeow	7
113	Xclax101	7
113	SingedBread	7
113	MovingFish7	7
113	djancak	7
113	_TCARREIRA_	7
113	Powowowow	7
129	Menthas	6
129	Hpdinosaur	6
129	CoffeeNoir	6
129	H72l9w	6
129	Ssor69	6
129	ThePoliteG	6
129	UncreativeArtist	6
129	ImDisconnected_	6
129	Skylord_Luke	6
129	yulgur1	6
129	fluddd	6
129	SvenskaHugo	6
129	Kyrum2169	6
129	__tomato	6
129	stellarjay	6
129	CalebDHawk	6
129	Nicserso	6
129	jnp_gaming	6
147	dudcreeper	5
147	Tolhart	5
147	Euclidoris	5
147	Nicky_H225	5
147	redikul	5
147	r123moore	5
147	MyNameIsJobo	5
147	whoaluv	5
147	RyuNeko932000	5
147	pappaberg	5
147	ApophisNova	5
147	The11thDoctor	5
147	HolyVenom	5
147	RodSerlingCringe	5
147	TheTrueClipse	5
147	fkGrim	5
147	RedcatVII	5
147	Typadopoulos	5
147	stavgod	5
147	ayamefag	5
147	pixelviolin	5
147	TheOuterCore	5
147	MyNamaSheff	5
147	Zoeyfortnite	5
147	Kateesaur	5
172	Jovaphobic	4
172	Groovy_MoonBird	4
172	soundad	4
172	Tommhh	4
172	bigstankyy	4
172	Dedalus36	4
172	ExtraDumb	4
172	Flores991	4
172	livingdaydreams	4
172	awesomeoneme	4
172	NinjaKnifeKill	4
172	Myszoaz	4
172	Frxnkz	4
172	BobDeBouwer1337	4
172	ProfessorBee	4
172	theonlymagikarp	4
172	eiC_	4
172	Kubelz	4
172	platinumzero	4
172	Ecplosive	4
172	CollinMH06	4
172	loveseeker	4
172	SuperPooch06	4
172	Chromary	4
172	WET_WET_WET	4
172	_Boipl_	4
172	Fast_Turtle	4
172	TTNG	4
172	FishyBoy3811	4
172	TheSeismicDuck	4
172	masskedman	4
172	MyNameIsDakar	4
172	NameGenerat0r	4
172	Nycteus_	4
172	Barlycorn	4
172	Mistruth	4
172	ItsDeltaMC	4
172	Ze_BaronKrigler	4
172	ediballbearings	4
172	PortlyPete69	4
172	DennyKai	4
172	KingMatthew506	4
172	alderban107	4
172	Quotary	4
172	2blox	4
172	kinas45y5	4
218	Paint	3
218	q_wq	3
218	KarlKaek	3
218	openatheclose	3
218	lotarp	3
218	Mercadies	3
218	bloodbiter	3
218	G1ldor	3
218	Kkanot	3
218	paranoid_plant	3
218	Inchef	3
218	SharpDev	3
218	SellyZ	3
218	xxPipperDipperxx	3
218	Bolete	3
218	XboxPanda	3
218	TheDankPlatypus	3
218	Marbz_	3
218	gabriels543	3
218	SlayerCrypto	3
218	burbankbuilder28	3
218	BRRRN179	3
218	jewbacaman	3
218	Sky_light_KING	3
218	wezzzi	3
218	Lord_Zacler	3
218	NoChumpChange	3
218	Russiancat1	3
218	Jiminie	3
218	Deathkob	3
218	KlausVonStiglitz	3
218	Soap_Bender	3
218	Shogunite	3
218	DanTheBuilderino	3
218	Groundler	3
218	Racengan	3
218	Warlord324	3
218	SUN_DREAM	3
218	Cocoamallows	3
218	TheEnderman548	3
218	KG1999	3
218	PlzNoBM	3
218	Dogcorn69420	3
218	jcool7	3
218	MilleGrug	3
218	Njensen7	3
218	Hermanni__	3
218	Kubeusz2010	3
218	tartanboy	3
218	RadarHz	3
218	smogfrog	3
218	_AAZAR	3
218	UrbanPlanner1978	3
218	Jordan_R	3
272	MunkaKris	2
272	seanitoo	2
272	SyK7	2
272	_NieToksikpl_	2
272	JEWISHBadenBeele	2
272	hollowww	2
272	Drlzyy	2
272	SlowMoNinja1994	2
272	Healthing	2
272	Foof13	2
272	6king6colt6	2
272	xXTheWolfmanXx	2
272	Begformurrcy	2
272	Lukeee33	2
272	_Razar	2
272	tuckerdoodle	2
272	Incinere	2
272	Ryker	2
272	ewsophie	2
272	KomputerDude	2
272	Reamdin	2
272	Simon_Lowell	2
272	Jackster03	2
272	ShedJr_	2
272	MSK__	2
272	Atroxes	2
272	dopplexd	2
272	Comma__	2
272	zorin123	2
