rank	username	minecraft:killed/minecraft:parrot
1	beeperbeeper5	13
2	noam464	12
2	Maenara	12
4	Jackattack53	8
4	thewindmillman	8
6	HellsSponge	7
6	h2p_emrld	7
8	Windo_licker	6
8	Arceus1975	6
8	fluddd	6
11	eitanzaki	5
11	EveryonesUncle	5
11	Jimb0nat0r	5
14	AuroraValkyrie	4
14	KarlKaek	4
14	Airem_Core	4
14	StarCookiees_	4
14	SammiWolfGirl	4
19	_Virify_	3
19	Apollo_993	3
19	ECstardust	3
19	Pofen	3
19	Rich_Kat	3
19	Tyrannosplart	3
25	123louis456	2
25	Mahoose	2
25	_Dean_123	2
25	KingEgg1	2
25	CollinMH06	2
25	oscminus	2
25	TheWildMateo	2
25	TheShyPig	2
25	olmul	2
25	claivin	2
25	MrShojo	2
25	Ezekson	2
25	KASAN420	2
38	k_ce	1
38	Bandito_Roamer	1
38	CLG_Kata	1
38	_Huge_Male_	1
38	Merv__	1
38	KingFaenor	1
38	Frozil20	1
38	Ryan_GEMS	1
38	hm947	1
38	Incinere	1
38	Sna_Ke	1
38	MLG_Kirby69	1
38	ShedJr_	1
38	Lez_	1
38	Crafter45	1
38	InfernalMound	1
38	Blackberry1310	1
38	Cryptacity	1
38	TheSecondLord	1
38	Jakobo1337	1
38	Nicky_H225	1
38	AfghaniRonnie420	1
38	kekhon	1
38	pr33tu	1
38	zorin123	1
38	500am	1
38	i2f8x4h8ro	1
38	Cambo5000	1
38	lorpus	1
38	ROY4LE	1
38	Kubelz	1
38	drunkeeez	1
38	Marbz_	1
38	MyNameIsJobo	1
38	hanaryheatwave	1
38	Hyp3rion_	1
38	Zythose	1
38	BenPenguin	1
38	HAIRYCLOUD626	1
38	BRRRN179	1
38	AlexxO_o	1
38	wezzzi	1
38	Gryglu583	1
38	ese_wn_po	1
38	luseis	1
38	NumbaOneMunch	1
38	Toiton	1
38	HELLO_I_AM_BEAR	1
38	DarlaMeow	1
38	blackeemperor	1
38	Blaiku	1
38	HairballHacker10	1
38	babycamm	1
38	Toriankel	1
38	MakeHistory157	1
38	Kukkelikuk	1
38	pixelviolin	1
38	Kowcio_	1
38	Segotep999	1
38	_TCARREIRA_	1
38	Drawgirl	1
38	CalebDHawk	1
38	striker90333	1
38	KingMatthew506	1
38	Steelynan	1
38	cichy096	1
38	MrMeisterProper	1
38	TechnoNinja64	1
38	camando92	1
38	00000000-0000-0000-0009-01f9cc38678e	1
