rank	username	minecraft:killed/minecraft:silverfish
1	Iamthejo	365
2	HellsSponge	326
3	Inbefour	255
4	pintsizedrogue	251
5	q_wq	228
6	luseis	198
7	Nicserso	188
8	YungMaki	160
9	mihimihimihi	145
10	UCP_TheKingK	128
11	OrewaSora	115
12	AssFullaCum	113
13	_i_ERROR_i_	94
14	Shogunite	85
15	thewindmillman	83
16	MyNameIsJobo	81
16	Spenduh	81
18	bigstankyy	77
18	Soffbord	77
20	Fullut	72
21	TheShyPig	71
22	theonlymagikarp	68
23	plato2066	67
24	6king6colt6	65
24	Typadopoulos	65
26	Tyrannosplart	64
27	Crowman1	57
28	joethahobo	55
28	CaptainDeadBread	55
28	Xclax101	55
31	Jonte0599	52
31	alderban107	52
33	EMC_	51
33	wezzzi	51
33	fluddd	51
33	Steelynan	51
37	Njensen7	49
38	Franco093	46
39	Houstonion	45
39	XeroByMyth	45
39	Elastiq	45
42	k_ce	44
42	Chaotic1s	44
44	TheSecondLord	41
44	12Magner05	41
46	El_Jalapeno	40
47	Windo_licker	39
47	AdmiralSmoke	39
49	SaucyDark	38
49	jacxhadow	38
49	cytotoxaint	38
52	h2p_emrld	37
53	PortlyPete69	36
54	PazinGaming	34
54	Blackberry1310	34
56	chipklip	33
56	beeperbeeper5	33
58	livingdaydreams	32
58	Di_infiri	32
58	RedcatVII	32
58	SingedBread	32
58	iSammael	32
58	bloomkieren	32
58	fffMike	32
65	Tolhart	31
65	ivorico	31
65	Zaridey	31
68	bloodbiter	30
69	Tobinator_007	29
69	CollinMH06	29
69	Cocoamallows	29
72	m_be9	28
73	Saucepeh	27
73	Strangemonkey71	27
73	UrbanPlanningEx	27
76	Comma__	26
76	ROY4LE	26
76	Fildyr	26
76	Toriankel	26
76	SvenskaHugo	26
76	OfficerAnvil	26
76	00000000-0000-0000-0009-01ff0c3e5e4f	26
83	Spacewardharpy7	25
83	WyngGoy	25
83	TheOuterCore	25
86	Kubelz	24
86	Wowful	24
86	Racengan	24
86	Kowcio_	24
86	trexgb	24
91	UncreativeArtist	23
91	Manaateee	23
93	kekhon	22
93	ooga47	22
93	Skippeh	22
96	TheBiggestFeller	21
96	zorin123	21
96	500am	21
96	Ecplosive	21
96	ougstur	21
96	ConnorDanky_	21
102	Smashic	20
102	MAns_44	20
104	Flores991	19
104	oscminus	19
104	madderfall	19
104	claivin	19
104	Ezekson	19
109	SyK7	18
109	Ryan_GEMS	18
109	youhjjhhhjj	18
109	benediktine1	18
109	Snowflowe	18
109	Russiancat1	18
109	rotten_mango	18
109	autisticcupcake	18
109	djancak	18
118	Cowison	17
118	DepressedCubic	17
118	Awyrlas	17
118	The_Quack_Dealer	17
118	Biites	17
