rank	username	minecraft:killed/minecraft:cod
1	error10101	172
2	Enderslayerxz3	158
3	RadarHz	137
4	Akoot_	118
5	SaucyDark	111
6	youhjjhhhjj	87
6	Blackberry1310	87
8	Frozil12	79
9	smogfrog	76
10	noam464	72
11	Smoke____	66
12	Lukeee33	63
13	sp00ky_ghost977	61
14	500am	60
15	PlzNoBM	57
16	YungMaki	55
17	Mahoose	54
18	NomadicRobin_	52
19	kekhon	51
19	Ezekson	51
21	Skippeh	50
22	Xalithia	49
23	obzii	48
24	mwrty	44
25	Spacewardharpy7	43
25	MeetTheWollo	43
27	SHAOBADMAN	42
28	Snowflowe	41
29	m_be9	40
29	DarlaMeow	40
31	PortlyPete69	39
32	Nicky_H225	38
33	joethahobo	35
33	Di_infiri	35
33	thewindmillman	35
36	beeperbeeper5	33
36	Zythose	33
36	claivin	33
39	Fullut	30
39	Blaiku	30
41	Kakolbus	28
42	_naturell	26
43	Airem_Core	24
44	proxivitoid	23
44	oxfordschool	23
46	SuperPooch06	22
47	Jorrdi	21
47	hm947	21
47	DemTechAlpha	21
50	AuroraValkyrie	20
50	eitanzaki	20
50	NoChumpChange	20
50	HellsSponge	20
50	Erased_Identity	20
50	kinas45y5	20
56	Hyugo	19
56	rarrq	19
56	Razzgriz	19
59	NotoriousNina	18
59	Onennon	18
59	Shiirazuku	18
59	Dusk_95	18
63	33sudo	17
63	TheOnlyRake	17
65	CharlieButt	16
65	monky_irl	16
65	Njensen7	16
65	PlasticOtari	16
69	PhantomsGhost_	15
69	Rich_Kat	15
69	Hyp3rion_	15
69	jnp_gaming	15
73	Comma__	14
73	The11thDoctor	14
73	Kouridragon	14
73	Barlycorn	14
73	SammiWolfGirl	14
78	SugarMyNuggets	13
78	Drlzyy	13
78	teslawolf38	13
78	ivorico	13
78	TheSecondLord	13
78	MattieHD	13
78	Kubelz	13
78	mobaEnjoyer	13
78	Hisiste	13
78	Oxygen16	13
88	Bandito_Roamer	12
88	CoffeeNoir	12
88	Lumien_	12
88	Lord_Jord	12
88	h2p_emrld	12
93	pintsizedrogue	11
93	MayorEden	11
93	12Magner05	11
93	Rumpletaezer	11
93	Arceus1975	11
93	The_Fulgurator	11
93	SIRdrumroll	11
93	Sky_light_KING	11
93	MovingFish7	11
102	Historical_Sand	10
102	Chromary	10
102	fred870d	10
102	PigDab	10
102	XxCookiequeenxX	10
102	Soap_Bender	10
102	bloomkieren	10
102	starbits140	10
110	awesomeoneme	9
110	eviltunix	9
110	M_Patata	9
110	AJplaysMC_	9
110	MasterNueve	9
110	Soplight	9
110	Spenduh	9
110	ProbsNotNova	9
118	Jovaphobic	8
118	Keeogwi	8
118	Warlord324	8
118	SkateboardR6	8
118	diggydog67	8
123	xyct	7
123	ItsColin11	7
123	TooManyDuck	7
123	Wooptey	7
123	2Stout	7
123	SkyHighSkier	7
123	masskedman	7
123	Freak_Genius	7
123	Winston_Ingram	7
123	EcksD	7
123	mountaingirl311	7
134	seanitoo	6
134	HazyDrummer	6
134	EMC_	6
134	RebelAndroid	6
134	_Dean_123	6
134	Stiar	6
134	mariominejedi	6
134	Marbz_	6
134	TheSeismicDuck	6
134	Fuhrer_Teemo	6
134	Quaintster	6
134	fluddd	6
134	BreadBacon	6
147	daisnny	5
147	ImpavidArcher	5
147	MrExplorer	5
147	Z3braYTIL	5
147	ItsAki_	5
147	QueenShuvi	5
147	MightyWertu	5
147	ayamefag	5
147	__tomato	5
147	JohnPrice	5
157	Groovy_MoonBird	4
157	6king6colt6	4
157	Seyaboy	4
157	heckface	4
157	lilsay	4
157	Motsaro	4
157	intropass	4
157	purpl3hazze	4
157	Zaridey	4
157	CollinMH06	4
157	Jackattack53	4
157	_Boipl_	4
157	Drewen24	4
157	Renchi19	4
157	censorsheep	4
157	marumochis	4
157	Groundler	4
157	PabloGonza02	4
157	Eraxa	4
157	pixelviolin	4
157	stahouo	4
157	Hermanni__	4
179	Elprone266	3
179	Jalvajar	3
179	dabloons	3
179	lotarp	3
179	MSK__	3
179	titanlax	3
179	tortillatitan	3
179	bloodbiter	3
179	SirMinza	3
179	gcaisawesome	3
179	Paintz	3
179	loveseeker	3
179	ooga47	3
179	Huic_ostiarius	3
179	dezxalo	3
179	ADEXTV	3
179	1442	3
179	Blu3beast	3
179	stavgod	3
179	lcvezra	3
179	Nekomin0	3
179	_TCARREIRA_	3
179	Luigipunch989	3
179	sebastiensaborio	3
203	The_Great_Jake	2
203	I_Am_Mushkin	2
203	Nutellabrot17	2
203	Chickenchaser2	2
203	YungJakobo	2
203	eclipseboi	2
203	Kamflame10	2
203	Nach0Bear	2
203	thescout7	2
203	Bobby808	2
203	UncleDanDan	2
203	Avrelion	2
203	SeverianTheLame	2
203	burbankbuilder28	2
203	WarMachina	2
203	Bumpy419	2
203	lOlmantschi	2
203	fxiryglitch	2
203	Rasmanden	2
203	420BreadLizard	2
203	yulgur1	2
203	natajimi	2
203	ese_wn_po	2
203	_Bguette_	2
203	ItsJWolff	2
203	WyngGoy	2
203	djancak	2
203	Fizznut909	2
203	stellarjay	2
203	CalebDHawk	2
203	Kubeusz2010	2
203	TheOuterCore	2
203	anbbang	2
203	Powowowow	2
203	Zoeyfortnite	2
203	JayToe	2
239	rats_life	1
239	nataliecool	1
239	Tommhh	1
239	KarlKaek	1
239	Iagoku	1
239	livzzzy	1
239	Natofthese	1
239	T045RTY	1
239	Myszoaz	1
239	Swexti	1
239	tramizu	1
239	moertymoertan	1
239	LandnMinecrft	1
239	Notta	1
239	jacxhadow	1
239	Boboczus	1
239	wiqor	1
239	boog4loo	1
239	Kkanot	1
239	set67	1
239	Scathra	1
239	Dali1465	1
239	himak1	1
239	DSYisDizzy	1
239	eiC_	1
239	mimbo1211	1
239	celerey_eater_95	1
239	BlueZabu	1
239	Ristebraaten	1
239	CarltheCuck	1
239	MyNameIsJobo	1
239	Studyhallsaver	1
239	LDSMadman	1
239	Rocco_Lane	1
239	Hiryu27	1
239	Voxin2K	1
239	Werbe	1
239	seramalen	1
239	_j_u_n_o_	1
239	LittleOoccoo	1
239	epiksk8erduck	1
239	BRRRN179	1
239	Forcolp	1
239	TheShyPig	1
239	lizardfightclub	1
239	ChampBoii	1
239	audiocracked	1
239	Inbefour	1
239	Deathkob	1
239	SolicitedPuma101	1
239	LexMakesHistory	1
239	Lutres_Torane	1
239	chipklip	1
239	OverallConcept	1
239	GlitchMixed	1
239	_Karmaa	1
239	Shogunite	1
239	BigCronkin	1
239	Travka100	1
239	AssEatrAndLicker	1
239	SwooshBoi	1
239	El_Jalapeno	1
