rank	username	minecraft:killed/minecraft:turtle
1	HellsSponge	510
2	500am	499
3	kekhon	479
4	Comma__	218
5	Racengan	198
6	TheShyPig	174
7	Mahoose	155
8	Hiryu27	128
9	Kubeusz2010	98
10	SaucyDark	85
11	Arceus1975	83
12	Akoot_	64
13	eitanzaki	60
14	Pickel_Lord	55
15	Smoke____	52
16	h2p_emrld	47
17	Jackster03	43
18	noam464	42
19	Groovy_MoonBird	39
20	xxPipperDipperxx	38
21	The_slideV3	37
22	Legendosh	30
23	jcool7	27
24	Werbe	26
24	Sheldor097	26
24	imaginek1d	26
27	youhjjhhhjj	23
27	joethahobo	23
27	Seashimi	23
30	Nicky_H225	21
30	eiC_	21
30	loveseeker	21
30	thewindmillman	21
30	Blu3beast	21
35	JayToe	20
36	Fizznut909	18
37	MOSS000	17
37	SteveWithClout	17
39	ItsAki_	15
39	wezzzi	15
41	bloodbiter	14
41	Di_infiri	14
41	Donutt	14
41	Eraxa	14
45	QueenShuvi	13
46	beeperbeeper5	12
46	Covalents	12
48	Bumpy419	11
48	Blamphe	11
50	Marbz_	10
50	Onennon	10
50	Freak_Genius	10
50	fluddd	10
50	Njensen7	10
55	H72l9w	9
55	Hyp3rion_	9
55	ApophisNova	9
55	misomon	9
55	Quotary	9
55	MyNamaSheff	9
61	TooManyDuck	8
61	Seyaboy	8
61	Fullut	8
61	claivin	8
61	Warlord324	8
61	MovingFish7	8
61	plato2066	8
68	Huwulling	7
68	Resner	7
68	_TCARREIRA_	7
68	TheOnlyRake	7
68	EcksD	7
73	KingFaenor	6
73	Blackberry1310	6
73	SellyZ	6
73	SpicyMeatballs	6
73	SokaOtaku	6
73	AuroraSkies	6
73	chipklip	6
73	Segotep999	6
73	__tomato	6
73	obzii	6
83	Jorrdi	5
83	Zippyzam	5
83	SidorAlex	5
83	NinjaKnifeKill	5
83	TheSecondLord	5
83	shyshyannne	5
83	thescout7	5
83	Irko	5
83	wrinkledpiglet	5
83	PigDab	5
83	Maenara	5
83	natajimi	5
83	cringenaynaybaby	5
83	sp00ky_ghost977	5
83	Kijiki	5
83	stellarjay	5
83	LeeMcGee30	5
83	HesDemonPants	5
83	kinas45y5	5
102	Menthas	4
102	jspwn	4
102	Paleshield	4
102	buss081	4
102	rarrq	4
102	Mewar	4
102	Noah_Bez	4
102	CollinMH06	4
102	Jackattack53	4
102	Snowflowe	4
102	impossibleteapot	4
102	Kynigito	4
102	MinerDec	4
102	Inbefour	4
102	MustaLoordi	4
102	El_Jalapeno	4
102	Xclax101	4
102	Fildyr	4
102	Nagasaki_Riku	4
102	YungMaki	4
102	Luigipunch989	4
102	ProbsNotNova	4
102	KingMatthew506	4
125	Matemaks2137	3
125	BodaciousCake	3
125	Loveablerose12	3
125	awesomeoneme	3
125	m_be9	3
125	MattieHD	3
125	NotoriousNina	3
125	fallingemma	3
125	ooga47	3
125	CruncyIsTaken	3
125	Huic_ostiarius	3
125	RodSerlingCringe	3
125	TheSeismicDuck	3
125	SpouHn	3
125	EveryonesUncle	3
125	Travka100	3
125	Dusk_95	3
125	Spenduh	3
125	PlzNoBM	3
125	OfficerAnvil	3
125	PlasticOtari	3
125	EcksDofficial	3
125	561cool	3
148	PhantomsGhost_	2
148	Ninzyyy	2
148	Drlzyy	2
148	SlowMoNinja1994	2
148	EMC_	2
148	KarlKaek	2
148	Hyugo	2
148	BlancoFlaco	2
148	hm947	2
148	Batman922	2
148	lotarp	2
148	Simon_Lowell	2
148	Myszoaz	2
148	FirsTimeGamingTV	2
148	MrExplorer	2
148	_Dean_123	2
148	lilsay	2
148	Cambo5000	2
148	GLLogan2	2
148	UncreativeArtist	2
148	mwrty	2
148	eviltunix	2
148	SeverianTheLame	2
148	TableTim	2
148	nitram49b	2
148	SuperPooch06	2
148	Rumpletaezer	2
148	AnnieBathory	2
148	bean__salad	2
148	Skylord_Luke	2
148	lOlmantschi	2
148	Kouridragon	2
148	DeeDeeThonk	2
148	floodjon	2
148	fred870d	2
148	Forcolp	2
148	thgrocks	2
148	theofiel	2
148	yulgur1	2
148	Fuhrer_Teemo	2
148	shrimp_flips	2
148	C0oOK13M0N5T3R	2
148	Bloo2406	2
148	Typadopoulos	2
148	SUN_DREAM	2
148	Optiprimus	2
148	LordSpeed37	2
148	Kyrum2169	2
148	SSytex_X	2
148	ARCTICxLORD	2
148	Poppy235	2
148	fffMike	2
148	RoboTramp7865	2
148	Oxygen16	2
148	Kiki_Majiki	2
148	jnp_gaming	2
148	Powowowow	2
148	2blox	2
148	vandmanden	2
148	Zoeyfortnite	2
208	Mr_Worthless	1
208	prodby_Lyka	1
208	fingerguns__	1
208	Bandito_Roamer	1
208	_Virify_	1
208	Tobinator_007	1
208	Elprone266	1
208	SyK7	1
208	dudcreeper	1
208	Ghosthy_	1
208	squigglybones	1
208	6king6colt6	1
208	bigstankyy	1
208	SirUnderpants	1
208	error10101	1
208	ssleepless	1
208	CompAir	1
208	tuckerdoodle	1
208	Lilinaya17	1
208	ewsophie	1
208	T045RTY	1
208	Zlatovlas	1
208	Natty	1
208	ZaneABrain	1
208	Umbre_19	1
208	Reamdin	1
208	PhantomBionic	1
208	tsohomie	1
208	301851	1
208	acowxd	1
208	Prodiginus	1
208	Cryptacity	1
208	Boboczus	1
208	Ardennes	1
208	Cortexia	1
208	Megarboh	1
208	AJbeast01	1
208	squillz105	1
208	TheBaconKing44	1
208	Z3braYTIL	1
208	Scathra	1
208	Awyrlas	1
208	_Magdo_	1
208	Motsaro	1
208	Inchef	1
208	intropass	1
208	Septemb3r	1
208	SUSUGAM	1
208	hcb238	1
208	NotKaden_	1
208	TylerDupree	1
208	Paintz	1
208	Kubelz	1
208	mimbo1211	1
208	DermeinUser	1
208	BlueZabu	1
208	valiSW	1
208	jedi_george	1
208	yaboo88	1
208	RacismIsBadDude	1
208	ibarker21	1
208	Nyxiom_	1
208	LDSMadman	1
208	Parcc	1
208	kars0n	1
208	KillerNekoRain	1
208	DAD_1996	1
208	DebbieBrunswick	1
208	RohnJosin	1
208	epiksk8erduck	1
208	NedFlanders	1
208	Jonte0599	1
208	jewbacaman	1
208	0jona0	1
208	Kryktal	1
208	Kim_Jong_eel	1
208	Drewen24	1
208	Luminad3	1
208	Blackerstons	1
208	binman420	1
208	XxCookiequeenxX	1
208	Jiminie	1
208	NYJ	1
208	jambvds	1
208	ebanana	1
208	MyNameIsDakar	1
208	FlashMigma	1
208	RedcatVII	1
208	SkateboardR6	1
208	monky_irl	1
208	geekbird	1
208	LetsDoItLive	1
208	WyngGoy	1
