rank	username	minecraft:killed/minecraft:vindicator
1	thewindmillman	4789826
2	EcksD	2392054
3	noam464	452394
4	Spacewardharpy7	248203
5	beeperbeeper5	46611
6	Werbe	25889
7	Sral7	21407
8	pintsizedrogue	15799
9	eitanzaki	10997
10	Soplight	8782
11	Blaiku	5107
12	Merv__	3744
13	Lord_Jord	1852
14	SteveWithClout	1811
15	FirsTimeGamingTV	1354
16	I_Am_Mushkin	242
17	YungMaki	192
18	Historical_Sand	132
19	TechnoNinja64	110
20	HellsSponge	109
21	12Magner05	94
22	_naturell	92
23	FelixPSY375	88
24	m_be9	84
25	Vizzoid	81
26	sp00ky_ghost977	65
27	Skippeh	60
28	Blu3beast	48
29	rarrq	44
29	Legendosh	44
31	kekhon	43
31	Onennon	43
31	claivin	43
34	chipklip	42
35	stahouo	40
36	emrekn	39
37	TheSecondLord	38
37	Bumpy419	38
39	Maenara	37
39	WyngGoy	37
41	Fullut	32
41	Eraxa	32
43	joethahobo	31
44	Zaridey	30
44	TheShyPig	30
46	Smoke____	28
47	mwrty	27
48	Di_infiri	26
49	Enderslayerxz3	25
50	_Virify_	24
50	MinttyFressh	24
50	Hyp3rion_	24
53	thescout7	23
53	Powowowow	23
55	Jackattack53	22
55	Arceus1975	22
55	Akoot_	22
55	Inbefour	22
59	MattieHD	21
59	Hisiste	21
61	error10101	20
61	fred870d	20
61	GlitchyPlate810	20
64	diamondgolem35	19
65	MAns_44	18
65	Kyrum2169	18
65	BreadBacon	18
68	PhantomsGhost_	17
68	EMC_	17
68	Xclax101	17
71	Kim_Jong_eel	16
71	_Karmaa	16
71	MightyWertu	16
74	Mahoose	15
74	M_Patata	15
74	Frozil12	15
74	MasterNueve	15
74	stavgod	15
79	ImDisconnected_	14
79	Hiryu27	14
79	ediballbearings	14
82	Bandito_Roamer	13
82	301851	13
82	eiC_	13
85	youhjjhhhjj	12
85	Comma__	12
85	fluddd	12
85	MovingFish7	12
85	TheOuterCore	12
90	JayToe	11
91	T045RTY	10
91	ivorico	10
91	Frxnkz	10
91	redikul	10
91	pappaberg	10
91	ApophisNova	10
91	Ezekson	10
91	MyNamaSheff	10
99	bigstankyy	9
99	ThePoliteG	9
99	jewbacaman	9
99	Luigipunch989	9
99	vandmanden	9
99	h2p_emrld	9
105	Drlzyy	8
105	Chromary	8
105	TTNG	8
108	AuroraValkyrie	7
108	KomputerDude	7
108	Mewar	7
108	yulgur1	7
108	gaming4Naming	7
113	SaucyDark	6
113	Blackberry1310	6
113	r123moore	6
113	Typadopoulos	6
113	SkateboardR6	6
113	TheEnderman548	6
119	ImpavidArcher	5
119	hm947	5
119	Rumpletaezer	5
119	ayamefag	5
119	__tomato	5
119	_TCARREIRA_	5
119	sebastiensaborio	5
119	Winston_Ingram	5
119	oxfordschool	5
128	Begformurrcy	4
128	xxPipperDipperxx	4
128	Ecplosive	4
128	proxivitoid	4
132	Tolhart	3
132	Mercadies	3
132	slkiey	3
132	Motsaro	3
132	eviltunix	3
132	CaptainSteve345	3
132	Fast_Turtle	3
132	DAD_1996	3
132	RodSerlingCringe	3
132	audiocracked	3
132	lillips	3
132	Meatlaugh	3
132	_AAZAR	3
132	AltnumberF4	3
146	Louiis123	2
146	pZygh0st	2
146	Hyugo	2
146	Hpdinosaur	2
146	Natty	2
146	Covalents	2
146	WET_WET_WET	2
146	Snowflowe	2
146	NomadicRobin_	2
146	Quaintster	2
146	Dusk_95	2
146	IdeallyGrey	2
146	bloomkieren	2
146	stellarjay	2
160	dabloons	1
160	ItsColin11	1
160	jimintyy	1
160	MSK__	1
160	Ssor69	1
160	BobDeBouwer1337	1
160	Kamflame10	1
160	Scathra	1
160	ROY4LE	1
160	UncleDanDan	1
160	loveseeker	1
160	RefluxRatio	1
160	wilgot_	1
160	AlphaWolfPlaysMC	1
160	privatemeekly	1
160	wobn	1
160	NameGenerat0r	1
160	El_Jalapeno	1
160	Razzgriz	1
160	Pickel_Lord	1
160	pixelviolin	1
160	a_smol_bean	1
160	KingMatthew506	1
160	HuangMeiHua	1
