rank	username	minecraft:killed/minecraft:frog
1	TheKingK_	64
2	Huwulling	57
3	Minimize501	36
4	ECstardust	31
5	LazySupport00	30
6	Racengan	26
7	ebanana	16
8	Jackattack53	8
9	Nicserso	6
10	Segotep999	5
10	PlasticOtari	5
12	CLG_Kata	4
12	noam464	4
12	Di_infiri	4
15	Smashic	3
15	EdGalbraith	3
17	lorywithay	2
17	skroobiez	2
17	Secret_Canary	2
17	Kakolbus	2
17	Galactic_Badger	2
22	SygnalX	1
22	k_ce	1
22	BPTY4618	1
22	SmashingPump	1
22	diamondgolem35	1
22	YairZaki	1
22	MrKrabOnCoke	1
22	beeperbeeper5	1
22	U_Mos_	1
22	videogames_	1
22	Wowful	1
22	luseis	1
22	StinkyDiplomat	1
22	OPTOMA_KING	1
22	Eraxa	1
22	Kowcio_	1
22	YungMaki	1
22	Pumpkin_P_Patch	1
22	Enderxz3	1
