rank	username	minecraft:killed/minecraft:cow
1	RoskobiOne	1341
2	Njensen7	1243
3	TheShyPig	1232
4	TheWickedBird	1128
5	Blaiku	1055
6	Werbe	836
7	HellsSponge	797
8	Blackberry1310	696
9	corvidpartyfor6	658
10	500am	649
11	abdomera	630
12	El_Jalapeno	568
13	Di_infiri	565
14	Xclax101	544
15	k_ce	524
16	Comma__	521
16	Avocadogerms	521
18	Kateesaur	510
19	Snowflowe	508
20	Lord_Zacler	501
21	SaucyDark	496
22	TooManyDuck	491
23	Karbl	456
24	Bumpy419	444
25	Mahoose	430
26	oscminus	412
27	claivin	387
28	Kakolbus	378
29	Razzgriz	371
30	MightyWertu	367
30	Kowcio_	367
32	joethahobo	366
33	Frozil20	355
34	wobn	352
35	burbankbuilder28	343
36	KarlKaek	341
37	TheSecondLord	336
37	Manaateee	336
39	djancak	334
40	fluddd	328
41	__tomato	309
42	Akoot_	305
43	sp00ky_ghost977	303
44	TechnoNinja64	301
45	j5ylim	300
46	beeperbeeper5	291
47	Jovaphobic	277
48	Hyugo	272
48	PlzNoBM	272
50	excelsionprime	266
51	Harotio	261
52	eitanzaki	260
53	EMC_	258
53	Spacewardharpy7	258
55	kekhon	256
56	_Dean_123	247
57	StinkyDiplomat	246
58	IWorkAtIkea	239
59	intropass	238
60	ReflexCode	234
61	Skippeh	233
62	Bandito_Roamer	225
63	thescout7	209
63	Fildyr	209
65	Hyp3rion_	208
65	Hahaa_0	208
67	Moofyman	205
68	Dakar_	203
69	Yamdalorian	201
70	GingerNeutron	198
70	Fuhrer_Teemo	198
72	pintsizedrogue	196
73	SvenskaHugo	188
74	set67	184
75	Merv__	183
76	Julmish	182
76	YungMaki	182
76	Dogcorn69420	182
79	SOA1RR	180
80	Zaridey	179
81	Rumpletaezer	178
81	PaperCanvas	178
81	FormulaNewt3627	178
84	Lord_Jord	173
85	pappaberg	168
85	DarkS0L	168
87	CharlieButt	163
87	NomadicRobin_	163
89	m_be9	161
89	AnnieBathory	161
91	The11thDoctor	159
92	Fullut	156
93	fade_emerge78823	154
93	Kouridragon	154
95	q_wq	152
95	MyNameIsJobo	152
97	SSytex_X	151
98	mwrty	150
99	I_Am_Mushkin	148
99	MattieHD	148
99	fffMike	148
102	_Cloverbelle_	145
103	Blu3beast	143
104	thewindmillman	142
105	Russiancat1	140
106	soundad	139
106	Enderxz3	139
108	Guillemet	137
109	jacxhadow	136
110	Niklas20114552	135
111	Noah_Bez	134
112	_TCARREIRA_	133
113	Malorn_Aetherius	132
114	groggregg42	131
115	Xalithia	130
115	xxPipperDipperxx	130
117	shineh10	128
117	Meatlaugh	128
119	Froste131	124
120	UrbanPlanningEx	122
121	_Karmaa	121
121	jnp_gaming	121
123	legal_tax_evader	117
123	DennyKai	117
123	taengoos	117
126	Flex_Tape_Phil	116
126	TheOnlyRake	116
128	QuiCreans	115
129	Huwulling	114
130	BlancoFlaco	113
130	301851	113
130	ougstur	113
133	jaimshae	112
134	fallingemma	111
134	Windo_licker	111
136	NatalieTW	109
136	selectrix	109
136	hermmm_	109
139	sufjanlover	108
139	censorsheep	108
141	SPUDonSTEROIDS	107
142	Smashic	105
142	Cruncy_	105
144	ori0le	102
145	IamCL4SSY	101
146	eviltunix	100
147	ItsAki_	99
148	RebelAndroid	98
149	RobotMinion101	96
149	Kim_Jong_eel	96
151	6king6colt6	95
151	Soap_Bender	95
151	starbits140	95
154	Koffeeinz	94
155	Skomo	93
155	_i_ERROR_i_	93
155	00000000-0000-0000-0009-01ff0c3e5e4f	93
158	Saucepeh	92
158	Crowman1	92
160	Groovy_MoonBird	91
160	T045RTY	91
162	yheece	90
163	BreadBacon	88
164	gren_ben	87
164	Kura2218	87
166	SyK7	86
166	Groyperbuscus	86
166	Vetral1	86
169	lunaticusx	85
169	Vizzoid	85
169	ClemenPine	85
172	lordpipe	84
172	KingMatthew506	84
174	laron58	83
175	PhantomsGhost_	82
176	kkatsuragi	81
176	bloomkieren	81
178	Barlycorn	80
179	Tolhart	79
179	Elastiq	79
179	wezzzi	79
182	Tyrannosplart	78
183	picardred	77
184	Natty	76
184	TheDankPlatypus	76
186	Nach0Bear	74
187	Cowison	73
187	Secret_Canary	73
187	Winklepicker279	73
187	SingedBread	73
191	bigstankyy	72
191	ActualPatbaf	72
191	yulgur1	72
191	mobunni	72
195	Morgf	71
195	LilLizardWizard	71
195	VentiHilton	71
195	Wolverine4302	71
199	Deodorante	70
200	GLLogan2	69
200	Onennon	69
200	MustaLoordi	69
203	hcb238	68
203	KingEgg1	68
203	natajimi	68
203	SUN_DREAM	68
207	rarrq	67
207	ratglock	67
207	masskedman	67
210	titanlax	66
210	emrekn	66
210	eiC_	66
210	Skylord_Luke	66
210	AstreaTSS	66
210	FishisTTV	66
216	Killercatty78	65
216	m9_meltdown_	65
216	BumbleBeever	65
216	Legendosh	65
220	Inchef	64
220	trixterrx	64
220	1442	64
220	coobert42	64
220	zmpeg	64
225	_Nat666	63
225	PegLegPete93	63
225	EfficientC52	63
228	Stynxy	62
228	BilboBaggins23	62
228	AuroraSkies	62
228	Synthoum	62
232	gary_	61
232	U_Mos_	61
232	Silvo614	61
232	Inbefour	61
236	BigBootyHudge	60
236	Enigma0251	60
236	StarCookiees_	60
239	Euclidoris	59
239	Darkgon	59
239	Segotep999	59
239	smogfrog	59
239	trexgb	59
244	DepressedCubic	58
244	leaf26	58
246	H0UNDFRMH3LL	57
246	Wooptey	57
246	crying_wolf_13	57
246	TheSeismicDuck	57
250	Juansinmiedo18	56
250	SuperPooch06	56
250	Krowuss	56
250	C0oOK13M0N5T3R	56
250	miramyu	56
250	_3Stump_	56
250	vandmanden	56
257	dudcreeper	55
257	RatatJuice	55
257	Mewar	55
257	M_Patata	55
257	SeverianOfUrth	55
257	luseis	55
257	MasterNueve	55
257	Kyrum2169	55
265	Hisiste	54
265	underscore_2	54
267	Jackster03	53
267	bloodbiter	53
267	_Nuf	53
267	DAD_1996	53
271	CLG_Kata	52
271	Jackattack53	52
