rank	username	minecraft:killed/minecraft:panda
1	HellsSponge	33
2	Hyp3rion_	32
3	Alteriity	23
3	Manaateee	23
5	beeperbeeper5	9
6	eitanzaki	8
7	TechnoNinja64	7
8	luseis	6
9	Incinere	5
9	noam464	5
9	Arceus1975	5
9	EveryonesUncle	5
13	Windo_licker	4
13	The_slideV3	4
13	StarCookiees_	4
16	TheShyPig	3
17	pintsizedrogue	2
17	CLG_Kata	2
17	Bad_At_Names_Guy	2
17	Akoot_	2
17	lordpipe	2
22	hbaoo	1
22	ImpavidArcher	1
22	T045RTY	1
22	ZaneABrain	1
22	Mahoose	1
22	Historical_Sand	1
22	Cryptacity	1
22	lorpus	1
22	ROY4LE	1
22	benediktine1	1
22	Marbz_	1
22	thewindmillman	1
22	Wowful	1
22	DarlaMeow	1
22	blackeemperor	1
22	RedcatVII	1
22	Airem_Core	1
22	Chayula	1
22	FelixPSY375	1
22	Jimb0nat0r	1
