rank	username	minecraft:killed/minecraft:creeper
1	eitanzaki	67152
2	KG1999	5458
3	Blaiku	2567
4	rarrq	2119
5	gcaisawesome	2037
6	Di_infiri	1934
7	beeperbeeper5	1060
8	Spacewardharpy7	952
9	Frozil12	903
10	EveryonesUncle	889
11	Blackberry1310	883
12	El_Jalapeno	804
13	joethahobo	756
14	Fullut	738
15	chipklip	729
16	RebelAndroid	712
17	Ezekson	678
18	Eraxa	675
19	sebastiensaborio	674
20	kekhon	672
21	500am	665
22	TheSecondLord	637
23	Akoot_	608
24	Cowison	601
25	noam464	596
26	TheShyPig	561
27	YungMaki	559
28	HellsSponge	545
29	m_be9	539
30	PhantomsGhost_	533
31	Blu3beast	505
32	pintsizedrogue	467
33	thescout7	466
34	Skippeh	463
35	selectrix	446
36	OtariCharlie	442
37	Smoke____	421
38	Merv__	420
39	sp00ky_ghost977	400
40	claivin	398
41	set67	383
42	M_Patata	382
43	Mahoose	378
44	PigDab	377
45	Enderslayerxz3	370
46	Rumpletaezer	367
47	Mewar	365
48	oxfordschool	355
49	thewindmillman	354
50	Xclax101	348
51	MasterNueve	343
52	Spenduh	322
53	EcksD	312
54	Kowcio_	308
54	vandmanden	308
56	ROY4LE	303
57	himak1	302
58	Hyp3rion_	298
59	Euclidoris	295
60	fred870d	292
61	EMC_	273
62	Freak_Genius	268
63	Kakolbus	264
64	Njensen7	260
65	awesomeoneme	253
65	UrbanPlanner1978	253
67	Soplight	252
68	obzii	247
69	_TCARREIRA_	242
70	Snowflowe	241
71	RodSerlingCringe	239
72	censorsheep	235
73	Hisiste	232
74	Barlycorn	230
75	soundad	228
76	Onennon	224
77	Bandito_Roamer	217
78	NomadicRobin_	215
79	T045RTY	206
80	Jovaphobic	202
81	ApophisNova	198
81	MyNamaSheff	198
83	r123moore	196
84	LordSpeed37	193
85	Bumpy419	191
86	Winklepicker279	189
87	SuperPooch06	188
88	TechnoNinja64	187
89	youhjjhhhjj	186
90	Jackattack53	184
90	Luigipunch989	184
92	The11thDoctor	183
93	KarlKaek	182
94	H72l9w	181
94	MyNameIsJobo	181
94	Arceus1975	181
94	SkateboardR6	181
98	Maenara	172
99	Lord_Jord	170
100	Covalents	166
101	Deathkob	165
101	Nicserso	165
103	Comma__	164
103	ooga47	164
103	Warlord324	164
106	CoffeeNoir	162
107	Quaintster	161
108	Historical_Sand	153
108	lordpipe	153
110	Kim_Jong_eel	152
110	fffMike	152
112	Racengan	150
113	Cocoamallows	148
114	bigstankyy	146
114	PortlyPete69	146
116	_Virify_	145
116	CollinMH06	145
116	h2p_emrld	145
119	Shogunite	142
120	ImpavidArcher	140
120	ProfessorBee	140
120	WyngGoy	140
123	mwrty	138
123	djancak	138
123	stahouo	138
126	livingdaydreams	136
126	burbankbuilder28	136
126	Zoeyfortnite	136
129	MovingFish7	135
130	Groovy_MoonBird	134
130	slkiey	134
130	SSytex_X	134
133	TheSeismicDuck	133
134	MeetTheWollo	131
134	diggydog67	131
136	diamondgolem35	130
136	SaucyDark	130
136	_naturell	130
136	_Karmaa	130
140	Sral7	129
141	fluddd	128
141	pixelviolin	128
143	Chromary	127
143	FishyBoy3811	127
143	wezzzi	127
146	MilleGrug	123
147	Dusk_95	122
148	SvenskaHugo	121
149	smogfrog	120
150	Legendosh	119
151	MattieHD	117
152	BlancoFlaco	116
153	12Magner05	115
153	jnp_gaming	115
153	JayToe	115
156	eviltunix	113
157	epiksk8erduck	112
158	BobDeBouwer1337	110
158	Zaridey	110
160	Drlzyy	106
160	Kateesaur	106
162	Skylord_Luke	105
162	SammiWolfGirl	105
164	AlphaWolfPlaysMC	104
165	platinumzero	102
166	Zythose	100
167	Jiminie	99
167	ayamefag	99
169	Nach0Bear	98
169	Rocco_Lane	98
171	TheTrueClipse	97
171	KlausVonStiglitz	97
171	CalebDHawk	97
174	Russiancat1	95
174	Typadopoulos	95
174	alderban107	95
177	TheDankPlatypus	93
177	Fuhrer_Teemo	93
177	lillips	93
180	kinas45y5	91
181	jacxhadow	90
181	_Dean_123	90
181	Hiryu27	90
184	whoaluv	89
184	Rasmanden	89
186	Tolhart	88
186	masskedman	88
186	Nycteus_	88
189	Sky_light_KING	87
189	lcvezra	87
191	Malorn_Aetherius	86
191	loveseeker	86
193	Flores991	85
194	Kyrum2169	84
195	_NieToksikpl_	83
195	NameGenerat0r	83
197	TooManyDuck	81
197	Werbe	81
197	AssEatrAndLicker	81
200	Inbefour	80
200	Quincannon	80
202	Reamdin	79
202	XboxPanda	79
204	SUN_DREAM	78
205	Valoth	77
205	Deodorante	77
207	6king6colt6	76
207	Natty	76
207	egglapras	76
210	q_wq	75
210	gabriels543	75
210	Kouridragon	75
210	MyNameIsDakar	75
214	SellyZ	74
214	DTwenty	74
214	Nagasaki_Riku	74
217	FirsTimeGamingTV	73
217	Vizzoid	73
217	GlitchyPlate810	73
217	Dogcorn69420	73
221	Natofthese	72
221	Swexti	72
221	zorin123	72
221	EcksDofficial	72
225	Powowowow	71
226	Myszoaz	70
227	ExtraDumb	69
227	SingedBread	69
227	__tomato	69
230	lotarp	68
230	stavgod	68
232	mariominejedi	67
232	Fildyr	67
234	RobotMinion101	66
234	Meatlaugh	66
236	Nicky_H225	65
236	JESS_THE_RERE	65
236	EfficientC52	65
236	FlashMigma	65
236	MakeHistory157	65
241	teslawolf38	64
241	ImDisconnected_	64
243	SlayerCrypto	62
243	_8man	62
243	Leyna3	62
243	Dreamdbr14	62
243	RadarHz	62
243	MelodyGaysharks	62
249	audiocracked	61
249	Groundler	61
251	Froste131	60
251	Tommhh	60
251	DarkS0L	60
251	MightyWertu	60
255	boog4loo	59
255	Vetral1	59
257	ShedJr_	58
257	bloodbiter	58
259	UncreativeArtist	57
259	2Stout	57
259	ori0le	57
259	BumbleBeever	57
259	PlzNoBM	57
259	mawileite	57
265	silverpopcorn	56
265	TheEnderman548	56
265	laron58	56
268	Sleek_Storm_721	55
268	Hpdinosaur	55
268	SpouHn	55
268	DarlaMeow	55
268	Fizznut909	55
273	I_Am_Mushkin	54
273	jushykins	54
273	Kubelz	54
273	starbits140	54
273	stellarjay	54
278	MunkaKris	53
278	GingerNeutron	53
278	Inchef	53
278	Corbsman	53
282	AuroraValkyrie	52
282	07shiny	52
284	monky_irl	51
284	jcool7	51
284	tartanboy	51
287	Jackster03	50
287	Ssor69	50
287	NoChumpChange	50
290	Noah_Bez	49
290	TheOnlyRake	49
292	dopplexd	48
292	eiC_	48
292	Wowful	48
292	GoofyBread	48
296	dudcreeper	47
296	KingFaenor	47
296	IWorkAtIkea	47
296	SquadMonster	47
296	Xalithia	47
