rank	username	minecraft:killed/minecraft:dolphin
1	YungMaki	156
2	12Magner05	145
3	joethahobo	82
4	thewindmillman	67
5	Blaiku	53
6	noam464	39
6	PigDab	39
8	kekhon	27
8	obzii	27
10	Mahoose	26
11	Ezekson	18
12	CharlieButt	16
13	claivin	14
13	Kowcio_	14
15	Enderslayerxz3	13
16	Rasmanden	12
17	beeperbeeper5	11
18	Blackberry1310	10
18	Kakolbus	10
18	EcksD	10
18	vandmanden	10
22	pintsizedrogue	9
22	SuperPooch06	9
24	eitanzaki	8
24	Nicky_H225	8
24	CollinMH06	8
27	Frozil12	7
28	MightyWertu	6
28	33sudo	6
28	Njensen7	6
28	h2p_emrld	6
32	Drlzyy	5
32	Jackattack53	5
32	Akoot_	5
32	jcool7	5
36	Jorrdi	4
36	AuroraValkyrie	4
36	hm947	4
36	jnp_gaming	4
40	Tommhh	3
40	ImpavidArcher	3
40	gcaisawesome	3
40	Chromary	3
40	Snowflowe	3
40	fred870d	3
40	TheSeismicDuck	3
40	HellsSponge	3
40	fluddd	3
40	Dusk_95	3
40	pixelviolin	3
40	Spenduh	3
40	fffMike	3
40	TheOuterCore	3
40	MeetTheWollo	3
55	Wooptey	2
55	H72l9w	2
55	bloodbiter	2
55	_Dean_123	2
55	Kubelz	2
55	M_Patata	2
55	RocketRidge	2
55	Di_infiri	2
55	Arceus1975	2
55	Hyp3rion_	2
55	Werbe	2
55	Afinnity	2
55	Meepcraft	2
55	Soap_Bender	2
55	Keeogwi	2
55	_k2x	2
55	lordpipe	2
55	MasterNueve	2
55	sp00ky_ghost977	2
55	ayamefag	2
55	Eraxa	2
55	Nekomin0	2
55	_TCARREIRA_	2
55	AltnumberF4	2
55	kinas45y5	2
55	YoshikageBites	2
81	wylify	1
81	Menthas	1
81	_Virify_	1
81	Merv__	1
81	diamondgolem35	1
81	error10101	1
81	ExtraDumb	1
81	Batman922	1
81	lotarp	1
81	brandonjames_h	1
81	ShedJr_	1
81	SteveWithClout	1
81	tramizu	1
81	TheSecondLord	1
81	Rich_Kat	1
81	Dnulgreb	1
81	Guillemet	1
81	shyshyannne	1
81	Fullut	1
81	AJbeast01	1
81	Z3braYTIL	1
81	set67	1
81	Nach0Bear	1
81	Inchef	1
81	surfinggiraffejp	1
81	2Stout	1
81	xxPipperDipperxx	1
81	TUNDR0	1
81	SlayerCrypto	1
81	Skylord_Luke	1
81	SonicRainBow_	1
81	DeeDeeThonk	1
81	Onennon	1
81	Kynigito	1
81	epiksk8erduck	1
81	xo_Marren_xo	1
81	Lord_Jord	1
81	wezzzi	1
81	Inbefour	1
81	EveryonesUncle	1
81	Syropatathe	1
81	lillips	1
81	OverallConcept	1
81	Quaintster	1
81	QueenShuvi	1
81	SkateboardR6	1
81	Hisiste	1
81	Spacewardharpy7	1
81	monky_irl	1
81	geekbird	1
81	IvarEXE	1
81	stavgod	1
81	DontHaveKick	1
81	alderban107	1
81	Kubeusz2010	1
81	VentiHilton	1
81	Erased_Identity	1
81	DiamondShaff	1
81	oxfordschool	1
81	Nicserso	1
81	Legendosh	1
81	2blox	1
81	Zoeyfortnite	1
81	EcksDofficial	1
81	Northernrabbit	1
81	Smoke____	1
81	diggydog67	1
