rank	username	minecraft:killed_by/minecraft:hoglin
1	EcksD	17
2	T045RTY	16
2	HellsSponge	16
4	FreakGenius	12
4	Hermanni__	12
6	Mahoose	10
7	noam464	9
8	joethahobo	8
8	DanTheBuilderino	8
10	Blackberry1310	7
10	gcaisawesome	7
12	fanofbands101	6
12	eitanzaki	6
12	beeperbeeper5	6
12	bloodbiter	6
12	Di_infiri	6
12	PigDab	6
12	luseis	6
12	PlasticOtari	6
20	Wolf_Mauler_73	5
20	BlancoFlaco	5
20	tuckerdoodle	5
20	Jackattack53	5
20	Zythose	5
20	zToasty69z	5
20	jnp_gaming	5
27	ShedJr_	4
27	xxPipperDipperxx	4
27	Spacewardharpy7	4
27	ConnorDanky_	4
27	RadarHz	4
32	CliffEmAll	3
32	12Magner05	3
32	Smashic	3
32	crying_wolf_13	3
32	Kubelz	3
32	trixterrx	3
32	King_Pancake1	3
32	Rebytre	3
32	binman420	3
32	Blaiku	3
32	lordpipe	3
32	RealGroot	3
32	Kubeusz2010	3
32	Ezekson	3
32	2bolx_	3
32	CrazyPotater	3
48	Mr_Byzantine	2
48	PazinGaming	2
48	EMC_	2
48	KarlKaek	2
48	gren_ben	2
48	hm947	2
48	Hpdinosaur	2
48	Whiterooster001	2
48	TheThomas69	2
48	Fullut	2
48	set67	2
48	Awyrlas	2
48	MangoTheFish	2
48	Werbe	2
48	YahooScreen9000	2
48	Akoot_	2
48	parodypatient	2
48	NomadicRobin_	2
48	RoofTyler	2
48	SingedBread	2
48	ItsDeltaMC	2
48	Ze_BaronKrigler	2
48	Mythic1130	2
48	Decaying_Lotus	2
48	Kowcio_	2
48	Daedalus342	2
48	brofrickcheaters	2
48	NATE_the_HALO	2
48	Sheldor097	2
48	Eczbek	2
48	mobunni	2
48	trexgb	2
48	Smoke____	2
48	diggydog67	2
48	00000000-0000-0000-0009-01ff0c3e5e4f	2
48	00000000-0000-0000-0009-01f073f37a91	2
84	Groovy_MoonBird	1
84	FazeObama69	1
84	RoskobiOne	1
84	Cowison	1
84	soundad	1
84	chimpmunker	1
84	Esme_1	1
84	__lizi	1
84	RatatJuice	1
84	Wooptey	1
84	RebelAndroid	1
84	SyntheticSurgeon	1
84	CoffeeNoir	1
84	Huwulling	1
84	MLG_Kirby69	1
84	YairZaki	1
84	Prismyst	1
84	PhantomBionic	1
84	Historical_Sand	1
84	Swexti	1
84	ccwildfire1	1
84	rarrq	1
84	jfirebender2	1
84	jacxhadow	1
84	MinttyFressh	1
84	Moyd_	1
84	kekhon	1
84	corvidpartyfor6	1
84	eclipseboi	1
84	orxngejuice	1
84	ROY4LE	1
84	theonlymagikarp	1
84	benediktine1	1
84	Phanthium	1
84	Winklepicker279	1
84	Marbz_	1
84	CarltheCuck	1
84	SuperPooch06	1
84	burbankbuilder28	1
84	_Boipl_	1
84	BronkerBrum	1
84	Skylord_Luke	1
84	Mattesco	1
84	unren	1
84	lizardfightclub	1
84	Luminad3	1
84	groofles	1
84	KliBeast21	1
84	Elastiq	1
84	Lord_Jord	1
84	masskedman	1
84	Gryglu583	1
84	aldplaysmc	1
84	Deathkob	1
84	Lifedy	1
84	RoBe__	1
84	Shogunite	1
84	bluefragmentt	1
84	Nycteus_	1
84	ProfessorDiaper	1
84	wwwwinnebagoooo	1
84	mihimihimihi	1
84	WyngGoy	1
84	kyouma777	1
84	YungMaki	1
84	MineMaster0012	1
84	djancak	1
84	Luigipunch989	1
84	GlitchyPlate810	1
84	SpacesickPrism	1
84	Kymarmalade	1
84	Kamiento	1
84	UltraZombie	1
84	CalebDHawk	1
84	fffMike	1
84	jcool7	1
84	Nicserso	1
84	Enderxz3	1
84	bladeefan2009	1
84	xolstoi	1
