rank	username	minecraft:killed_by/minecraft:ravager
1	Hermanni__	486
2	12Magner05	378
3	Nycteus_	192
4	luseis	73
5	Enderxz3	69
6	Segotep999	56
7	MineMaster0012	50
8	EcksD	47
9	Cellcorgi649	44
10	beeperbeeper5	43
11	Hyp3rion_	34
12	noam464	20
13	Sral7	15
14	TheSecondLord	14
15	Maenara	12
16	HellsSponge	11
17	Onennon	10
18	Arch3lia	9
19	pintsizedrogue	7
19	M_Patata	7
19	Werbe	7
19	MasterNueve	7
23	nattybears	6
23	kekhon	6
25	Apollo_993	5
25	gren_ben	5
25	T045RTY	5
25	Vizzoid	5
25	excelsionprime	5
25	thewindmillman	5
25	TechnoNinja64	5
25	Jimb0nat0r	5
25	AdmiralSmoke	5
34	shadowthemonkey	4
34	Jackattack53	4
34	Fast_Turtle	4
34	fw3xy74	4
34	AuroraSkies	4
34	YungMaki	4
34	nonarso	4
34	Powowowow	4
42	Mahoose	3
42	Da_Boss_Rani	3
42	Mattesco	3
42	stavgod	3
42	IdeallyGrey	3
47	RebelAndroid	2
47	KomputerDude	2
47	500am	2
47	thescout7	2
47	Inchef	2
47	corpsecity	2
47	Rebytre	2
47	Hiryu27	2
47	oscminus	2
47	Akoot_	2
47	Manaateee	2
47	claivin	2
47	Blu3beast	2
47	Spacewardharpy7	2
47	lordpipe	2
47	DennyKai	2
47	Ezekson	2
64	Louiis123	1
64	ItsColin11	1
64	AuroraValkyrie	1
64	Hyugo	1
64	hm947	1
64	Gundam_Steven	1
64	eitanzaki	1
64	imthatpikachu	1
64	jimintyy	1
64	youhjjhhhjj	1
64	joethahobo	1
64	Historical_Sand	1
64	rarrq	1
64	CaracolCxnt	1
64	_Nat666	1
64	BobDeBouwer1337	1
64	m_be9	1
64	Scattman_	1
64	Kamflame10	1
64	set67	1
64	emrekn	1
64	ROY4LE	1
64	ImDisconnected_	1
64	Di_infiri	1
64	SuperPooch06	1
64	AmbroseForLife	1
64	Snowflowe	1
64	Rocco_Lane	1
64	Moofyman	1
64	HyperCave	1
64	AlexxO_o	1
64	J4k__	1
64	yulgur1	1
64	audiocracked	1
64	Meatlaugh	1
64	JESS_THE_RERE	1
64	NameGenerat0r	1
64	wwwwinnebagoooo	1
64	Yahir091	1
64	mihimihimihi	1
64	Druid95	1
64	ayamefag	1
64	SvenskaHugo	1
64	Kowcio_	1
64	xzvu	1
64	SammiWolfGirl	1
64	ConnorDanky_	1
64	Quotary	1
64	Legendosh	1
