rank	username	minecraft:killed_by/minecraft:phantom
245	belly0_0	2
245	Eczbox	2
245	Bumpy419	2
245	ApophisNova	2
245	Sharkbyte0	2
245	Moofyman	2
245	epiksk8erduck	2
245	wrinkledpiglet	2
245	Nadhorion	2
245	_Cloverbelle_	2
245	Matyyy15	2
245	Mr_Sun15	2
245	thgrocks	2
245	Jimi7hits	2
245	groofles	2
245	KliBeast21	2
