rank	username	minecraft:killed_by/minecraft:zombie_pigman
1	Corbsman	14
1	stavgod	14
3	KomputerDude	11
4	fr_ser	10
5	dopplexd	9
6	Paleshield	5
6	legal_tax_evader	5
6	MyNameIsJobo	5
6	jedi_george	5
6	Dogcorn69420	5
11	AJplaysMC_	4
11	HoldThatPee	4
11	JungeSchnauzer	4
14	Onennon	3
14	SpouHn	3
14	GoofyBread	3
14	marumochis	3
14	bitsplease	3
19	Allchemy	2
19	Batman922	2
19	DirtyDalle	2
19	featherflyy	2
19	Gabzi	2
19	SellyZ	2
19	Nyxiom_	2
19	sxc_	2
19	QueenShuvi	2
19	SUN_DREAM	2
19	_TCARREIRA_	2
30	Bandito_Roamer	1
30	hollowww	1
30	TheBlackDeth	1
30	Ladder_Jockey	1
30	dacooksta	1
30	ColeSnyder	1
30	menacingcorolla4	1
30	jimintyy	1
30	Natty	1
30	Reamdin	1
30	luckymage	1
30	picardred	1
30	noah_rubin	1
30	Comma__	1
30	firesgal3116	1
30	ThePoliteG	1
30	Cheesebal1	1
30	boog4loo	1
30	fweddy	1
30	FBKong	1
30	Giannism	1
30	valiSW	1
30	RefluxRatio	1
30	Tandy117	1
30	MustardDrinker	1
30	The11thDoctor	1
30	RohnJosin	1
30	A_Large_Rock	1
30	J4k__	1
30	XeroByMyth	1
30	IamCL4SSY	1
30	rotten_mango	1
30	Katthaj	1
30	Lekol	1
30	Travka100	1
30	DarkLawD	1
30	PlatonicSteve	1
30	__hinterland__	1
30	TheDumbHuman	1
30	OG_Songsee	1
30	Cocoamallows	1
30	_Memento_Mori	1
30	ItsJunoIGuess	1
30	Enslaving	1
30	erkada	1
30	JasmineGK	1
30	UrbanPlanningEx	1
30	zmpeg	1
30	MelodyGaysharks	1
30	SilentKarma	1
