rank	username	minecraft:killed_by/minecraft:wither_skeleton
1	eitanzaki	43
2	HellsSponge	20
3	stavgod	18
4	chipklip	16
5	thescout7	15
6	joethahobo	11
6	Di_infiri	11
8	Vorlice	10
9	Arceus1975	8
9	PigDab	8
11	noam464	7
11	claivin	7
13	UncreativeArtist	6
13	Smoke____	6
15	Groovy_MoonBird	5
15	lizardfightclub	5
15	Freak_Genius	5
15	Spacewardharpy7	5
19	kekhon	4
19	Kubelz	4
19	ToastedGamingYT	4
19	Kim_Jong_eel	4
19	Akoot_	4
19	Blu3beast	4
19	Frozil12	4
19	NotMeowMix	4
19	MilleGrug	4
19	Ezekson	4
19	EcksD	4
19	Zoeyfortnite	4
31	Sleek_Storm_721	3
31	T045RTY	3
31	lotarp	3
31	Mahoose	3
31	BobDeBouwer1337	3
31	MyNameIsJobo	3
31	Jackattack53	3
31	Corbsman	3
31	MightyWertu	3
31	Racengan	3
31	monky_irl	3
42	ColeSnyder	2
42	hm947	2
42	livingdaydreams	2
42	ShedJr_	2
42	bloodbiter	2
42	ABUSNA1996	2
42	Kamflame10	2
42	set67	2
42	mimbo1211	2
42	Nyxiom_	2
42	ItsAki_	2
42	TTNG	2
42	NomadicRobin_	2
42	MAns_44	2
42	SingedBread	2
42	Hisiste	2
42	Factoroni	2
42	pixelviolin	2
42	djancak	2
42	PortlyPete69	2
42	Nicserso	2
42	Powowowow	2
42	PlasticOtari	2
65	pintsizedrogue	1
65	Batoser	1
65	Crowvens	1
65	PhantomsGhost_	1
65	fanofbands101	1
65	Voltique69	1
65	Merv__	1
65	Yatitay	1
65	DepressedCubic	1
65	I_Am_Mushkin	1
65	KarlKaek	1
65	error10101	1
65	Dedalus36	1
65	BlancoFlaco	1
65	SaucyDark	1
65	Lukeee33	1
65	Paleshield	1
65	tuckerdoodle	1
65	openatheclose	1
65	BodaciousCake	1
65	awesomeoneme	1
65	NinjaKnifeKill	1
65	MSK__	1
65	Historical_Sand	1
65	gaziter10	1
65	beeperbeeper5	1
65	TheFlfthHorseman	1
65	rarrq	1
65	Misato_0	1
65	m_be9	1
65	Ardennes	1
65	Lumien_	1
65	Jokerman369	1
65	Tmb1	1
65	crying_wolf_13	1
65	Awyrlas	1
65	_Magdo_	1
65	Motsaro	1
65	xxPipperDipperxx	1
65	gcaisawesome	1
65	XboxPanda	1
65	ReverendSmith	1
65	Windo_licker	1
65	loveseeker	1
65	fr_ser	1
65	SuperPooch06	1
65	AJplaysMC_	1
65	Rumpletaezer	1
65	thewindmillman	1
65	Hyp3rion_	1
65	SamZombie	1
65	Zythose	1
65	RefluxRatio	1
65	pappaberg	1
65	Skylord_Luke	1
65	Werbe	1
65	The11thDoctor	1
65	RobotMinion101	1
65	Yaffs_OG	1
65	seramalen	1
65	KartivGal	1
65	Kynigito	1
65	Alfman007	1
65	Jimi7hits	1
65	RodSerlingCringe	1
65	Maenara	1
65	_Crimson_Legate	1
65	TheSeismicDuck	1
65	Deathkob	1
65	Karbl	1
65	GoofyBread	1
65	DanTheBuilderino	1
65	El_Jalapeno	1
65	fluddd	1
65	GravitySaint	1
65	BumbleBeever	1
65	__Auspicious	1
65	wwwwinnebagoooo	1
65	lordpipe	1
65	LetsDoItLive	1
65	Cocoamallows	1
65	Razzgriz	1
65	KG1999	1
65	Shin69	1
65	Kowcio_	1
65	YungMaki	1
65	__tomato	1
65	SammiWolfGirl	1
65	_TCARREIRA_	1
65	striker90333	1
65	Steelynan	1
65	Vellu21	1
65	Kubeusz2010	1
65	tartanboy	1
65	mobunni	1
65	anbbang	1
65	RadarHz	1
65	MeetTheWollo	1
65	The_SlideV5	1
