rank	username	minecraft:killed_by/minecraft:zombie_villager
1	noam464	21
2	Mahoose	15
3	Racengan	14
4	chipklip	11
5	Freak_Genius	10
6	Historical_Sand	9
6	xxPipperDipperxx	9
6	HellsSponge	9
9	TechnoNinja64	8
10	kekhon	7
10	MyNameIsJobo	7
10	whoaluv	7
10	_Boipl_	7
10	Werbe	7
10	Ezekson	7
16	eitanzaki	6
16	ShedJr_	6
16	bloodbiter	6
16	Jackattack53	6
16	PigDab	6
16	jnp_gaming	6
16	PlasticOtari	6
23	pintsizedrogue	5
23	Blackberry1310	5
23	Akoot_	5
23	The_slideV3	5
23	stavgod	5
28	T045RTY	4
28	ROY4LE	4
28	SuperPooch06	4
28	Hyp3rion_	4
28	cedric72	4
28	Kowcio_	4
34	q_wq	3
34	beeperbeeper5	3
34	TheSecondLord	3
34	ConcretePirate	3
34	thescout7	3
34	mariominejedi	3
34	Di_infiri	3
34	Arceus1975	3
34	El_Jalapeno	3
34	Blaiku	3
34	Warlord324	3
34	Spacewardharpy7	3
34	_Ruzeeq_	3
34	oxfordschool	3
34	HesDemonPants	3
34	Zoeyfortnite	3
34	Smoke____	3
51	TheBiggestFeller	2
51	MunkaKris	2
51	_Virify_	2
51	I_Am_Mushkin	2
51	ImpavidArcher	2
51	CoffeeNoir	2
51	tramizu	2
51	NotMeanttoChange	2
51	himak1	2
51	Chromary	2
51	Mattesco	2
51	RodSerlingCringe	2
51	masskedman	2
51	monky_irl	2
51	MineMaster0012	2
51	Nekomin0	2
51	Luigipunch989	2
51	LeeMcGee30	2
51	Hermanni__	2
51	anbbang	2
51	Kateesaur	2
51	00000000-0000-0000-0009-01ff0c3e5e4f	2
51	00000000-0000-0000-0009-01f898304150	2
74	seanitoo	1
74	Menthas	1
74	Froste131	1
74	SKYPEX_	1
74	RoskobiOne	1
74	strongman951753	1
74	not_a_duck_23	1
74	soundad	1
74	teslawolf38	1
74	Tommhh	1
74	EMC_	1
74	Sleek_Storm_721	1
74	KarlKaek	1
74	diamondgolem35	1
74	error10101	1
74	lwyl	1
74	BlancoFlaco	1
74	Hpdinosaur	1
74	Wooptey	1
74	maliraspberry	1
74	livingdaydreams	1
74	BoraMC	1
74	youhjjhhhjj	1
74	FetusGobbler	1
74	Prismyst	1
74	joethahobo	1
74	H72l9w	1
74	Sleepy_Time_	1
74	Vizzoid	1
74	BleachMyEyes	1
74	Auseawesome	1
74	jiggywraps	1
74	TheThomas69	1
74	ProfessorBee	1
74	GingerNeutron	1
74	Guillemet	1
74	Lumien_	1
74	eclipseboi	1
74	BilboBaggins23	1
74	Awyrlas	1
74	KGTV	1
74	Xalithia	1
74	Septemb3r	1
74	SellyZ	1
74	gcaisawesome	1
74	benediktine1	1
74	purpolepickle	1
74	Zorin_Blitz	1
74	0nly_sn1per	1
74	__Fanda__	1
74	CarltheCuck	1
74	Armattillo	1
74	Snowflowe	1
74	CasperHxly	1
74	CruncyIsTaken	1
74	sammidk	1
74	CarryLine	1
74	Maenara	1
74	Lord_Jord	1
74	MrQuanQuan	1
74	NomadicRobin_	1
74	FreddyFart	1
74	EveryonesUncle	1
74	Jiminie	1
74	sufjanlover	1
74	MinuteMira	1
74	Katthaj	1
74	DarlaMeow	1
74	StinkyDiplomat	1
74	DanTheBuilderino	1
74	BigCronkin	1
74	EfficientC52	1
74	Blu3beast	1
74	SingedBread	1
74	bluemage31	1
74	DeGodz4life	1
74	DolphinLaugh	1
74	Vicemaniac	1
74	lordpipe	1
74	Mistruth	1
74	Ze_BaronKrigler	1
74	Nagasaki_Riku	1
74	rejenita	1
74	YungMaki	1
74	BlankityMcBlank	1
74	djancak	1
74	alkrie	1
74	stahouo	1
74	SammiWolfGirl	1
74	PortlyPete69	1
74	Sheldor097	1
74	Kferno	1
74	MilleGrug	1
74	KingMatthew506	1
74	Quotary	1
74	RadarHz	1
74	Enderslayerxz3	1
74	MeetTheWollo	1
74	cryptonym	1
74	The_SlideV5	1
74	EcksDofficial	1
74	Jordan_R	1
74	WYFYoyo	1
74	Calbo_	1
