rank	username	minecraft:killed_by/minecraft:piglin_brute
1	excelsionprime	22
2	steppe_nomad	21
3	PlasticOtari	19
4	ECstardust	18
4	noam464	18
6	doublemaki	16
7	Secret_Canary	14
8	MinttyFressh	13
8	HolyVenom	13
10	Apollo_993	11
10	_witch_craft_	11
12	shineh10	10
12	Cache3	10
14	CLG_Kata	8
14	MSK__	8
14	TheSecondLord	8
17	Alteriity	7
17	joethahobo	7
17	hanaryheatwave	7
20	royal_2	6
20	Marbz_	6
20	JitteryJared2	6
20	Segotep999	6
20	DairyNickel756	6
25	Manaateee	5
25	wwwwinnebagoooo	5
27	ROY4LE	4
27	lizardfightclub	4
29	pintsizedrogue	3
29	j5ylim	3
29	Merv__	3
29	beeperbeeper5	3
29	Crizma_	3
29	Smashic	3
29	Krowuss	3
29	Galactic_Badger	3
29	Kowcio_	3
29	Enderxz3	3
39	Lorcout	2
39	PazinGaming	2
39	EMC_	2
39	hm947	2
39	Mahoose	2
39	Historical_Sand	2
39	akap47	2
39	Tersea_	2
39	500am	2
39	lorpus	2
39	ARandomHedge	2
39	craaaash	2
39	Di_infiri	2
39	Aakvaa	2
39	Hyp3rion_	2
39	2extreeme	2
39	Rebytre	2
39	Jekyll	2
39	oscminus	2
39	Hahaa_0	2
39	AstreaTSS	2
39	MAns_44	2
39	Synthoum	2
39	Iamthejo	2
63	k_ce	1
63	Frozil20	1
63	alcremiie_	1
63	tuckerdoodle	1
63	ActualPatbaf	1
63	net_flex	1
63	ChampPog_	1
63	12Magner05	1
63	MattieHD	1
63	Nach0Bear	1
63	r123moore	1
63	gamerlord1324	1
63	Jackattack53	1
63	thewindmillman	1
63	AlexxO_o	1
63	zToasty69z	1
63	DarlaMeow	1
63	StinkyDiplomat	1
63	_flud	1
63	Spacewardharpy7	1
63	NiveauSubmarine	1
63	Vetomo8000	1
63	StarCookiees_	1
63	jcool7	1
63	MilleGrug	1
63	Skippeh	1
63	youarefrench_	1
63	11Brewer	1
63	Jimb0nat0r	1
63	calamariclam_I	1
63	Yamdalorian	1
