rank	username	minecraft:killed_by/minecraft:guardian
1	Zythose	195
2	PigDab	135
3	Ezekson	109
4	noam464	107
5	NomadicRobin_	82
6	lizardfightclub	73
7	I_Am_Mushkin	60
8	QueenShuvi	54
9	diamondgolem35	51
9	Smoke____	51
11	beeperbeeper5	38
11	YungMaki	38
13	TechnoNinja64	37
14	eitanzaki	30
15	HellsSponge	28
16	EMC_	27
16	Spacewardharpy7	27
18	Di_infiri	25
19	ImpavidArcher	22
19	EcksD	22
21	Paintz	21
22	Tyrannosplart	16
22	Blaiku	16
24	RealGroot	15
25	gcaisawesome	14
26	ooga47	13
26	MilleGrug	13
28	Rebytre	12
29	Notta	11
30	rarrq	10
30	SammiWolfGirl	10
32	Lez_	9
32	Jackattack53	9
32	luseis	9
32	Powowowow	9
32	Zoeyfortnite	9
37	Mahoose	7
37	12Magner05	7
39	Frozil20	6
39	Iagoku	6
39	xxPipperDipperxx	6
39	Hyp3rion_	6
39	TheShyPig	6
39	Lord_Jord	6
39	xDraggin	6
39	monky_irl	6
47	intropass	5
47	Snowflowe	5
47	Hiryu27	5
47	The_slideV3	5
47	Blu3beast	5
47	Vorlice	5
47	CalebDHawk	5
47	FishisTTV	5
55	LittleBug562	4
55	joethahobo	4
55	Werbe	4
55	claivin	4
55	lordpipe	4
60	Mr_Byzantine	3
60	T045RTY	3
60	Reamdin	3
60	paranoid_plant	3
60	thescout7	3
60	Azmodan_246	3
60	SaintJosie	3
60	Akoot_	3
60	MAns_44	3
60	BumbleBeever	3
60	stavgod	3
60	ConnorDanky_	3
72	pintsizedrogue	2
72	_Virify_	2
72	dimondking777	2
72	LovelyDane	2
72	TooManyDuck	2
72	Cryptacity	2
72	kekhon	2
72	crying_wolf_13	2
72	TheDankPlatypus	2
72	Winklepicker279	2
72	SuperPooch06	2
72	thewindmillman	2
72	ApophisNova	2
72	Onennon	2
72	Leyna3	2
72	DarlaMeow	2
72	Fuad_R	2
72	FreakGenius	2
72	Groundler	2
72	Racengan	2
72	obzii	2
72	jcool7	2
72	Vellu21	2
72	MyNamaSheff	2
72	Enderxz3	2
97	PhantomsGhost_	1
97	ItsColin11	1
97	MikeIsSalty	1
97	hm947	1
97	Natty	1
97	Seyaboy	1
97	Myszoaz	1
97	Da_Boss_Rani	1
97	titanlax	1
97	Comma__	1
97	MinttyFressh	1
97	FemboyFwuit	1
97	Fullut	1
97	Awyrlas	1
97	Motsaro	1
97	himak1	1
97	eviltunix	1
97	Xalithia	1
97	2Stout	1
97	LittleIan365	1
97	John6970	1
97	M_Patata	1
97	Kakolbus	1
97	legal_tax_evader	1
97	whoaluv	1
97	Rumpletaezer	1
97	Billious	1
97	SvenskaSara	1
97	Bumpy419	1
97	Skylord_Luke	1
97	TheWildMateo	1
97	Smussa	1
97	F_Uhre	1
97	cedric72	1
97	dnlksl	1
97	FishyBoy3811	1
97	Maenara	1
97	ADEXTV	1
97	TheTrueClipse	1
97	master9067	1
97	lillips	1
97	MyNameIsDakar	1
97	_Karmaa	1
97	NameGenerat0r	1
97	Quaintster	1
97	censorsheep	1
97	Hisiste	1
97	mihimihimihi	1
97	Dusk_95	1
97	marvLoLs	1
97	radioactv_jelly	1
97	MasterNueve	1
97	sp00ky_ghost977	1
97	ZoharGoldMine	1
97	33sudo	1
97	djancak	1
97	gusstationwerker	1
97	xzvu	1
97	stellarjay	1
97	_TCARREIRA_	1
97	non089	1
97	bitsplease	1
97	laron58	1
97	TinyTheMelon	1
97	Iamthejo	1
97	scarletwarrior1	1
97	BreadBacon	1
97	Nicserso	1
97	Weepingbiel	1
97	UrbanPlanningEx	1
97	bladeefan2009	1
97	xolstoi	1
97	calamariclam_I	1
97	h2p_emrld	1
97	diggydog67	1
