rank	username	minecraft:killed_by/minecraft:wither
1	eitanzaki	72
2	Smoke____	47
3	fr_ser	38
4	HellsSponge	35
5	noam464	31
6	Jackattack53	29
7	Corbsman	28
8	Jimb0nat0r	25
9	gcaisawesome	20
9	Spacewardharpy7	20
11	Rasmanden	19
12	joethahobo	18
12	Ezekson	18
14	gabriels543	17
14	Di_infiri	17
14	NotMeowMix	17
17	PigDab	15
17	djancak	15
17	GlitchyPlate810	15
20	KarlKaek	12
20	monky_irl	12
22	Enderxz3	11
23	Zythose	10
24	NomadicRobin_	9
25	sadvavilloso	8
26	mattybeewrapss	7
26	xxPipperDipperxx	7
28	Mahoose	6
28	rarrq	6
28	Cellcorgi649	6
28	Tyrannosplart	6
28	YungMaki	6
28	anbbang	6
28	TechnoNinja64	6
35	r123moore	5
35	TheShyPig	5
35	parodypatient	5
35	claivin	5
35	MineMaster0012	5
35	xzvu	5
35	its_lupus	5
42	livingdaydreams	4
42	T045RTY	4
42	gaziter10	4
42	beeperbeeper5	4
42	ROY4LE	4
42	Arceus1975	4
42	Akoot_	4
42	AlphaWolfPlaysMC	4
42	FlashMigma	4
42	TheDumbHuman	4
42	ConnorDanky_	4
53	Frozil20	3
53	Killercatty78	3
53	SyntheticSurgeon	3
53	12Magner05	3
53	Secret_Canary	3
53	Kamflame10	3
53	set67	3
53	SellyZ	3
53	RefluxRatio	3
53	RobotMinion101	3
53	zToasty69z	3
53	Deodorante	3
53	Quaintster	3
53	Blaiku	3
53	Awesomely_SYD	3
53	Burge_r	3
53	Mythic1130	3
53	_TCARREIRA_	3
53	EcksD	3
53	cichy096	3
53	PlasticOtari	3
74	JohnnyFyes	2
74	PazinGaming	2
74	TooManyDuck	2
74	fr0stss	2
74	TheSecondLord	2
74	zorin123	2
74	_Nuf	2
74	Awyrlas	2
74	XboxPanda	2
74	Ecplosive	2
74	Hyp3rion_	2
74	King_Pancake1	2
74	The_Quack_Dealer	2
74	Soap_Bender	2
74	Blu3beast	2
74	Nycteus_	2
74	lordpipe	2
74	MakeHistory157	2
74	fffMike	2
74	Kubeusz2010	2
74	MissCeleste7	2
74	tartanboy	2
74	Powowowow	2
74	Zoeyfortnite	2
98	Groovy_MoonBird	1
98	k_ce	1
98	Bandito_Roamer	1
98	pZygh0st	1
98	hm947	1
98	ITDV	1
98	H72l9w	1
98	nocturne78	1
98	heckface	1
98	Blackberry1310	1
98	jushykins	1
98	Nicky_H225	1
98	MrExplorer	1
98	ProfessorBee	1
98	Megarboh	1
98	Fullut	1
98	boog4loo	1
98	IKeepDying	1
98	mwrty	1
98	thescout7	1
98	ImDisconnected_	1
98	SuperPooch06	1
98	Rumpletaezer	1
98	_8man	1
98	Werbe	1
98	Mattesco	1
98	J4ko8_	1
98	binman420	1
98	luseis	1
98	RoofTyler	1
98	DarlaMeow	1
98	fluddd	1
98	MightyWertu	1
98	Racengan	1
98	stavgod	1
98	Kowcio_	1
98	__tomato	1
98	MNMann44	1
98	MrTentacles2169	1
98	guccipucci_	1
98	Hermanni__	1
98	Skippeh	1
98	2bolx_	1
98	xolstoi	1
98	diggydog67	1
