rank	username	minecraft:killed_by/minecraft:slime
1	lordpipe	218
2	joethahobo	98
3	Mahoose	55
4	eitanzaki	33
5	gcaisawesome	32
5	Werbe	32
7	NatalieTW	29
8	AdmiralSmoke	25
9	EcksD	22
10	Zythose	21
11	MyNameIsJobo	18
12	pintsizedrogue	14
12	StarCookiees_	14
14	PigDab	13
14	luseis	13
16	noam464	12
16	Di_infiri	12
18	Lez_	11
18	ProfessorBee	11
20	HellsSponge	10
21	Blackberry1310	8
21	FreakGenius	8
21	Iamthejo	8
24	Mr_Byzantine	7
24	PazinGaming	7
24	Tyrannosplart	7
24	YungMaki	7
28	12Magner05	6
28	SuperPooch06	6
28	Deathkob	6
28	Spacewardharpy7	6
32	beeperbeeper5	5
32	oscminus	5
32	CalebDHawk	5
35	SteveCraftBlocks	4
35	shadowthemonkey	4
35	SammiWolfGirl	4
35	Steelynan	4
35	Ezekson	4
35	TechnoNinja64	4
41	EMC_	3
41	KarlKaek	3
41	Hpdinosaur	3
41	ShedJr_	3
41	noodlepack	3
41	xxPipperDipperxx	3
41	Akoot_	3
41	El_Jalapeno	3
41	mihimihimihi	3
41	Jimb0nat0r	3
51	Groovy_MoonBird	2
51	jessewegottacook	2
51	picardred	2
51	bloodbiter	2
51	500am	2
51	SomeWanderer	2
51	Maenara	2
51	claivin	2
51	pixelviolin	2
51	Kowcio_	2
51	__tomato	2
51	Soplight	2
51	non089	2
51	Hermanni__	2
51	alderban107	2
51	MirielThePastor	2
51	PlasticOtari	2
51	xolstoi	2
69	H0UNDFRMH3LL	1
69	fanofbands101	1
69	Merv__	1
69	ImpavidArcher	1
69	_Razaria	1
69	Historical_Sand	1
69	Whiterooster001	1
69	Prodiginus	1
69	TheSecondLord	1
69	BobDeBouwer1337	1
69	kekhon	1
69	TheThomas69	1
69	pr33tu	1
69	Smashic	1
69	Bobby808	1
69	himak1	1
69	PegLegPete93	1
69	fr_ser	1
69	Jackattack53	1
69	Chromary	1
69	Rumpletaezer	1
69	hanaryheatwave	1
69	Arceus1975	1
69	Snowflowe	1
69	burbankbuilder28	1
69	jordanchohat	1
69	King_Pancake1	1
69	Ebsen05	1
69	_Boipl_	1
69	TheTrueClipse	1
69	Lord_Jord	1
69	LeonelSalamanca	1
69	NomadicRobin_	1
69	Inbefour	1
69	aldplaysmc	1
69	NoChumpChange	1
69	ChocolatePepsi	1
69	Manaateee	1
69	DarlaMeow	1
69	Soap_Bender	1
69	Daffle	1
69	fluddd	1
69	SingedBread	1
69	MakeHistory157	1
69	stavgod	1
69	Strangemonkey71	1
69	AssFullaCum	1
69	fffMike	1
69	MilleGrug	1
69	Skippeh	1
69	anbbang	1
69	ConnorDanky_	1
69	SpaceTurtleOX	1
69	jnp_gaming	1
