rank	username	minecraft:killed_by/minecraft:dolphin
1	joethahobo	49
2	PigDab	8
3	ExtraDumb	2
3	SuperPooch06	2
3	jcool7	2
3	Erased_Identity	2
7	Mahoose	1
7	_Bguette_	1
7	YungMaki	1
7	EcksD	1
7	skrongus	1
