rank	username	minecraft:killed_by/minecraft:polar_bear
1	noam464	5
2	rarrq	4
3	claivin	3
4	Fullut	2
4	Kakolbus	2
4	fr_ser	2
4	Di_infiri	2
4	DarlaMeow	2
9	ImpavidArcher	1
9	_Razar	1
9	Incinere	1
9	Wooptey	1
9	eitanzaki	1
9	Mahoose	1
9	ShedJr_	1
9	ccwildfire1	1
9	FirsTimeGamingTV	1
9	12Magner05	1
9	Guillemet	1
9	boog4loo	1
9	Kkanot	1
9	4774	1
9	SellyZ	1
9	xxPipperDipperxx	1
9	Paintz	1
9	PeteO1995	1
9	SuperPooch06	1
9	burbankbuilder28	1
9	_Boipl_	1
9	Solar_Power	1
9	Werbe	1
9	Jimi7hits	1
9	Akoot_	1
9	chipklip	1
9	HellsSponge	1
9	Templar_David	1
9	fluddd	1
9	lcvezra	1
9	Skippeh	1
9	Ezekson	1
9	h2p_emrld	1
