rank	username	minecraft:killed_by/minecraft:zoglin
1	eitanzaki	3
2	BlueishDEV	1
2	Blackberry1310	1
2	Spacewardharpy7	1
2	SammiWolfGirl	1
2	ConnorDanky_	1
