rank	username	minecraft:killed_by/minecraft:ghast
1	HellsSponge	19
2	MyNameIsJobo	16
2	Zythose	16
2	PigDab	16
5	Werbe	10
6	Smoke____	9
7	eitanzaki	8
7	Mahoose	8
7	Akoot_	8
10	gcaisawesome	6
10	lordpipe	6
10	EcksD	6
13	beeperbeeper5	5
13	YungMaki	5
13	Hermanni__	5
16	Groovy_MoonBird	4
16	xxPipperDipperxx	4
16	cedric72	4
16	OG_Songsee	4
16	stahouo	4
21	hm947	3
21	joethahobo	3
21	kekhon	3
21	Hyp3rion_	3
21	Blu3beast	3
21	Spacewardharpy7	3
21	WyngGoy	3
21	PortlyPete69	3
29	fanofbands101	2
29	soundad	2
29	Sleek_Storm_721	2
29	ColeSnyder	2
29	Franco093	2
29	Batman922	2
29	rarrq	2
29	Cryptacity	2
29	noam464	2
29	fallingemma	2
29	Arceus1975	2
29	ebanana	2
29	Freak_Genius	2
29	MustaLoordi	2
29	Racengan	2
29	LetsDoItLive	2
29	oxfordschool	2
29	2blox	2
29	kinas45y5	2
29	Zoeyfortnite	2
29	Kateesaur	2
50	pintsizedrogue	1
50	Menthas	1
50	_Virify_	1
50	Mr_Byzantine	1
50	SyK7	1
50	numbra	1
50	chimpmunker	1
50	KarlKaek	1
50	bigstankyy	1
50	BlancoFlaco	1
50	openatheclose	1
50	T045RTY	1
50	CoffeeNoir	1
50	Reamdin	1
50	Historical_Sand	1
50	ccwildfire1	1
50	picardred	1
50	BobDeBouwer1337	1
50	MinttyFressh	1
50	Enigma0251	1
50	TheDiamondCG	1
50	Fullut	1
50	slkiey	1
50	Tmb1	1
50	Kamflame10	1
50	Scathra	1
50	mwrty	1
50	Awyrlas	1
50	Inchef	1
50	Xalithia	1
50	ROY4LE	1
50	XboxPanda	1
50	breadbowlgamer	1
50	gabriels543	1
50	Di_infiri	1
50	AJplaysMC_	1
50	domagawha	1
50	MustardDrinker	1
50	Corbsman	1
50	MisterKanister	1
50	Onennon	1
50	Sqwishy	1
50	Kokeech	1
50	TheShyPig	1
50	aec9	1
50	lizardfightclub	1
50	RodSerlingCringe	1
50	Wowful	1
50	XxCookiequeenxX	1
50	iamNaee	1
50	avalan64	1
50	LexMakesHistory	1
50	NameGenerat0r	1
50	Deerfoot	1
50	MAns_44	1
50	El_Jalapeno	1
50	Nycteus_	1
50	Universz	1
50	GravitySaint	1
50	Warlord324	1
50	Vorlice	1
50	Factoroni	1
50	33sudo	1
50	Optiprimus	1
50	stavgod	1
50	ayamefag	1
50	KG1999	1
50	Decaying_Lotus	1
50	Shin69	1
50	yatsuta	1
50	Kowcio_	1
50	AssFullaCum	1
50	Segotep999	1
50	Soplight	1
50	Spenduh	1
50	SammiWolfGirl	1
50	obzii	1
50	Detrov	1
50	UltraZombie	1
50	Dogcorn69420	1
50	DennyKai	1
50	mawileite	1
50	MilleGrug	1
50	Skippeh	1
50	OfficerAnvil	1
50	Miko_Fullbuster	1
50	Ezekson	1
50	Enderslayerxz3	1
50	HesDemonPants	1
50	CrazyPotater	1
50	h2p_emrld	1
