rank	username	minecraft:killed_by/minecraft:piglin
1	HellsSponge	64
2	noam464	62
3	T045RTY	40
4	eitanzaki	27
4	lizardfightclub	27
6	PigDab	26
7	EcksD	25
8	gcaisawesome	24
9	Werbe	22
10	Mahoose	19
11	joethahobo	17
12	Dedalus36	16
12	Freak_Genius	16
12	Hermanni__	16
15	Smoke____	15
16	bloodbiter	14
16	lordpipe	14
18	TheSecondLord	13
18	Fullut	13
18	Zythose	13
18	NomadicRobin_	13
18	YungMaki	13
23	beeperbeeper5	12
23	Winklepicker279	12
25	Di_infiri	11
25	Segotep999	11
27	Historical_Sand	10
27	Blackberry1310	10
27	PlasticOtari	10
30	himak1	8
30	Ze_BaronKrigler	8
30	Decaying_Lotus	8
30	RadarHz	8
30	Enderslayerxz3	8
35	hm947	7
35	ShedJr_	7
35	12Magner05	7
35	kekhon	7
35	Marbz_	7
35	Arceus1975	7
35	Rebytre	7
35	DanTheBuilderino	7
35	Blaiku	7
35	Ezekson	7
45	BlancoFlaco	6
45	Smashic	6
45	r123moore	6
45	wwwwinnebagoooo	6
45	oxfordschool	6
50	fanofbands101	5
50	I_Am_Mushkin	5
50	MSK__	5
50	ToastedGamingYT	5
50	Nycteus_	5
50	Racengan	5
50	Spacewardharpy7	5
50	Optiprimus	5
50	Kowcio_	5
50	MilleGrug	5
50	AltnumberF4	5
50	diggydog67	5
62	pintsizedrogue	4
62	Menthas	4
62	_Virify_	4
62	Cowison	4
62	soundad	4
62	MinttyFressh	4
62	eclipseboi	4
62	SteveCraftBlocks	4
62	set67	4
62	ROY4LE	4
62	CarltheCuck	4
62	SuperPooch06	4
62	thewindmillman	4
62	Akoot_	4
62	Jiminie	4
62	501g	4
62	Razzgriz	4
62	SammiWolfGirl	4
62	Luigipunch989	4
62	CalebDHawk	4
62	Legendosh	4
62	2blox	4
62	EcksDofficial	4
62	00000000-0000-0000-0009-01ff0c3e5e4f	4
86	Groovy_MoonBird	3
86	Mr_Byzantine	3
86	EMC_	3
86	error10101	3
86	Wooptey	3
86	CliffEmAll	3
86	TheThomas69	3
86	UncreativeArtist	3
86	xxPipperDipperxx	3
86	Hyp3rion_	3
86	Truckoss	3
86	fred870d	3
86	FishyBoy3811	3
86	Lord_Jord	3
86	DarlaMeow	3
86	claivin	3
86	SkateboardR6	3
86	IvarEXE	3
86	Spenduh	3
86	GlitchyPlate810	3
86	WYFYoyo	3
86	trexgb	3
108	THExMuffinx	2
108	q_wq	2
108	Sleek_Storm_721	2
108	chimpmunker	2
108	KarlKaek	2
108	Flores991	2
108	CoffeeNoir	2
108	rarrq	2
108	crying_wolf_13	2
108	Inchef	2
108	Xalithia	2
108	trixterrx	2
108	CollinMH06	2
108	whoaluv	2
108	King_Pancake1	2
108	_Boipl_	2
108	BronkerBrum	2
108	Skylord_Luke	2
108	ooga47	2
108	Moofyman	2
108	HolyVenom	2
108	RodSerlingCringe	2
108	Nicky19	2
108	KnightmareD	2
108	_Crimson_Legate	2
108	masskedman	2
108	Lord_Zacler	2
108	Gryglu583	2
108	Shogunite	2
108	MAns_44	2
108	Frozil12	2
108	ProfessorDiaper	2
108	Vorlice	2
108	Bonzaidalek	2
108	Lord_Doob	2
108	WyngGoy	2
108	KG1999	2
108	PirreJR	2
108	pixelviolin	2
108	Soplight	2
108	brofrickcheaters	2
108	fffMike	2
108	anbbang	2
108	Miko_Fullbuster	2
108	jnp_gaming	2
108	kinas45y5	2
108	CrazyPotater	2
155	PazinGaming	1
155	Merv__	1
155	teslawolf38	1
155	t_dooks	1
155	Bad_At_Names_Guy	1
155	Jagyeol	1
155	Hpdinosaur	1
155	_Razar	1
155	Incinere	1
155	Franco093	1
155	livingdaydreams	1
