rank	username	minecraft:killed_by/minecraft:spider
1	Werbe	49
2	FreakGenius	42
3	joethahobo	38
4	HellsSponge	32
5	xxPipperDipperxx	29
6	Mahoose	27
6	aldplaysmc	27
8	cedric72	26
9	bloodbiter	25
10	Di_infiri	24
11	PigDab	23
11	El_Jalapeno	23
11	EcksD	23
14	lordpipe	21
14	Smoke____	21
16	NatalieTW	17
17	Hermanni__	16
17	jnp_gaming	16
17	TechnoNinja64	16
20	ShedJr_	15
20	noam464	15
20	Akoot_	15
23	T045RTY	14
23	Jackattack53	14
23	_Boipl_	14
26	Tyrannosplart	13
26	bladeefan2009	13
28	Smashic	12
28	RealGroot	12
30	ExtraDumb	11
30	eitanzaki	11
30	gcaisawesome	11
30	Zoeyfortnite	11
34	Blackberry1310	10
34	fffMike	10
34	Ezekson	10
37	ProfessorBee	9
37	SuperPooch06	9
37	CrazyPotater	9
40	beeperbeeper5	8
40	NomadicRobin_	8
40	Warlord324	8
40	Spacewardharpy7	8
40	gusstationwerker	8
45	bigstankyy	7
45	BlancoFlaco	7
45	Lez_	7
45	jushykins	7
45	YungMaki	7
45	SammiWolfGirl	7
45	PlasticOtari	7
52	livingdaydreams	6
52	SyntheticSurgeon	6
52	0nly_sn1per	6
52	zToasty69z	6
52	Sheldor097	6
52	Dreamdbr14	6
52	anbbang	6
59	Groovy_MoonBird	5
59	Elprone266	5
59	EMC_	5
59	youhjjhhhjj	5
59	MyNameIsJobo	5
59	Mattesco	5
59	SaintJosie	5
59	luseis	5
59	monky_irl	5
59	MilleGrug	5
59	h2p_emrld	5
70	seanitoo	4
70	Mr_Byzantine	4
70	teslawolf38	4
70	q_wq	4
70	I_Am_Mushkin	4
70	Huwulling	4
70	Historical_Sand	4
70	kekhon	4
70	intropass	4
70	Queen_Jalapeno	4
70	masskedman	4
70	ItsDeltaMC	4
70	Ze_BaronKrigler	4
70	Kura2218	4
70	ayamefag	4
70	Quotary	4
86	soundad	3
86	6king6colt6	3
86	Sleek_Storm_721	3
86	ImpavidArcher	3
86	Wooptey	3
86	Hugi_79	3
86	FirsTimeGamingTV	3
86	heckface	3
86	Auseawesome	3
86	Lentapple3922	3
86	Nicky_H225	3
86	TheDiamondCG	3
86	Kamflame10	3
86	Pineapplesugr	3
86	Inchef	3
86	Kubelz	3
86	mariominejedi	3
86	whoaluv	3
86	impossibleteapot	3
86	SvenskaSara	3
86	MustardDrinker	3
86	Corbsman	3
86	Moofyman	3
86	FishyBoy3811	3
86	KliBeast21	3
86	MyNameIsDakar	3
86	Fuad_R	3
86	ProfessorDiaper	3
86	SkateboardR6	3
86	mihimihimihi	3
86	Kowcio_	3
86	xzvu	3
86	non089	3
86	Iamthejo	3
86	ConnorDanky_	3
86	smogfrog	3
86	Kiki_Majiki	3
86	Powowowow	3
86	xolstoi	3
86	00000000-0000-0000-0009-01f73aa9620f	3
86	00000000-0000-0000-0009-01f073f37a91	3
127	SaltineDream	2
127	H0UNDFRMH3LL	2
127	RoskobiOne	2
127	Merv__	2
127	lotarp	2
127	MOSS000	2
127	oreee	2
127	Whiterooster001	2
127	Ssor69	2
127	Upstro10	2
127	ZigzagLily43042	2
127	Under1	2
127	Frxnkz	2
127	jacxhadow	2
127	12Magner05	2
127	MrExplorer	2
127	Allanon1235	2
127	SteveCraftBlocks	2
127	4774	2
127	benediktine1	2
127	purpolepickle	2
127	Bazongoman	2
127	Winklepicker279	2
127	fr_ser	2
127	okCrypto	2
127	Arceus1975	2
127	Hyp3rion_	2
127	Zythose	2
127	ooga47	2
127	SpaggeDR	2
127	CaptainAvenger7	2
127	420BreadLizard	2
127	EveryonesUncle	2
127	_Bguette_	2
127	jambvds	2
127	RoofTyler	2
127	shrimp_flips	2
127	NameGenerat0r	2
127	Shogunite	2
127	ewpunk	2
127	Quaintster	2
127	Blu3beast	2
127	halfbakedlasagna	2
127	Toriankel	2
127	Yahir091	2
127	Bonzaidalek	2
127	Optiprimus	2
127	Mythic1130	2
127	Shin69	2
127	djancak	2
127	LeEricc	2
127	_TCARREIRA_	2
127	GlitchyPlate810	2
127	PlzNoBM	2
127	cichy096	2
127	CattSoup	2
127	Nicserso	2
127	QueenOfDirt	2
127	HesDemonPants	2
127	00000000-0000-0000-0009-01ff0c3e5e4f	2
187	pintsizedrogue	1
187	Congrosium	1
187	Travasaur	1
187	diminub	1
187	CueMix	1
187	CloroxBleach385	1
187	dabloons	1
187	pZygh0st	1
187	RyuTurtle	1
187	Foof13	1
187	Frozil20	1
187	ImNotYuqii	1
187	KarlKaek	1
187	Gemstuff	1
187	diamondgolem35	1
187	gren_ben	1
187	Esme_1	1
187	Slinkyy7071	1
187	ssleepless	1
187	SaucyDark	1
187	hm947	1
187	Killercatty78	1
187	Hpdinosaur	1
187	Incinere	1
187	openatheclose	1
187	Batman922	1
187	Zlatovlas	1
187	CoffeeNoir	1
187	opogo_	1
187	YairZaki	1
187	Scags	1
187	Felaxo12	1
187	Myszoaz	1
187	mennorovers	1
187	jessewegottacook	1
187	H72l9w	1
187	fr0stss	1
187	blevster	1
187	gaziter10	1
187	Swexti	1
187	cyuar	1
187	Cartoonmaniac	1
187	Alphanzt99	1
187	ccormacs	1
187	rarrq	1
187	Ozixar	1
187	picardred	1
187	TuesdayEpisode	1
187	Paranoidlemon	1
187	NieToksikpl	1
187	Presisor	1
187	mattybeewrapss	1
187	Rich_Kat	1
187	Jakobo1337	1
187	Nostrom	1
187	TheThomas69	1
187	Guillemet	1
187	Secret_Canary	1
187	Lumien_	1
187	Fullut	1
187	AJbeast01	1
187	BreadFruggis	1
187	crying_wolf_13	1
187	Z3braYTIL	1
187	GLLogan2	1
187	set67	1
187	Masssonnn	1
187	Scathra	1
187	mwrty	1
187	UnderKat	1
187	Awyrlas	1
187	himak1	1
187	GalaxyPanda707	1
187	PegLegPete93	1
187	ROY4LE	1
187	Celestikka	1
187	SPUDonSTEROIDS	1
187	r123moore	1
187	Kelloogs	1
187	Gorilladam	1
187	olliebollie48	1
187	XboxPanda	1
187	John6970	1
187	HoltGrim	1
187	mimbo1211	1
187	SHAOBADMAN	1
187	Phroni	1
187	Purplehere	1
187	NLKBuilder	1
187	breadbowlgamer	1
187	Peeing	1
187	xFaiithyX	1
187	ReverendSmith	1
187	__Fanda__	1
187	thatbeanyboi	1
187	CarltheCuck	1
187	gabriels543	1
187	Norrhede	1
187	Lil_Breadboy	1
187	Chromary	1
187	Rumpletaezer	1
187	happy_mileo	1
187	thewindmillman	1
187	Green__Terrorist	1
187	kevinpamberg	1
187	Lukstersword7	1
187	BusinesManFrecks	1
187	Solar_Power	1
187	CrateOfBoxes	1
187	Dotf1337	1
187	Parcc	1
187	thebaddruid	1
187	mobaEnjoyer	1
187	Billious	1
