rank	username	minecraft:killed_by/minecraft:cave_spider
1	eitanzaki	47
2	HellsSponge	31
3	ooga47	28
4	Warlord324	26
5	bloodbiter	25
6	Powowowow	21
7	lizardfightclub	12
8	lordpipe	11
9	_Bguette_	10
10	cedric72	9
11	Corbsman	8
12	CoffeeNoir	7
12	Tyrannosplart	7
12	SUN_DREAM	7
12	MineMaster0012	7
16	q_wq	6
16	legal_tax_evader	6
16	Werbe	6
16	brycepants	6
16	Deathkob	6
16	FreakGenius	6
22	Flores991	5
22	Mahoose	5
22	joethahobo	5
22	Zythose	5
22	QueenShuvi	5
22	SammiWolfGirl	5
28	fanofbands101	4
28	Tolhart	4
28	orxngejuice	4
28	PeteO1995	4
28	_Boipl_	4
28	Vorlice	4
28	tsitrawhy	4
28	RadarHz	4
36	ExtraDumb	3
36	Lumien_	3
36	Kubelz	3
36	TheDankPlatypus	3
36	SuperPooch06	3
36	AlexStrange	3
36	Hiryu27	3
36	yulgur1	3
36	DarlaMeow	3
36	Bloo2406	3
36	MS_Pryxx	3
36	mihimihimihi	3
36	sp00ky_ghost977	3
36	_Tilariel_	3
36	JohnPrice	3
36	Smoke____	3
52	pintsizedrogue	2
52	6king6colt6	2
52	Lukeee33	2
52	MangoTango82	2
52	lotarp	2
52	gaziter10	2
52	beeperbeeper5	2
52	mcFarty	2
52	intropass	2
52	platinumzero	2
52	Windo_licker	2
52	Di_infiri	2
52	Hyp3rion_	2
52	NarwhalTaco	2
52	Shiirazu	2
52	CaptainAvenger7	2
52	zToasty69z	2
52	Akoot_	2
52	Kennyissleepy	2
52	Lord_Zacler	2
52	censorsheep	2
52	fluddd	2
52	CACTUSLAD	2
52	RealGroot	2
52	Ezekson	2
52	AltnumberF4	2
52	PlasticOtari	2
52	00000000-0000-0000-0009-01ff0c3e5e4f	2
80	Mr_Worthless	1
80	doopiyo	1
80	Groovy_MoonBird	1
80	Matemax	1
80	heysushii	1
80	Travasaur	1
80	RoskobiOne	1
80	soundad	1
80	milkedit	1
80	Jackywho	1
80	SlowMoNinja1994	1
80	Nucket	1
80	Foof13	1
80	EMC_	1
80	gren_ben	1
80	Saltymart	1
80	SaucyDark	1
80	Allchemy	1
80	RatatJuice	1
80	Spaghettatron	1
80	openatheclose	1
80	maliraspberry	1
80	livingdaydreams	1
80	youhjjhhhjj	1
80	SyntheticSurgeon	1
80	Reamdin	1
80	peach0s	1
80	PhantomBionic	1
80	MOSS000	1
80	301851	1
80	Shazzyling	1
80	picardred	1
80	Blackberry1310	1
80	kekhon	1
80	ToxicHauntling	1
80	Cortexia	1
80	zorin123	1
80	CyrusIsTired	1
80	Z3braYTIL	1
80	4774	1
80	UncreativeArtist	1
80	_Magdo_	1
80	PegLegPete93	1
80	ROY4LE	1
80	xxPipperDipperxx	1
80	gcaisawesome	1
80	LitoDelvito	1
80	Touched_Bread	1
80	noam464	1
80	benediktine1	1
80	TableTim	1
80	zcrk	1
80	FennYuzuna	1
80	thebluehippo	1
80	Bazongoman	1
80	mariominejedi	1
80	sharckyes	1
80	MyNameIsJobo	1
80	Rumpletaezer	1
80	Silvo614	1
80	kars0n	1
80	Bumpy419	1
80	Rebytre	1
80	ApophisNova	1
80	selectrix	1
80	Onennon	1
80	F_Uhre	1
80	dartwaffle	1
80	jewbacaman	1
80	Forcolp	1
80	sammidk	1
80	Jimi7hits	1
80	magmaniacmc	1
80	Austinizzle	1
80	ILoveCarrot	1
80	TheTrueClipse	1
80	wezzzi	1
80	Deodorante	1
80	PartyPhoenix	1
80	Mr_Gulle	1
80	DemTechAlpha	1
80	NameGenerat0r	1
80	El_Jalapeno	1
80	Blu3beast	1
80	Nycteus_	1
80	ThatMan_Dave	1
80	Cyntrical	1
80	BumbleBeever	1
80	Barlycorn	1
80	Fildyr	1
80	ProfessorDiaper	1
80	cytotoxaint	1
80	Paigefly	1
80	MovingFish7	1
80	monky_irl	1
80	geekbird	1
80	CornOnTheCobalt	1
80	WingedTortoise	1
80	IvarEXE	1
80	07shiny	1
80	YummyBaculum	1
80	bloomkieren	1
80	YungMaki	1
80	IDealess_At_This	1
80	Kijiki	1
80	CLUBN2	1
80	starbits140	1
80	xzvu	1
80	Luigipunch989	1
80	non089	1
80	GlitchyPlate810	1
80	Glumb0	1
80	HAruSAme14	1
80	UltraZombie	1
80	CalebDHawk	1
80	MrTentacles2169	1
80	MilleGrug	1
80	ssniffles	1
80	KingMatthew506	1
80	2r_	1
80	EcksD	1
80	Quotary	1
80	smogfrog	1
80	MyNamaSheff	1
80	Nicserso	1
80	Wolverine4302	1
80	little_dUki	1
80	Lowjinx	1
80	FallenCorps	1
80	jnp_gaming	1
80	vandmanden	1
80	Sral7	1
80	bladeefan2009	1
80	xolstoi	1
80	WYFYoyo	1
80	MelodyGaysharks	1
80	_Dri_	1
