rank	username	minecraft:killed_by/minecraft:shulker
1	eitanzaki	162
2	Freak_Genius	74
3	Spacewardharpy7	37
4	lizardfightclub	20
5	Di_infiri	19
5	NameGenerat0r	19
7	noam464	17
7	Werbe	17
9	yulgur1	13
10	Jackattack53	12
11	PigDab	8
11	Racengan	8
13	MyNameIsJobo	6
13	MustaLoordi	6
15	Inchef	5
16	beeperbeeper5	4
16	Fullut	4
16	masskedman	4
16	lcvezra	4
20	ssleepless	3
20	Ecplosive	3
20	HellsSponge	3
20	Hermanni__	3
24	surfinggiraffejp	2
24	gabriels543	2
24	Onennon	2
24	YungMaki	2
24	EcksD	2
24	Quotary	2
24	FishisTTV	2
31	6king6colt6	1
31	T045RTY	1
31	Dunger97	1
31	joethahobo	1
31	Historical_Sand	1
31	Euclidoris	1
31	Rich_Kat	1
31	ProfessorBee	1
31	shyshyannne	1
31	crying_wolf_13	1
31	set67	1
31	Awyrlas	1
31	himak1	1
31	ROY4LE	1
31	theonlymagikarp	1
31	Covalents	1
31	mariominejedi	1
31	Avermu	1
31	domagawha	1
31	seramalen	1
31	epiksk8erduck	1
31	Ender_Souls	1
31	FishyBoy3811	1
31	Maenara	1
31	Akoot_	1
31	claivin	1
31	Quaintster	1
31	fluddd	1
31	lordpipe	1
31	KG1999	1
31	__tomato	1
31	stahouo	1
31	Nicserso	1
31	UrbanPlanner1978	1
31	Sral7	1
31	kinas45y5	1
31	Smoke____	1
