rank	username	minecraft:killed_by/minecraft:warden
1	EcksD	103
2	Jackattack53	81
3	ImpavidArcher	62
3	TheSecondLord	62
5	beeperbeeper5	53
6	rarrq	44
7	Enderslayerxz3	32
8	Rebytre	31
9	pintsizedrogue	30
10	Hyp3rion_	27
11	Segotep999	24
12	Spacewardharpy7	20
13	Merv__	19
14	EMC_	18
15	Jiminie	17
16	DinoDoctor_	16
16	Wowful	16
18	AlexxO_o	14
19	SvenskaHugo	13
20	Mahoose	11
20	joethahobo	11
20	Blackberry1310	11
20	Soplight	11
24	MrKrabOnCoke	10
24	Da_Boss_Rani	10
26	MinttyFressh	9
27	Kowcio_	7
28	Huwulling	6
28	12Magner05	6
30	Frozil20	5
30	NLKBuilder	5
30	Marbz_	5
33	aldplaysmc	4
33	ItsDeltaMC	4
35	Sleepy_Time_	3
35	noam464	3
35	iHuntWeeaboos	3
35	YungMaki	3
35	Steelynan	3
35	Miko_Fullbuster	3
35	Smoke____	3
42	diamondgolem35	2
42	Alteriity	2
42	CarryLine	2
42	Fuad_R	2
46	RatatJuice	1
46	jessewegottacook	1
46	4774	1
46	Cellcorgi649	1
46	Kakolbus	1
46	wwwwinnebagoooo	1
46	lordpipe	1
46	iSammael	1
46	SpacesickPrism	1
46	Legendosh	1
46	PlasticOtari	1
46	00000000-0000-0000-0009-01ff0c3e5e4f	1
