rank	username	minecraft:killed_by/minecraft:bee
1	noam464	4
1	FreakGenius	4
3	Onennon	3
3	claivin	3
5	eitanzaki	2
5	h2p_emrld	2
7	EMC_	1
7	joethahobo	1
7	Ozixar	1
7	MrExplorer	1
7	_Dean_123	1
7	SuperPooch06	1
7	_Goatt	1
7	Sheldor097	1
7	Lowjinx	1
7	jnp_gaming	1
7	Smoke____	1
