rank	username	minecraft:killed_by/minecraft:stray
1	_Boipl_	17
2	Smoke____	12
3	eitanzaki	8
4	joethahobo	7
4	fr_ser	7
4	Di_infiri	7
7	Akoot_	6
8	rarrq	5
8	Kamflame10	5
8	Ezekson	5
11	Cartoonmaniac	4
11	purpolepickle	4
11	Tyrannosplart	4
11	EcksD	4
15	xyct	3
15	Mahoose	3
15	Prismyst	3
15	Historical_Sand	3
15	Alphanzt99	3
15	kekhon	3
15	Covalents	3
15	Nekomin0	3
15	xolstoi	3
15	00000000-0000-0000-0009-01ff0c3e5e4f	3
15	00000000-0000-0000-0009-01f073f37a91	3
26	teslawolf38	2
26	Natty	2
26	Blackberry1310	2
26	SteveCraftBlocks	2
26	_Dean_123	2
26	Bobby808	2
26	noam464	2
26	Zythose	2
26	RobotMinion101	2
26	Hail_the_wombat	2
26	Jimi7hits	2
26	StinkyDiplomat	2
26	FlashMigma	2
26	PlasticOtari	2
26	00000000-0000-0000-0009-01f16526f034	2
41	Groovy_MoonBird	1
41	hm947	1
41	Wooptey	1
41	T045RTY	1
41	Zlatovlas	1
41	AlazelTheReal	1
41	Barjas	1
41	elleparo	1
41	Lez_	1
41	ITDV	1
41	beeperbeeper5	1
41	JuuustYeet	1
41	titanlax	1
41	12Magner05	1
41	Guillemet	1
41	set67	1
41	4774	1
41	thescout7	1
41	IforgotCS_Source	1
41	gcaisawesome	1
41	r123moore	1
41	Peeing	1
41	Winklepicker279	1
41	burbankbuilder28	1
41	TheWildMateo	1
41	ooga47	1
41	Mattesco	1
41	Ghemmah	1
41	Jonte0599	1
41	J4ko8_	1
41	FishyBoy3811	1
41	luseis	1
41	JESS_THE_RERE	1
41	shrimp_flips	1
41	HellsSponge	1
41	QueenShuvi	1
41	cog	1
41	LeadenKey	1
41	rejenita	1
41	xzvu	1
41	scarletwarrior1	1
41	Havazelet	1
41	coobert42	1
41	Kateesaur	1
41	00000000-0000-0000-0009-01f935b0bed8	1
41	00000000-0000-0000-0009-01f73aa9620f	1
