rank	username	minecraft:killed_by/minecraft:pillager
1	HellsSponge	40
2	NatalieTW	31
3	Werbe	24
4	Juh1s	15
5	FelixPSY375	13
6	eitanzaki	12
6	Historical_Sand	12
6	beeperbeeper5	12
9	MustaLoordi	9
10	noam464	8
10	Onennon	8
12	luseis	7
12	TechnoNinja64	7
14	12Magner05	6
14	YungMaki	6
16	hm947	5
16	Wooptey	5
16	Jackattack53	5
19	FirsTimeGamingTV	4
19	kekhon	4
19	intropass	4
19	Blu3beast	4
19	Warlord324	4
24	I_Am_Mushkin	3
24	Di_infiri	3
24	ooga47	3
24	Tyrannosplart	3
24	FreakGenius	3
29	PazinGaming	2
29	youhjjhhhjj	2
29	joethahobo	2
29	jessewegottacook	2
29	rarrq	2
29	ProfessorBee	2
29	boog4loo	2
29	crying_wolf_13	2
29	thescout7	2
29	Arceus1975	2
29	_Boipl_	2
29	Corbsman	2
29	thgrocks	2
29	xzvu	2
29	Nekomin0	2
29	_TCARREIRA_	2
29	jcool7	2
29	QueenOfDirt	2
29	Legendosh	2
29	Powowowow	2
29	PlasticOtari	2
29	Sral7	2
29	AdmiralSmoke	2
29	h2p_emrld	2
53	Groovy_MoonBird	1
53	Matemax	1
53	CLG_Kata	1
53	RoskobiOne	1
53	dabloons	1
53	ItsColin11	1
53	Azorathum	1
53	Foof13	1
53	6king6colt6	1
53	KarlKaek	1
53	bigstankyy	1
53	Hyugo	1
53	gren_ben	1
53	Ryan_GEMS	1
53	l_ducky_l	1
53	BlancoFlaco	1
53	SaucyDark	1
53	Killercatty78	1
53	T045RTY	1
53	ZaneABrain	1
53	ivorico	1
53	Mahoose	1
53	spaece	1
53	brandonjames_h	1
53	MOSS000	1
53	morgangauk	1
53	gemmiiv	1
53	Vizzoid	1
53	Euclidoris	1
53	dopplexd	1
53	Blackberry1310	1
53	SMELLY_NAPPY	1
53	ellygaytor	1
53	firesgal3116	1
53	bloodbiter	1
53	Rich_Kat	1
53	TheDiamondCG	1
53	UnderKat	1
53	Motsaro	1
53	SomeWanderer	1
53	Covalents	1
53	Zan	1
53	M_Patata	1
53	Winklepicker279	1
53	Zythose	1
53	impossibleteapot	1
53	VTD	1
53	LilyNova	1
53	Rebytre	1
53	oscminus	1
53	Kynigito	1
53	sitrollover	1
53	jewbacaman	1
53	CarryLine	1
53	Leonidas2k17	1
53	Lord_Jord	1
53	AuroraSkies	1
53	googmeister	1
53	JESS_THE_RERE	1
53	Manaateee	1
53	Fuad_R	1
53	claivin	1
53	Quaintster	1
53	Bloo2406	1
53	Spacewardharpy7	1
53	MasterNueve	1
53	geekbird	1
53	Cocoamallows	1
53	Optiprimus	1
53	stavgod	1
53	Pickel_Lord	1
53	ayamefag	1
53	MineMaster0012	1
53	Segotep999	1
53	SkinnyBois	1
53	_i_ERROR_i_	1
53	nonarso	1
53	Skippeh	1
53	ConnorDanky_	1
53	EcksD	1
53	cichy096	1
53	Kiki_Majiki	1
53	UrbanPlanningEx	1
53	Zoeyfortnite	1
53	CrazyPotater	1
53	IronicUwU1	1
