rank	username	minecraft:killed_by/minecraft:trader_llama
1	joethahobo	29
2	Arceus1975	15
3	oscminus	12
4	Mahoose	5
5	eitanzaki	4
5	Werbe	4
5	FreakGenius	4
8	Blackberry1310	3
8	_Dean_123	3
8	Yamdalorian	3
11	Groovy_MoonBird	2
11	mymayowasgone	2
11	ShedJr_	2
11	beeperbeeper5	2
11	NomadicRobin_	2
11	luseis	2
11	Spacewardharpy7	2
11	StarCookiees_	2
11	00000000-0000-0000-0009-01fe065167f0	2
20	Mr_Byzantine	1
20	kekhon	1
20	Inchef	1
20	Di_infiri	1
20	SuperPooch06	1
20	Hyp3rion_	1
20	Zythose	1
20	Jekyll	1
20	kravisni	1
20	XxCookiequeenxX	1
20	Monosakii	1
20	BlankityMcBlank	1
20	LuvLuvLove	1
20	00000000-0000-0000-0009-01fd30af3efb	1
