rank	username	minecraft:killed_by/minecraft:iron_golem
1	eitanzaki	59
2	noam464	39
3	Werbe	33
4	Jackattack53	32
5	joethahobo	31
6	Zoeyfortnite	28
7	Ezekson	24
8	Racengan	23
8	stavgod	23
10	Freak_Genius	18
11	T045RTY	17
11	Jimi7hits	17
11	Smoke____	17
14	Blu3beast	16
15	PigDab	15
16	ItsColin11	13
16	Hyp3rion_	13
16	HellsSponge	13
19	jcool7	12
20	Iagoku	11
20	ShedJr_	11
20	El_Jalapeno	11
20	PortlyPete69	11
24	Kamflame10	9
24	Di_infiri	9
24	Spacewardharpy7	9
27	kekhon	8
27	thescout7	8
27	SuperPooch06	8
27	Fast_Turtle	8
27	Lord_Jord	8
27	Wolverine4302	8
33	Mahoose	7
33	oreee	7
33	_Dean_123	7
33	loveseeker	7
33	JESS_THE_RERE	7
33	Segotep999	7
33	fffMike	7
33	LeeMcGee30	7
33	EcksD	7
33	HesDemonPants	7
43	Historical_Sand	6
43	bloodbiter	6
43	mariominejedi	6
43	claivin	6
43	obzii	6
43	kinas45y5	6
43	diggydog67	6
50	bigstankyy	5
50	Fullut	5
50	Kkanot	5
50	Arceus1975	5
50	Spenduh	5
50	Quotary	5
56	Louiis123	4
56	I_Am_Mushkin	4
56	Swexti	4
56	TheSecondLord	4
56	theonlymagikarp	4
56	XboxPanda	4
56	Kakolbus	4
56	IdeallyGrey	4
56	YungMaki	4
56	djancak	4
66	hm947	3
66	H72l9w	3
66	beeperbeeper5	3
66	rarrq	3
66	Inchef	3
66	benediktine1	3
66	ApophisNova	3
66	FishyBoy3811	3
66	audiocracked	3
66	DanTheBuilderino	3
66	Frozil12	3
66	MightyWertu	3
66	SkateboardR6	3
66	StanClubPenguin	3
66	monky_irl	3
66	Steelynan	3
66	Hermanni__	3
66	MyNamaSheff	3
66	Enderslayerxz3	3
66	2blox	3
66	Teebone15	3
87	Groovy_MoonBird	2
87	_Virify_	2
87	Cowison	2
87	dabloons	2
87	diamondgolem35	2
87	Flores991	2
87	tuckerdoodle	2
87	Euclidoris	2
87	Blackberry1310	2
87	Frxnkz	2
87	egglapras	2
87	xxPipperDipperxx	2
87	gcaisawesome	2
87	Bucscw24	2
87	CarltheCuck	2
87	Chromary	2
87	CruncyIsTaken	2
87	Akoot_	2
87	Bl1tzFX	2
87	Wowful	2
87	TheSeismicDuck	2
87	Lord_Zacler	2
87	chipklip	2
87	GravitySaint	2
87	BumbleBeever	2
87	Yahir091	2
87	Breb74	2
87	WyngGoy	2
87	ayamefag	2
87	gaming4Naming	2
87	Nicserso	2
87	jnp_gaming	2
87	TechnoNinja64	2
87	PlasticOtari	2
87	Sral7	2
122	pintsizedrogue	1
122	HBA00_	1
122	Bandito_Roamer	1
122	Menthas	1
122	strongman951753	1
122	soundad	1
122	Merv__	1
122	AgressiveEggdog	1
122	EMC_	1
122	ExtraDumb	1
122	Hpdinosaur	1
122	Myszoaz	1
122	Ssor69	1
122	titanlax	1
122	SDMNAEK	1
122	ThePoliteG	1
122	MinttyFressh	1
122	MattieHD	1
122	ProfessorBee	1
122	_Nuf	1
122	lordsaladito	1
122	Awyrlas	1
122	ROY4LE	1
122	noyan121	1
122	TheDankPlatypus	1
122	Windo_licker	1
122	whoaluv	1
122	Snowflowe	1
122	burbankbuilder28	1
122	King_Pancake1	1
122	LAVA129	1
122	WarMachina	1
122	Bumpy419	1
122	Skylord_Luke	1
122	The11thDoctor	1
122	NNikitas	1
122	A_Potatoe	1
122	Jonte0599	1
122	TTNG	1
122	DScatgirls	1
122	fw3xywashere	1
122	AuroraSkies	1
122	NomadicRobin_	1
122	fkGrim	1
122	Deathkob	1
122	_Bguette_	1
122	LexMakesHistory	1
122	proxivitoid	1
122	DemTechAlpha	1
122	Darkgon	1
122	MAns_44	1
122	censorsheep	1
122	Cyntrical	1
122	cog	1
122	Blaiku	1
122	Groundler	1
122	SingedBread	1
122	lordpipe	1
122	trobr	1
122	Eraxa	1
122	pixelviolin	1
122	lcvezra	1
122	RealDelver	1
122	CalebDHawk	1
122	mawileite	1
122	VentiHilton	1
122	Skippeh	1
122	Aryamanee	1
122	Lord_Lollo	1
122	Lowjinx	1
122	Legendosh	1
122	YoshikageBites	1
122	the_cocos	1
122	coobert42	1
122	trexgb	1
122	Kateesaur	1
122	h2p_emrld	1
