rank	username	minecraft:killed_by/minecraft:silverfish
1	h2p_emrld	6
2	oscminus	4
2	luseis	4
2	claivin	4
5	Mahoose	3
5	bloodbiter	3
7	q_wq	2
7	joethahobo	2
7	Tyrannosplart	2
7	HellsSponge	2
7	El_Jalapeno	2
12	BlancoFlaco	1
12	livingdaydreams	1
12	_havick	1
12	FirsTimeGamingTV	1
12	kekhon	1
12	xxPipperDipperxx	1
12	benediktine1	1
12	Winklepicker279	1
12	Aneurysmas	1
12	MyNameIsJobo	1
12	kars0n	1
12	iElijah	1
12	738b4f65-6cbd-4ead-ba31-c14211abfb06	1
12	rotten_mango	1
12	MinuteMira	1
12	Quaintster	1
12	ConJaBz	1
12	Warlord324	1
12	YungMaki	1
12	AssFullaCum	1
12	Steelynan	1
12	EcksD	1
