rank	username	minecraft:killed_by/minecraft:elder_guardian
1	EcksD	16
2	QueenShuvi	13
3	lizardfightclub	11
4	Lez_	7
5	noam464	6
5	oscminus	6
5	DarlaMeow	6
8	Kowcio_	5
9	Paintz	4
10	k_ce	3
10	ECstardust	3
10	Vensterbankje	3
10	Tiberonus	3
10	shadowthemonkey	3
10	claivin	3
10	djancak	3
10	PortlyPete69	3
18	Groovy_MoonBird	2
18	powercas_gamer	2
18	Mahoose	2
18	Saucepeh	2
18	crying_wolf_13	2
18	Hashises	2
18	Manaateee	2
18	BumbleBeever	2
18	Barlycorn	2
18	Spacewardharpy7	2
18	monky_irl	2
18	Segotep999	2
18	little_dUki	2
18	Jimb0nat0r	2
18	Zoeyfortnite	2
33	pintsizedrogue	1
33	LovelyDane	1
33	bigstankyy	1
33	Iagoku	1
33	SaucyDark	1
33	eitanzaki	1
33	livingdaydreams	1
33	T045RTY	1
33	Huwulling	1
33	MrKrabOnCoke	1
33	beeperbeeper5	1
33	Cryptacity	1
33	Secret_Canary	1
33	Scathra	1
33	himak1	1
33	platinumzero	1
33	Marbz_	1
33	Werbe	1
33	Mattesco	1
33	PigDab	1
33	Lord_Jord	1
33	Deathkob	1
33	Tyrannosplart	1
33	FreakGenius	1
33	voiding_	1
33	YungMaki	1
33	__tomato	1
33	xzvu	1
33	Drawgirl	1
33	Iamthejo	1
33	DairyNickel756	1
33	PlasticOtari	1
33	skitzxo	1
33	Yamdalorian	1
