rank	username	minecraft:killed_by/minecraft:magma_cube
1	T045RTY	73
2	HellsSponge	31
3	eitanzaki	20
4	ConnorDanky_	15
5	PigDab	13
6	EcksD	12
7	noam464	11
8	monky_irl	9
9	Di_infiri	7
10	beeperbeeper5	6
10	FreakGenius	6
10	Mythic1130	6
13	Mahoose	5
13	Hyp3rion_	5
13	Werbe	5
16	gcaisawesome	4
16	Corbsman	4
16	Akoot_	4
19	NomadicRobin_	3
19	Ze_BaronKrigler	3
19	djancak	3
22	Cowison	2
22	ShedJr_	2
22	joethahobo	2
22	rarrq	2
22	bloodbiter	2
22	12Magner05	2
22	Fullut	2
22	Jackattack53	2
22	SuperPooch06	2
22	Zythose	2
22	lizardfightclub	2
22	ReSynced	2
22	luseis	2
22	MyNameIsDakar	2
22	vandmanden	2
22	Smoke____	2
38	pintsizedrogue	1
38	Groovy_MoonBird	1
38	teslawolf38	1
38	shineh10	1
38	diamondgolem35	1
38	Hpdinosaur	1
38	RebelAndroid	1
38	openatheclose	1
38	Franco093	1
38	livingdaydreams	1
38	Batman922	1
38	lotarp	1
38	CoffeeNoir	1
38	Reamdin	1
38	ccwildfire1	1
38	tramizu	1
38	titanlax	1
38	Blackberry1310	1
38	jacxhadow	1
38	m_be9	1
38	Ardennes	1
38	kekhon	1
38	SteveCraftBlocks	1
38	500am	1
38	slkiey	1
38	crying_wolf_13	1
38	thescout7	1
38	Awyrlas	1
38	Bobby808	1
38	ROY4LE	1
38	xxPipperDipperxx	1
38	Covalents	1
38	moderncraft	1
38	Skylord_Luke	1
38	KartivGal	1
38	Mattesco	1
38	Moofyman	1
38	cedric72	1
38	FishyBoy3811	1
38	ZA07	1
38	Elastiq	1
38	Nicky19	1
38	wezzzi	1
38	Lord_Zacler	1
38	Katsuragi0243218	1
38	XxCookiequeenxX	1
38	Tyrannosplart	1
38	DarlaMeow	1
38	claivin	1
38	DanTheBuilderino	1
38	El_Jalapeno	1
38	Blu3beast	1
38	GravitySaint	1
38	Vorlice	1
38	Spacewardharpy7	1
38	Airem_Core	1
38	lordpipe	1
38	aidanwest	1
38	Kowcio_	1
38	YungMaki	1
38	Retroke	1
38	MineMaster0012	1
38	RealGroot	1
38	koo_kaburra	1
38	tsitrawhy	1
38	lcvezra	1
38	Nekomin0	1
38	_TCARREIRA_	1
38	Luigipunch989	1
38	NATE_the_HALO	1
38	CalebDHawk	1
38	Sheldor097	1
38	fffMike	1
38	Hermanni__	1
38	Iamthejo	1
38	RadarHz	1
38	Powowowow	1
38	TechnoNinja64	1
38	PlasticOtari	1
38	bladeefan2009	1
38	xolstoi	1
38	CrazyPotater	1
38	FishisTTV	1
