rank	username	minecraft:killed_by/minecraft:player
1	Jackattack53	1630
2	kekhon	1279
3	Hyp3rion_	1017
4	eitanzaki	838
5	Blackberry1310	740
6	noam464	739
7	RealGroot	597
8	rarrq	560
9	joethahobo	555
10	Blaiku	520
11	Eraxa	511
12	fluddd	504
13	Akoot_	503
13	Blu3beast	503
15	SuperPooch06	470
16	beeperbeeper5	450
17	Ezekson	444
18	PazinGaming	439
19	Chromary	433
20	Mahoose	431
21	Tyrannosplart	420
22	claivin	414
23	Werbe	381
24	Frozil20	357
25	6king6colt6	347
26	EcksD	346
27	fffMike	336
28	Groovy_MoonBird	320
28	__tomato	320
30	DarlaMeow	318
31	xolstoi	293
32	Zoeyfortnite	287
33	fr_ser	280
34	jcool7	271
35	Di_infiri	254
36	FreakGenius	248
37	Jimb0nat0r	240
38	obzii	233
39	_Bguette_	232
40	ConnorDanky_	226
41	Biites	225
42	lordpipe	221
43	xzvu	207
44	SyntheticSurgeon	200
45	_Huge_Male_	196
46	TheSecondLord	186
46	Luminad3	186
48	Inchef	182
48	Hermanni__	182
50	YungMaki	173
51	LeEricc	171
52	bladeefan2009	168
53	KarlKaek	167
54	_TCARREIRA_	166
55	CalebDHawk	163
55	h2p_emrld	163
57	ImpavidArcher	162
58	ApophisNova	161
58	MyNamaSheff	161
60	SkateboardR6	159
61	SvenskaHugo	156
62	T045RTY	155
63	H72l9w	151
63	set67	151
65	NomadicRobin_	146
66	Soplight	144
67	gusstationwerker	142
68	MirielThePastor	141
69	mimbo1211	139
69	Kura2218	139
71	Smoke____	137
72	groofles	131
72	Kowcio_	131
74	PortlyPete69	130
75	Racengan	126
75	SammiWolfGirl	126
77	Huwulling	119
77	TechnoNinja64	119
79	jessewegottacook	115
80	dabloons	112
81	Hiryu27	110
81	luseis	110
83	lcvezra	109
84	himak1	107
84	Lord_Jord	107
86	MOSS000	106
86	thescout7	106
88	Maenara	104
89	F_Uhre	99
90	I_Am_Mushkin	97
90	_Dean_123	97
90	parodypatient	97
93	H0UNDFRMH3LL	95
93	Euclidoris	95
93	TheWildMateo	95
96	thebaddruid	93
96	CuzIm2Kev	93
96	Steelynan	93
99	Cambo5000	92
99	xxPipperDipperxx	92
101	bigstankyy	90
101	PlasticOtari	90
103	jnp_gaming	89
104	gaziter10	88
104	SaintJosie	88
106	handsome_strong	87
107	Wowful	84
107	Syropatathe	84
109	diamondgolem35	83
110	Onennon	82
111	Fullut	80
111	Kyrum2169	80
113	Lez_	79
113	Enderxz3	79
115	Kkanot	77
115	Spacewardharpy7	77
117	ProfessorBee	76
117	Mythic1130	76
119	Fuad_R	75
120	RobotMinion101	74
121	LeDuctTape	72
121	Smashic	72
123	stavgod	71
124	ITDV	70
124	lorpus	70
126	ItsColin11	69
126	laron58	69
126	Teebone15	69
129	hollowww	66
129	alderban107	66
131	Xalithia	65
131	lillips	65
133	IronArshXS	64
133	PigDab	64
135	GoofySilly	63
136	Joestra	61
136	Skippeh	61
138	teslawolf38	60
138	MovingFish7	60
138	Dreamdbr14	60
141	ItsMrRamen	59
141	Kynigito	59
141	FishyBoy3811	59
144	Auseawesome	58
145	Norrhede	56
146	SmashingPump	55
146	DarkDescent2392	55
146	Warlord324	55
149	CadenSteele	54
150	RoskobiOne	53
150	Rocco_Lane	53
150	the_cocos	53
153	Reamdin	52
154	WyngGoy	51
154	gnyW	51
156	Mr_Byzantine	49
156	ShedJr_	49
156	gcaisawesome	49
156	Groundler	49
160	chipklip	48
160	Secret_Canary	48
160	XboxPanda	48
160	Smussa	48
164	pintsizedrogue	47
164	jimintyy	47
166	_Virify_	46
166	tramizu	46
166	Nicky_H225	46
166	shadowthemonkey	46
170	fallingemma	45
170	TheOuterCore	45
172	Arceus1975	44
172	Mattesco	44
174	Incinere	43
174	Natty	43
174	Historical_Sand	43
174	emrekn	43
174	Sral7	43
179	Malorn_Aetherius	42
179	jushykins	42
181	Killercatty78	41
181	Notta	41
181	Yirtle	41
181	lolpoottoot	41
185	gren_ben	40
185	AlexxO_o	40
185	BigCronkin	40
185	Sorins	40
189	seanitoo	39
189	Rox_The_Box	39
191	NieToksikpl	38
191	AJbeast01	38
191	Flapjacker687	38
191	ROY4LE	38
191	Jonafrog99	38
191	Burge_r	38
191	Powowowow	38
198	FazeObama69	37
198	SteveCraftBlocks	37
198	Rasmanden	37
198	bluefragmentt	37
198	cichy096	37
198	Nicserso	37
204	thatbeanyboi	36
204	Zythose	36
204	binman420	36
207	00000000-0000-0000-0009-01f073f37a91	35
208	Swexti	34
208	bloodbiter	34
208	SvenskaAlvar	34
208	shrimp_flips	34
212	Quaintster	33
212	censorsheep	33
214	impossibleteapot	32
214	LilyNova	32
214	Bloo2406	32
217	Merv__	31
217	MrKrabOnCoke	31
217	drunkeeez	31
217	Giannism	31
217	weabis	31
217	MakeHistory157	31
223	ColeSnyder	30
223	omariacts	30
223	Kamflame10	30
223	okCrypto	30
223	masskedman	30
228	PhantomsGhost_	29
228	paranoid_plant	29
228	r123moore	29
228	gabriels543	29
228	Rumpletaezer	29
228	Armattillo	29
228	Kateesaur	29
235	Wooptey	28
235	Crowman1	28
235	epiksk8erduck	28
235	Soap_Bender	28
235	geekbird	28
235	Razzgriz	28
235	KingMatthew506	28
235	momis24	28
235	vandmanden	28
244	33sudo	27
245	Windo_licker	26
245	Skylord_Luke	26
245	TheShyPig	26
245	thgrocks	26
245	EveryonesUncle	26
245	NameGenerat0r	26
251	swag_bro2004	25
251	ChampBoii	25
253	ebanana	24
253	aidanwest	24
253	Cocoamallows	24
253	djancak	24
257	_Boipl_	23
257	Inbefour	23
257	HellsSponge	23
257	LeeMcGee30	23
257	Kubeusz2010	23
257	Quotary	23
263	fanofbands101	22
263	ZA07	22
263	Nycteus_	22
263	ayamefag	22
263	tsitrawhy	22
263	HesDemonPants	22
269	Frxnkz	21
269	BobDeBouwer1337	21
269	CollinMH06	21
269	Shiirazu	21
269	CarryLine	21
269	Sheldor097	21
275	featherflyy	20
275	Prodiginus	20
275	Upstro10	20
275	m_be9	20
279	pZygh0st	19
279	NotP0tato	19
279	Ardennes	19
279	Strangemonkey71	19
279	UCP_TheKingK	19
284	TheMaster972	18
284	Cryptacity	18
284	Dali1465	18
284	Dyosy	18
284	SpicyMeatballs	18
284	legal_tax_evader	18
284	videogames_	18
284	GlitchyPlate810	18
292	SyK7	17
292	FrostySlimez	17
292	BlancoFlaco	17
292	Paleshield	17
292	EliteTrashPanda_	17
292	Z3braYTIL	17
292	MonkeySaint	17
292	insanepace	17
292	olliebollie48	17
