rank	username	minecraft:killed_by/minecraft:panda
1	HellsSponge	15
2	Arceus1975	8
3	eitanzaki	6
4	noam464	2
4	YungMaki	2
4	SammiWolfGirl	2
4	TechnoNinja64	2
8	HBA00_	1
8	PhantomsGhost_	1
8	Incinere	1
8	beeperbeeper5	1
8	gabriels543	1
8	NomadicRobin_	1
8	DarlaMeow	1
8	KayleeGrace58	1
8	oxfordschool	1
8	Zoeyfortnite	1
