rank	username	minecraft:killed_by/minecraft:evoker
1	lorywithay	8
1	noam464	8
3	EcksD	7
4	Sral7	4
5	eitanzaki	3
5	Onennon	3
7	ECstardust	2
7	12Magner05	2
7	oscminus	2
7	Werbe	2
7	fw3xy74	2
7	Spacewardharpy7	2
13	pintsizedrogue	1
13	_Virify_	1
13	Alteriity	1
13	QuiCreans	1
13	Blackberry1310	1
13	BobDeBouwer1337	1
13	_witch_craft_	1
13	Fullbit_	1
13	thescout7	1
13	M_Patata	1
13	Jackattack53	1
13	ScootOfBoot	1
13	Mattesco	1
13	Kynigito	1
13	Maenara	1
13	Lord_Jord	1
13	Hahaa_0	1
13	claivin	1
13	MasterNueve	1
13	Kowcio_	1
